ref,topic_id,topic
SOCIO-P1-2010-T006,50193be4-dfd0-488b-b1a0-de6b767809fd,Scope of the subject and comparison with other social sciences
SOCIO-P1-2009-T007,50193be4-dfd0-488b-b1a0-de6b767809fd,Scope of the subject and comparison with other social sciences
SOCIO-P1-2008-T005,74663d91-023f-453d-9d18-7df1150a9291,Modernity and social changes in Europe and the emergence of sociology
SOCIO-P1-2006-T008,74663d91-023f-453d-9d18-7df1150a9291,Modernity and social changes in Europe and the emergence of sociology
SOCIO-P1-2005-T006,50193be4-dfd0-488b-b1a0-de6b767809fd,Scope of the subject and comparison with other social sciences
SOCIO-P1-2001-T008,e3ecfeb5-af9e-4288-a4e7-81d43802d0e5,Non-positivist methodologies
SOCIO-P1-2000-T006,50193be4-dfd0-488b-b1a0-de6b767809fd,Scope of the subject and comparison with other social sciences
SOCIO-P1-1999-T007,74663d91-023f-453d-9d18-7df1150a9291,Modernity and social changes in Europe and the emergence of sociology
SOCIO-P1-1994-T010,74663d91-023f-453d-9d18-7df1150a9291,Modernity and social changes in Europe and the emergence of sociology
SOCIO-P1-1993-T008,74663d91-023f-453d-9d18-7df1150a9291,Modernity and social changes in Europe and the emergence of sociology
SOCIO-P1-1989-T005,74663d91-023f-453d-9d18-7df1150a9291,Modernity and social changes in Europe and the emergence of sociology
SOCIO-P1-1988-T007,13c9db08-e17c-48c4-b89d-d276824dfee3,Positivism and its critique
SOCIO-P1-1984-T004,4a3254b2-d294-45c4-b86e-1ddb6fabc593,"Science, scientific method and critique"
SOCIO-P1-2010-T008,b5784f6e-b737-4ab5-9c2c-5ab7cd729f43,Major theoretical strands of research methodology
SOCIO-P1-2009-T009,e3ecfeb5-af9e-4288-a4e7-81d43802d0e5,Non-positivist methodologies
SOCIO-P1-2009-T010,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-2008-T007,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-2007-T008,4a3254b2-d294-45c4-b86e-1ddb6fabc593,"Science, scientific method and critique"
SOCIO-P1-2005-T008,ee6fbe19-4181-44e7-a4c4-44d3ab19292a,"Variables, sampling, hypothesis, reliability and validity"
SOCIO-P1-2004-T009,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-2003-T008,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-2002-T005,b5784f6e-b737-4ab5-9c2c-5ab7cd729f43,Major theoretical strands of research methodology
SOCIO-P1-2002-T006,4a3254b2-d294-45c4-b86e-1ddb6fabc593,"Science, scientific method and critique"
SOCIO-P1-2000-T008,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-1998-T006,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-1997-T009,ee6fbe19-4181-44e7-a4c4-44d3ab19292a,"Variables, sampling, hypothesis, reliability and validity"
SOCIO-P1-1997-T010,4a3254b2-d294-45c4-b86e-1ddb6fabc593,"Science, scientific method and critique"
SOCIO-P1-1996-T008,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-1995-T008,4a3254b2-d294-45c4-b86e-1ddb6fabc593,"Science, scientific method and critique"
SOCIO-P1-1994-T012,b5784f6e-b737-4ab5-9c2c-5ab7cd729f43,Major theoretical strands of research methodology
SOCIO-P1-1993-T009,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-1992-T007,ee6fbe19-4181-44e7-a4c4-44d3ab19292a,"Variables, sampling, hypothesis, reliability and validity"
SOCIO-P1-1991-T009,4a3254b2-d294-45c4-b86e-1ddb6fabc593,"Science, scientific method and critique"
SOCIO-P1-1991-T010,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-1990-T010,13b94119-8de4-4924-b30b-7d246b86ca9e,"Nation, state, citizenship, democracy, civil society, ideology"
SOCIO-P1-1988-T012,b5784f6e-b737-4ab5-9c2c-5ab7cd729f43,Major theoretical strands of research methodology
SOCIO-P1-1986-T009,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-1985-T009,ee6fbe19-4181-44e7-a4c4-44d3ab19292a,"Variables, sampling, hypothesis, reliability and validity"
SOCIO-P1-1985-T010,4a3254b2-d294-45c4-b86e-1ddb6fabc593,"Science, scientific method and critique"
SOCIO-P1-1984-T010,c4d47a4c-e865-4bde-aba5-909ffceaf601,"Fact, value and objectivity"
SOCIO-P1-2010-T016,a12f62d9-14a6-4f3e-98ac-7c91c76f7311,Techniques of data collection
SOCIO-P1-2010-T018,fac95b84-dc87-4d4e-a935-2b55043f687a,Qualitative and quantitative methods
SOCIO-P1-2009-T014,ee6fbe19-4181-44e7-a4c4-44d3ab19292a,"Variables, sampling, hypothesis, reliability and validity"
SOCIO-P1-2008-T009,ee6fbe19-4181-44e7-a4c4-44d3ab19292a,"Variables, sampling, hypothesis, reliability and validity"
SOCIO-P1-2008-T011,ee6fbe19-4181-44e7-a4c4-44d3ab19292a,"Variables, sampling, hypothesis, reliability and validity"
SOCIO-P1-2003-T010,ee6fbe19-4181-44e7-a4c4-44d3ab19292a,"Variables, sampling, hypothesis, reliability and validity"
SOCIO-P1-2002-T008,a12f62d9-14a6-4f3e-98ac-7c91c76f7311,Techniques of data collection
SOCIO-P1-1999-T009,a12f62d9-14a6-4f3e-98ac-7c91c76f7311,Techniques of data collection
SOCIO-P1-1998-T008,ee6fbe19-4181-44e7-a4c4-44d3ab19292a,"Variables, sampling, hypothesis, reliability and validity"
SOCIO-P1-1990-T008,a12f62d9-14a6-4f3e-98ac-7c91c76f7311,Techniques of data collection
SOCIO-P1-1989-T008,a12f62d9-14a6-4f3e-98ac-7c91c76f7311,Techniques of data collection
SOCIO-P1-1988-T010,ee6fbe19-4181-44e7-a4c4-44d3ab19292a,"Variables, sampling, hypothesis, reliability and validity"
