row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
question,c32c55d4-24dd-4d3d-b23c-ee2140bf4aca,2020,1,Which of the following campaigns is aimed to improve the efficiency of welfare services intended for girls in India?,no_primary_tag,flagged,,,,
question,1124baae-5f40-45ec-b8ed-84a94d0e9e9e,2020,1,"During the registration of a company, the CRC issues _________",suspicious_repeat_char,flagged,,,,easy
question,5fdd7f50-8633-4e3b-8d94-6975391333ce,2020,1,Which of the following does not appear in Cash Budget?,,spot_check,,,,easy
question,f5b67d9b-39b4-4491-970a-0415102251f0,2020,1,Calculate the amount of net profit from the following. The Nifty Option Contract has 75 shares per lot. A person bought a call option on Nif,,spot_check,,,,medium
question,bf1d05ba-9989-4444-a462-62fac7c20250,2020,1,JIT is used in _________,suspicious_repeat_char,flagged,,,,easy
question,1f5bf81a-813a-4234-8ad8-c9ad82b40fd6,2020,1,What kind of a role the manager is performing when he is representing the company in all the industry meetings?,,spot_check,,,,easy
question,768b1806-62f6-40ee-862e-e6a148341634,2020,1,Tally Software is used for ____________,non_ascii_suspect;suspicious_repeat_char,flagged,,,,easy
question,a205b1ef-8920-486d-a363-8fc1d660dfa6,2020,1,Who among the following appoints the special auditor?,,spot_check,,,,easy
question,bc6a3eb1-32df-44df-aa02-79983adaa3ea,2020,1,Performance approach through rewards and punishment is called _________,suspicious_repeat_char,flagged,,,,easy
question,b26786f2-6768-46de-a9c3-025927366173,2020,1,"If demand curve is negatively sloped, then Law of demand says that quantity demanded is related with _______________",suspicious_repeat_char,flagged,,,,easy
question,cbdd50c0-ed24-4128-ad9e-f60815f1f27c,2020,1,BSE is headquartered at __________,suspicious_repeat_char,flagged,,,,easy
question,df85f85f-0c82-4295-aba9-bb7e768b17ba,2020,2,Statistics of population is known as _______________,suspicious_repeat_char;no_primary_tag,flagged,,,,
question,4ad4bdd1-2f01-47d3-a947-d9eb1065ae47,2020,2,"What is the total number of schedules in the Companies Act,2013?",,spot_check,,,,easy
question,f8844f67-ea63-44ac-b5b2-c8fc3ae66b10,2020,2,8000 units were introduced in the process. 5% is the normal loss. 6600 units were transferred to next process. WIP is 1000 units which is 60,,,,,,medium
question,fb6e0328-bf77-4518-93ff-164d00c26f4a,2020,2,"If a hotel provides complimentary breakfast to its guests, then what kind of supply is this in the context of GST?",,,,,,easy
question,1624f665-24f2-4b0b-aba2-16cc9e6df28a,2020,2,"If the Contribution is = Rs 40,000; Sales is = Rs 2,00,000. What is the P/V Ratio?",,spot_check,,,,medium
question,5d179f8d-d46f-4492-bdee-83304cc5619e,2020,2,"If a manager informs employees of policies and related stuff, then the role played by him is that of a ___________",suspicious_repeat_char,flagged,,,,easy
question,e7a8997b-1d43-494c-84ad-d9d9b9f1c024,2020,2,Bill of exchange drawn in parts is known as __________,suspicious_repeat_char,flagged,,,,easy
question,c30c5094-1317-4374-863f-99954ac1a0e3,2020,2,The Auditor can be removed before expiry of his term by which of the following?,,,,,,easy
question,3f001dba-a1ab-4484-909e-51808ae6576a,2020,2,O in SWOT Stands for __________,suspicious_repeat_char,flagged,,,,easy
question,9e24fbf3-7303-4948-86ba-c4789dfb15c1,2020,2,The Phillips Curve is a relationship between ___________,suspicious_repeat_char,flagged,,,,easy
question,31ce0bbd-2cbf-4255-a22a-dc3f40c774bd,2020,2,DT in DTAA stands for __________,suspicious_repeat_char,flagged,,,,easy
question,ef8a4cc4-dbf6-47f8-9272-ee3a8cdb24a1,2020,3,Which animal is displayed in the Make in India logo?,no_primary_tag,flagged,,,,
question,020f4397-57d1-45e5-8fa9-9b8cfc681fcc,2020,3,"If there is charge against company properties, it is registered with _______",suspicious_repeat_char,flagged,,,,easy
question,f74e9a64-e1b9-4825-95e2-80601ac55e7a,2020,3,Sales unit is 162500. Total Actual Cost is Rs 3 lakhs. Actual Fixed Cost is Rs 87000 (in line with budgeted cost). Total Actual Cost is Rs 1,,,,,,medium
question,d76cf58b-105b-41c6-88c7-95af5c9f6dcc,2020,3,Open Interest indicates ___________,suspicious_repeat_char,flagged,,,,easy
question,9dccabb3-206b-49b6-a725-6a083de0c15d,2020,3,Labour Turnover = ________________,suspicious_repeat_char,flagged,,,,easy
question,2e4f51aa-269f-443d-a2f1-626095553db1,2020,3,"The role played by a HR manager in the career planning, training and development of a worker is __________",suspicious_repeat_char,flagged,,,,easy
question,653b8379-7430-45bc-bde4-89cc93b34bf2,2020,3,"If partnership deed is not there, then how the profit is distributed among partners?",,spot_check,,,,easy
question,035d0deb-9c7b-41e6-83c9-22af128184b1,2020,3,Which section of the Companies Act gives power to SEBI to issue of capital and transfer of shares? Options:,,,,,,easy
question,402fe1d1-2b7c-4835-a669-be742149e527,2020,3,What is the full form of CPM?,,spot_check,,,,easy
question,a4bb3bb7-3374-4f76-9a75-6fbb917b77b8,2020,3,"From the following, select the correct phase of business cycle.",,spot_check,,,,easy
question,0e137159-5f41-4965-abdd-25e24f2e4973,2020,3,NBFCs are regulated by ___________,suspicious_repeat_char,flagged,,,,easy
question,b4922cd7-318c-45b8-87f4-fa7518942607,2020,4,Which of the following can be considered as FDI apart from investing in one’s home currency? Options:,non_ascii_suspect,flagged,,,,
question,605c3a8f-b1c1-404a-bddb-004e6078bf81,2020,4,"The Selling price per unit is Rs 40. The P/V Ratio is 40%. The amount of fixed costs = Rs 60,000. Find the BEP in units.",,spot_check,,,,medium
question,a1171fef-d726-49c0-ac48-9a5686d83f66,2020,4,Roles and Responsibilities of Forward Market Commission duties are transferred to ____________,suspicious_repeat_char,flagged,,,,easy
question,906c835b-92c4-4551-9376-c72b079aadf6,2020,4,"In trait approach theory, intelligence, emotion, knowledge form which trait of the leader?",,,,,,easy
question,17243816-9c29-478b-b480-fbe07d39a069,2020,4,Rent Expenses were charged to the books of accounts for 11 months but it was not charged in the 12th month. Which type of error is this?,,,,,,easy
question,6895879c-72f7-4647-94c6-a17f6be3a344,2020,4,Reduction of share capital can be done with the approval of _________,suspicious_repeat_char,flagged,,,,easy
question,0b11d219-40c7-4cb3-bae5-12763a18f3e6,2020,4,Which of the following would be best for process improvement?,,,,,,easy
question,b4955810-c055-4bef-a45c-8dacd94149a5,2020,4,What is difference between M1 and M3 in money supply in India?,,,,,,easy
question,d0835745-7485-4349-80f2-d1fc31b94fca,2020,4,Which type of Tax is handled by the CBDT?,,spot_check,,,,easy
question,a72fe8f2-ac5d-4b89-a609-8d7ec54b8667,2020,5,"The ____________ states that other factors being constant, price and quantity demand of any good and service are inversely related to each o",suspicious_repeat_char,flagged,,,,
question,a00259ed-fcd0-42fa-928e-f79e3c224035,2020,5,MRP II is a type of __________,suspicious_repeat_char,flagged,,,,easy
question,55a2534b-eea5-447d-9342-3588a44f615b,2020,5,Stock Price is Rs 60. The Initial Margin is 40% and Maintenance Margin is 20%. At what price the Margin Call would be made?,,,,,,medium
question,66589e04-84cc-40bc-a88f-1e52e999bbad,2020,5,Which of the following are qualities of an effective leader?,,,,,,easy
question,912ed088-db33-4742-86aa-e6a7c836194b,2020,5,"While calculating income from house property, Municipal Taxes are treated on _______basis",suspicious_repeat_char;no_primary_tag,flagged,,,,
question,7430fe64-0144-4c00-a10a-10efd00e5f25,2020,5,As per law what is this company called when 1 partner has 999 shares and another has 1 share? Options:,,,,,,easy
question,57c8b486-0caa-48a0-a355-f30b9c38392c,2020,5,Income and employment as per Keynes theory is determined by _____________,suspicious_repeat_char,flagged,,,,easy
question,7b4e072b-3823-4d15-b072-cd895bca0e89,2020,5,GSTIN is allotted based on _______,suspicious_repeat_char,flagged,,,,easy
question,b42c8f00-c489-4268-985a-5ac5664f39b1,2020,6,Which of the following is a technique of Inventory Management?,,,,,,easy
question,2b8ad1e5-7f64-40c2-addd-3f25a22e81c2,2020,6,"When the company dissolves, which of the following the debenture holders have the right to receive?",,,,,,easy
question,c0d1fdd2-71c6-44a2-a280-851ec95ae369,2020,6,"What is considered as the life spark of management and includes motivating, guiding, etc. to the employees?",,,,,,easy
question,843d579c-095f-4da9-b8e8-09bba8d7b219,2020,6,"If the total Assets are – Rs 36,000; Liabilities are – Rs 16,000; What is the amount of Equity?",non_ascii_suspect,flagged,,,,medium
question,78c1930c-46b3-4298-a37e-4b44d0bdeffb,2020,6,Which section of the Companies Act 2013 deals with the removal of the name of the company from the register of the companies?,,,,,,easy
question,67ef98d1-4bc8-4387-971a-3ac672c8f121,2020,6,Which of the following constitutes fiscal deficit?,,,,,,easy
question,8e335c71-b334-4c27-bec9-f0536b9f3901,2020,6,"As per the Constitution of India, when a bill is presented in the Parliament of India, who decides whether a Financial Bill is a money bill ",,,,,,easy
question,e36af9c4-fb54-44f2-9c12-8e08ca925964,2020,7,Over and Under Absorption of Overheads due to Normal Factors are ___________,suspicious_repeat_char,flagged,,,,easy
question,949a16f7-6126-4f0b-806c-e8cc5f5e464c,2020,7,Which instrument is used by foreign entities not registered with SEBI to invest in India markets via registered brokers?,,spot_check,,,,easy
question,c5adaa53-e129-41c2-af30-a18744dc36e3,2020,7,Which of the following is a psychological barrier? Options:,,spot_check,,,,easy
question,c0b85906-6854-49ef-a064-7c2051aba5cd,2020,7,The partner will open a current account when partner has __________,suspicious_repeat_char,flagged,,,,easy
question,c97d8f48-1698-4d46-844f-521c3363bad7,2020,7,What is the difference between GVA at Basic Price and GDP?,,,,,,easy
question,e0cc303d-d9f7-4b62-9c13-3ee3b7ebb472,2020,7,"Which section of IT Act, 1961 act is known as charging section?",,,,,,easy
question,836b68bd-fe37-4246-b131-31cd93172ff9,2020,8,Which of the following is aimed at eliminating waste and increasing efficiency?,,,,,,easy
question,c986bc3e-7655-4336-a67c-3ca58fd3377b,2020,8,Which of the following is not a part of the Money Market?,,,,,,easy
question,67982a30-5a81-4ba7-a330-07095fca4ad1,2020,8,What is the difference between morale and motivation?,,,,,,easy
question,3060fbc0-0404-4653-9bde-e3376b18e754,2020,8,Provision of tax is under which sub-head in balance sheet __________,suspicious_repeat_char,flagged,,,,easy
question,cd6c36b0-bb36-4b57-a583-b7918c915425,2020,8,Which of the following will not affect Current Account Deficit?,,,,,,easy
question,fe83a90e-9c5f-499c-86ac-d6f89cd21f9f,2020,8,Which of the following is a non-negotiable instrument?,,,,,,easy
question,6d6e6f5b-8303-48ab-a7d3-b307eb0c4426,2020,9,Which of the following is the most volatile investment?,,,,,,easy
question,1fc77083-bfc9-4de5-a2ef-5dda328035f8,2020,9,Which of the following is true about Oral Communication?,,,,,,easy
question,c371cd37-f963-47e1-b830-6faff3e28e28,2020,9,"Debit what comes in, credit what goes _______",suspicious_repeat_char,flagged,,,,easy
question,a883a55a-72d1-4341-be4a-e91d52feb324,2020,9,Market for Gold and silver is known as __________,suspicious_repeat_char,flagged,,,,easy
question,32b98021-7845-4f59-9a82-72892bc35ba7,2020,10,Financial goods and services is provided to economically weaker sections at affordable price by financial institutions then it is called? Op,,,,,,easy
question,9aab886b-abd1-4af3-9624-e458e3f57c3a,2020,10,Current assets are assets expected to be realized within ________,suspicious_repeat_char,flagged,,,,easy
question,7d32ef07-cf55-4985-81f3-fc8587f41206,2020,10,Which of the following is also known as lender of last resort?,,spot_check,,,,easy
question,0061d07b-b5e5-41f8-b8ff-68d1d4317b58,2020,11,Which of the following organisation is responsible for promotion and financing of MSMEs?,,,,,,easy
question,6dcfdf24-2be9-4929-8704-d0ce57ed7f58,2020,12,GST is applicable to ____________,suspicious_repeat_char,flagged,,,,easy
question,744a7653-51ca-48c2-9116-9d3db7b3372b,2020,13,Which of the following would be given least priority at the time of liquidation of company?,,,,,,easy
question,53754c71-bac9-4d1d-adfa-bd0ad913a588,2020,14,ITNS 281 challan form is used for __________,suspicious_repeat_char,flagged,,,,easy
question,f742c03f-e3f9-4cb5-a449-1c5fa220af89,2020,15,Debenture holders are paid ____________,suspicious_repeat_char,flagged,,,,easy
question,d8e1963a-5db1-43ec-946d-00cec99be734,2020,16,Full form of NAV is terms of Mutual Fund is __________,suspicious_repeat_char,flagged,,,,easy
question,c539b393-58a5-4580-9b80-f4f1176afa6d,2020,17,What is the meaning of C in LCR?,,,,,,easy
question,58338963-0994-44f9-9d41-2facb0c8bc8c,2020,18,Which of the following can be considered as FDI apart from investing in one’s home currency?,non_ascii_suspect,flagged,,,,easy
question,5a5dff2c-938b-43a6-a44f-3da88de85e20,2020,19,What kind of ratio is the Current Ratio?,,,,,,easy
tag,391c87bf-8679-4036-b38d-4b1d5b16031e,2020,027ddbab-051d-45f4-a7c7-b2c25673391c,Risk-free instruments and risk categories,,spot_check,,,,
tag,abc0e2ea-0397-4526-9508-33bcadd215e4,2020,033fa30b-ae86-4b44-8a16-5b64de7eb0e3,Income-tax — assessment and rectification,,,,,,
tag,b9513664-7850-4349-8cf0-1599f863fece,2020,033fa30b-ae86-4b44-8a16-5b64de7eb0e3,Income-tax — assessment and rectification,,,,,,
tag,dec4429b-0c5a-4ad9-a17a-e3f6fc01bef7,2020,056a48dc-4269-4973-8cd8-946badaf7689,Double entry and rules of debit and credit,,,,,,
tag,f7cb0540-f3d8-4c6b-bb97-e80931ef48b5,2020,0a2bea54-898e-44df-9325-48b7239e0baa,Foreign direct investment — modes and routes,,,,,,
tag,91d73ec1-9421-44aa-afd4-ad1c4726ad33,2020,0b69e931-462a-45ae-a993-fcc71df11dfa,Central Registration Centre and certificate of incorporation,,,,,,
tag,2ae72074-3217-4d95-a4e2-25b84f67dbb4,2020,0c61f5f4-a798-4f91-ba11-c8d3e9755f5c,Fiscal policy — instruments and stance,,,,,,
tag,a630e8d5-7c8e-4083-be34-bad901af2ebe,2020,177b68be-4bce-4c12-bc99-f7fabcbc1de6,"Bank advances — cash credit, overdraft, bill discounting",,,,,,
tag,cc3bd886-e89a-4bfa-adf0-c8c4ad04f699,2020,1b4a4381-e321-42ae-aca3-59c2ef411043,Registration of charges,,,,,,
tag,81b3a0f5-23f3-4e80-b083-a327fe2937b1,2020,1cefdf19-0cb1-4bad-a0f3-d5cde6ee8c46,Fixed vs floating rate securities,,,,,,
tag,1623b2e4-6001-4ebc-bed3-72617662aff0,2020,1cefdf19-0cb1-4bad-a0f3-d5cde6ee8c46,Fixed vs floating rate securities,,spot_check,,,,
tag,a96a76b5-60b9-4e81-b3e8-d5526d003d4f,2020,20d46b1a-d0d4-4211-8d9c-829a9e68c15f,Schedule III — Balance Sheet heads and sub-heads,,,,,,
tag,5c5f08b2-ae83-449b-8920-0e6b2cb9bd07,2020,20d46b1a-d0d4-4211-8d9c-829a9e68c15f,Schedule III — Balance Sheet heads and sub-heads,,,,,,
tag,8889c0ec-6f2a-4b7b-a271-76da15079216,2020,252bebff-0ce7-4dab-933a-fafb4c2719c7,Bills of exchange and account current,,,,,,
tag,daeebfa7-dfc5-45ba-b351-7c9c3a44eb4f,2020,3140dd31-8735-45e8-a6c9-2eb30216fdca,Open interest interpretation,,,,,,
tag,45e53151-45cb-4400-ab92-123dcc1ac0ae,2020,38570226-9451-435b-a9ee-ee5b19c91fec,Phillips curve — short run and long run,,,,,,
tag,59582ac5-8c7b-4d63-85a5-b69ddca66a9f,2020,3ed40431-0199-47c0-be2a-2f90dc092ff7,Reward and punishment approach,,,,,,
