slug	exams	name
mgmt-administration-vs-management-3cc17734	ifsca,pfrda,sebi	Administration vs management
mgmt-affiliative-and-coaching-styles-270b508d	ifsca,pfrda,sebi	Affiliative and coaching styles
mgmt-cpm-and-pert-146c6078	ifsca,pfrda,sebi	CPM and PERT
mgmt-charismatic-and-inspirational-leadership-1c99952e	ifsca,pfrda,sebi	Charismatic and inspirational leadership
mgmt-classical-neoclassical-behavioural-and-modern-schools-f37fa47a	ifsca,pfrda,sebi	Classical, neoclassical, behavioural and modern schools
mgmt-committees-and-codes-birla-narayana-murthy-kotak-e606753b	ifsca	Committees and codes — Birla, Narayana Murthy, Kotak
mgmt-communication-channels-and-channel-richness-df471aaa	ifsca,pfrda,sebi	Communication channels and channel richness
mgmt-competency-mapping-technical-and-behavioural-f79927c5	ifsca,pfrda,sebi	Competency mapping — technical and behavioural
mgmt-concept-and-goals-of-hrd-dca1d2bc	ifsca,pfrda,sebi	Concept and goals of HRD
mgmt-concept-and-principles-of-corporate-governance-fdd171aa	ifsca	Concept and principles of corporate governance
mgmt-concept-of-morale-7268f612	ifsca,pfrda,sebi	Concept of morale
mgmt-controlling-and-supervision-of-day-to-day-activities-0e74943a	ifsca,pfrda,sebi	Controlling and supervision of day-to-day activities
mgmt-cultural-and-background-barriers-85f1c437	ifsca,pfrda,sebi	Cultural and background barriers
mgmt-developmental-role-of-hrd-9360217b	ifsca,pfrda,sebi	Developmental role of HRD
mgmt-directing-as-the-life-spark-of-management-b54a5366	ifsca,pfrda,sebi	Directing as the life spark of management
mgmt-drucker-on-hrd-interventions-a055f82e	ifsca,pfrda,sebi	Drucker on HRD interventions
mgmt-drucker-on-management-7e314c22	ifsca,pfrda,sebi	Drucker on management
mgmt-factors-determining-morale-3ca96153	ifsca,pfrda,sebi	Factors determining morale
mgmt-fayol-s-14-principles-esprit-de-corps-7aa00129	ifsca,pfrda,sebi	Fayol's 14 principles; Esprit de Corps
mgmt-fayol-s-functions-coordination-dc798bc4	ifsca,pfrda,sebi	Fayol's functions; coordination
mgmt-fiedler-s-contingency-theory-58030378	ifsca,pfrda,sebi	Fiedler's contingency theory
mgmt-financial-vs-non-financial-incentives-f0022b20	ifsca,pfrda,sebi	Financial vs non-financial incentives
mgmt-formal-vs-informal-organisation-3300d5e1	ifsca,pfrda,sebi	Formal vs informal organisation
mgmt-goleman-s-leadership-styles-4dcd3f45	ifsca,pfrda,sebi	Goleman's leadership styles
