"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"e085ca25-6167-4888-bf28-7ba410ddc349","1","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; moved per migration 306"
"48f4f2ae-e214-42ca-93c0-d527814d4d1c","2","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","triad relation"
"d755ebab-3478-46cd-a309-08e11a17de82","3","General Intelligence and Reasoning","e8565eaf-c332-47da-97ab-b50aff00ac13","Two-statement syllogism","medium","","statements and conclusions"
"b99b5485-d05d-4bd7-9085-5a343d0bc4ba","4","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","numbers"
"1af613b4-41b6-4b26-904c-df42afb21a59","5","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-set relation"
"94f978b6-0ab7-4511-821d-c5cb5e9c8eeb","7","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","4-letter cluster series"
"1b696a7b-f192-4a7e-9dd9-0c059f1998ce","8","General Intelligence and Reasoning","a4dddc0f-e194-4eb6-bfc6-078240c8d4f0","Number and digit coding","medium","","letter count or position coding"
"8d677a91-6550-43b9-ae46-46804a662c48","9","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-pair relation"
"e1d802dd-928d-478e-8323-9c68c36b844a","10","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","hard","","3,20,121,604,2417; needs Number series leaf; filled from migration 306"
"a0d96570-ed0b-4955-9e19-0615e6b667f2","12","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; moved per migration 306"
"881bd2d5-ff1d-47c1-bf7c-f73746e677dd","13","General Intelligence and Reasoning","ee63d21f-3ff5-4193-975f-7e6c04a59c89","Three or more statement syllogism","medium","","3 statements, 3 conclusions"
"f966e479-49f2-4c32-92b0-c6f5c0add978","14","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","symbol chain"
"a042b1d6-ccac-4311-8d44-f15547877e0d","15","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","medium","","antonym pair"
"8f9e3bd2-fb0c-41ca-99dd-8eb1fb76d35c","17","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","easy","","alphabetical reorder"
"83f0e579-3abe-4a0c-9ec5-c53dd85fd9d5","18","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks"
"90b0a33b-0ea1-4c71-8dda-43ec4c66944f","20","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","term analogy"
"98f4b975-588a-4769-b766-86efcb6f932f","22","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","medium","","shift plus reversal"
"9d8d364c-6253-4174-bdea-8a49c07bcd52","24","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","letter clusters"
"3919201a-c753-4104-8780-abb588c3311e","51","Quantitative Aptitude","424d99d5-720f-409e-ba66-8660ac95a486","Area and perimeter - rectangle, square, triangle","medium","","midpoint triangle area"
"86402f75-e1c3-4216-a3f4-ddc9a13885db","52","Quantitative Aptitude","2ab2e850-22d2-4286-8b8e-5e40767657e3","Successive percentage change","easy","","rise then fall"
"8caa0f05-f20f-4eae-95cd-10ab112b86ed","53","Quantitative Aptitude","21fb2f26-ef41-477c-a8eb-2717f20b6083","Pipes and cisterns","medium","","leak reduces rate"
"ed5f52fa-7a79-485e-b2a7-c297e03204b7","54","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","medium","","complementary angles"
"a249fe7a-c067-4ea8-b810-ee2c18c75c93","55","Quantitative Aptitude","ce23f17b-f621-46b0-bb72-fc926a0be3d4","Tabular data interpretation","medium","","car sales table"
"901028c0-2ab9-4ff5-99c1-a5727a2fc0d6","56","Quantitative Aptitude","ce23f17b-f621-46b0-bb72-fc926a0be3d4","Tabular data interpretation","easy","","marks table"
"43d6d410-c19a-43b4-aebe-7c58b033b406","57","Quantitative Aptitude","9ea559c5-2c7b-49b4-8ab0-98938fd471df","Simple and compound interest","easy","","time from SI"
"16aee99b-2eab-49a7-bbf1-b5831f4e49e4","58","Quantitative Aptitude","424d99d5-720f-409e-ba66-8660ac95a486","Area and perimeter - rectangle, square, triangle","easy","","square from diagonal"
"1ffd9251-1109-465e-95dc-614c122f9cef","59","Quantitative Aptitude","14c51cd0-d60f-42bb-a584-89639d2306fa","LCM, HCF and divisibility","easy","","divisible by 2 and 5"
"1e362f11-25d9-4d02-a9ef-ba5660db1e88","60","Quantitative Aptitude","74799854-a84e-4607-844e-afb8c50b7bc0","Simple and compound ratio","medium","","mean proportional then divide"
"f29bf370-32f2-4bfa-8332-63ea67dc289a","62","Quantitative Aptitude","5d6007fc-1b29-498d-bd19-6a50b296f041","BODMAS and order of operations","medium","","nested with 'of'"
"16ad3b72-cfa6-4e37-acd0-94b2306253c3","63","Quantitative Aptitude","4ad71c10-ba53-15ef-e1ce-9598602559a9","Congruence and similarity","easy","","area ratio to side ratio"
"e222163e-8caf-4e53-8c6e-5af9438ff536","64","Quantitative Aptitude","ce23f17b-f621-46b0-bb72-fc926a0be3d4","Tabular data interpretation","medium","","brand table"
"1b7eb371-2238-4942-860e-c47ec4c96b85","65","Quantitative Aptitude","528ffbb5-94cb-438d-a875-c854d0f65ec5","Averages - simple and weighted","medium","","average of primes in range"
"d67a86b6-5899-4847-a700-761becadad71","66","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","easy","","right triangle complementary"
"e4eb8bdf-ff7a-4d01-8a41-a584a77abc0a","67","Quantitative Aptitude","e1fecd85-fe0d-4594-a851-40691666a7b4","Algebraic identities and factorisation","medium","","a3-b3 over a2+ab+b2"
"6f762627-a0b8-446b-a3b6-8695798e1dcb","68","Quantitative Aptitude","a5ece133-4cad-4641-8caa-5e593c34e888","Simultaneous equations from word conditions","medium","","inconsistent pair"
"1429ba31-8010-47f9-ad7d-f2cf5c33e27c","69","Quantitative Aptitude","9ea559c5-2c7b-49b4-8ab0-98938fd471df","Simple and compound interest","medium","","borrow rate versus profit rate"
"7c4934d5-30b6-4793-994c-31b1629a0757","70","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","hard","","standard-angle expression"
"70eb780e-c9c0-4f8b-8533-aaef00f521eb","71","Quantitative Aptitude","acb24326-448a-3224-7ec8-98891f931f53","Triangle properties and centres","easy","","isosceles base angles"
"0f07d65e-4c01-4843-af61-0f1adc5a8a3d","72","Quantitative Aptitude","f6a36919-07e6-46a8-ae43-e3c13d549c98","Discount and marked price","medium","","CP from MP then discount"
"5d57d492-6b08-43b4-a465-206ec046ce1d","73","Quantitative Aptitude","4ad71c10-ba53-15ef-e1ce-9598602559a9","Congruence and similarity","easy","","congruence correspondence"
"a10817b5-4910-4e77-89ec-979100be88e4","74","Quantitative Aptitude","f5c68108-e718-4a7e-b546-d07e543534b5","Relative speed and meeting problems","medium","","chase with head start"
"686a6383-73fd-4cf3-9430-679c23413163","75","Quantitative Aptitude","e1fecd85-fe0d-4594-a851-40691666a7b4","Algebraic identities and factorisation","easy","","a2+b2+ab pattern"
"a7f483c1-9666-4e84-afeb-58d4f5241c2d","76","English Comprehension","10b21db7-8b86-4fa9-a1f6-8cd7d21085da","Segment-marked error identification","medium","","part with error"
"5d3781f5-ba3d-47f5-b148-0a2903f406d2","77","English Comprehension","8d10db27-adf4-21de-1e30-ac69023ab650","Sentence rearrangement (para jumble)","medium","","jumbled parts; see para-jumble gap; moved off Logical Order per migration 306"
"bd554b66-4f2c-42e4-af49-0373e8783493","78","English Comprehension","22591465-673a-c375-3460-2702125f6fc3","Spelling","easy","","received"
"8f553e41-4fb0-4871-8992-c179ce567d39","79","English Comprehension","f4ab61e2-cadf-4686-a1c5-50554463f230","Meaning of an idiom in context","easy","","read between the lines"
"1a8c4262-d3d6-4247-aa69-8f58b08b1a3f","80","English Comprehension","b56cb48c-f85b-4158-8e71-f954f48a8c10","Antonyms","easy","","standalone word"
"d511b9cb-f461-4320-9967-df45c994b321","81","English Comprehension","b56cb48c-f85b-4158-8e71-f954f48a8c10","Antonyms","hard","","low-frequency word"
"26ecc678-3768-4a5b-b1bd-556686c385f4","82","English Comprehension","b56cb48c-f85b-4158-8e71-f954f48a8c10","Antonyms","medium","","underlined word in context"
