"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes"
"tag","27557103-f8f0-4342-888a-c7ef45753948","2013","6f2406e7-b4a9-4094-8dc9-c124ebfea6d2","Languages and literature of India: Sanskrit, Pali, Prakrit, and the major regional literatures (Tamil, Telugu, Malayalam, Kannada, Odia, Ass","","spot_check","verified","Parent question (1aaeadcd..., 2013 GS1 Q1) was verified manually 2026-08-25 before this tool existed - tag lagged behind. Verifying to match."
"question","836dbc40-2b44-4b65-b89a-6cb27df75c0b","2013","2","Discuss the Tandava dance as recorded in the early Indian inscriptions and sculpture.","","spot_check","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","379252ad-95f1-4a91-b6e5-cc0fcfef2994","2013","3","Chola architecture represents a high watermark in the history of South Indian architecture. Discuss.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","4584fe10-f1f0-4893-9234-f99a2e2122bd","2013","4","Defying the barriers of age, gender and religion, the Bhakti movement opened the doors of liberation to all. Discuss.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","62255e2a-fd63-4eed-b4bc-709e28f1add0","2013","5","""Strictly speaking, the Battle of Plassey was not a great battle but a great betrayal."" Explain.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","607d528d-8326-41e9-a218-a0b3445075ef","2013","6","Bring out the factors that led to the commercialization of agriculture in India during the colonial rule. State its consequences.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","c95de3ed-b7d7-44ad-8bef-9deda7a05f7a","2013","7","The Regulating Act of 1773 was the first step towards the centralization of British administration in India. Discuss.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","11a48699-3f6b-4ad1-8ec0-ff95bbcb2655","2013","8","The policy of 'Ring Fence' pursued by Warren Hastings was a precursor to the Subsidiary Alliance system of Wellesley. Comment.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","331b8b7e-7c05-48c2-8fcd-84583b6dbdba","2013","9","Discuss the reasons for the rise of Indian Nationalism in the late 19th century.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","5cb9daf8-900a-4f2f-ae1e-718532e3c973","2013","10","Evaluate the role of the Indian National Army (INA) in the freedom struggle of India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","2282d2fd-ea70-4eb9-91f6-f26f4792a581","2013","11","What were the major reasons for the outbreak of the French Revolution? How did it affect the modern world?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","2229e800-0153-4cc9-b942-6b8b3e00882a","2013","12","Critically examine the factors responsible for the rise of Fascism in Italy after the First World War.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","e1d8a5b0-4765-4337-ab6c-ef57d4a9518e","2013","13","The American War of Independence was an economic revolt against British mercantilism. Discuss.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","122f091f-869b-452f-adc4-6b5aa955a74d","2013","14","Discuss the consequences of the Industrial Revolution on the working class in England.","","spot_check","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","7685cfae-468f-4ecb-ab2f-16712a2df858","2013","15","How do you explain the global distribution of active volcanoes?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","f2d2ea7d-ae87-48fe-bae7-2149b3bc518e","2013","16","Discuss the factors influencing the localized distribution of the cotton textile industry in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","df88d229-d05e-4aaa-af0b-04d22c5126f7","2013","17","What is the 'continental drift' theory? Discuss the evidence supporting it.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","5230f89e-c72c-4159-8cfe-d64e48f733a7","2013","18","Explain the origin and distribution of the monsoon climate in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","53a689c3-d86a-446e-9bd5-626c7f8042d5","2013","19","Discuss the ecological and economic importance of wetlands in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","d7ef4a9e-6798-49ff-996b-76cbe3a618a1","2013","20","What are the major challenges associated with the management of urban solid waste in Indian cities?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","0c6318d3-0de1-4bb2-9962-c068a2f8f7d6","2013","21","Examine the role of the caste system as a barrier to social mobility in contemporary India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","c08872c9-b90e-443b-ab8a-dda43f6d2035","2013","22","Discuss the socio-economic impacts of globalization on the elderly population in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","8e596008-c4d5-4812-816f-3c0ad6d2139d","2013","23","How does communalism manifest itself in Indian politics? Suggest measures to counter it.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","5d776088-bd44-434e-b212-3f0b217dc2a8","2013","24","Discuss the challenges faced by women working in the unorganized sector in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","b2ea409f-c901-4013-91ed-479d11ce5eed","2013","25","Analyze the relationship between poverty and population growth in the context of developing nations.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","20ca8db4-c912-4317-a3ee-f03f6da608e1","2013","26","The dynamic nature of the Indian Constitution is reflected in its amendment process. Discuss.","","spot_check","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","7f72f92f-e1c4-4df8-b8aa-571b52c63cbe","2013","27","Discuss the scope and limitations of judicial review in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","b8d7b7d3-f4ae-40dc-8267-032375860fa2","2013","28","The Governor's discretionary powers have often been a source of tension between the Centre and the States. Comment.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","56abac36-0a65-4262-b6da-320cca13c5e2","2013","29","Discuss the significance of the 73rd and 74th Constitutional Amendment Acts in empowering local bodies.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","9a2ec8d6-75d5-413c-9787-bf85353a3a70","2013","30","Examine the role of the Finance Commission in strengthening fiscal federalism in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","b7200ec0-01d7-4457-9027-23dc79581387","2013","31","The Central Vigilance Commission (CVC) has emerged as an important body to fight corruption. Discuss its powers and limitations.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","c004895e-1129-436f-b6ee-920f78faaf77","2013","32","What is the Right to Information (RTI) Act? Discuss its role in enhancing accountability and transparency in governance.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","f8c4dddb-a91d-4941-aab5-f789df801021","2013","33","Examine the role of civil society organizations in the formulation of public policies in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
