row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview,paper_id,section,current_primary_topic_id,apply_result,apply_detail
question,000f179a-e88b-438d-98e6-da4f64fe66e3,2024,1,How much government assistance is being provided for the Pradhan Mantri Awas Yojana-Urban (PMAY-U) 2.0?,,spot_check,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,6b0ea750-f099-45b4-a632-5876b21840a0,difficulty;verified,
question,c03cf54f-6f27-4e8e-a958-f11435df69ef,2024,2,"The Pradhan Mantri MUDRA Yojana (PMMY) was launched in 2015 to ignite entrepreneurship, providing collateral-free micro-loans up to Rs 10 la",suspicious_repeat_char;no_primary_tag,flagged,verified,,c07b3f29-e87e-4721-8dfe-257793aae9e3,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,1eac5e45-a56c-4514-bdc4-c2d64bc5b156,2024,3,"As per the Union Budget 2024-25, the non-reporting of small movable foreign assets up to ____________ has been de- penalised. Fill the gap",suspicious_repeat_char;no_primary_tag,flagged,verified,,fa731497-39a6-49f8-b3ff-e0f3bb19cb96,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,e68ee927-612c-4717-b89b-4d1628d8897c,2024,4,What percentage of money can be withdrawn from the National Pension Scheme (NPS) after 3 years?,,,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,023e18bf-9868-4996-a2c3-24a2382589b0,difficulty;verified,
question,09bdd252-7913-4235-a3ad-f204400ce21a,2024,5,The Union Budget 2024-25 has proposed to reduce the turnover threshold of buyers for mandatory onboarding on the TReDS platform from Rs 500 ,suspicious_repeat_char;no_primary_tag,flagged,verified,,edfa8f79-7e0a-4f3e-8726-dbd3a97fb1de,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,ff22c6f5-286f-4ab9-97e2-aedf24118a15,2024,6,Which Ministry is recognized as the top achiever in the National Monetisation Pipeline for the financial year 2023-24?,no_primary_tag,flagged,verified,,fac566e1-1cba-4017-9733-f13cc31b1aa6,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,206667d0-5750-4ee4-ae1b-80e027ebd0de,2024,7,Which initiative has been launched by the Deendayal Antyodaya Yojana–National Rural Livelihoods Mission (DAY-NRLM) to empower individuals ac,non_ascii_suspect;no_primary_tag,flagged,verified,,6f182884-0443-48e2-ad72-601b4ad101ab,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,8723cf3a-e4af-413c-866f-ee2e9fdf3f2d,2024,8,"Under Self Reliant India (SRI) Fund of Rs. 50,000 crore, there is a provision of __________ from Government of India and ______________ thro",suspicious_repeat_char,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,4d006fea-73a6-4926-bd63-2d02b64af242,difficulty;verified,
question,21a031cf-d598-43d6-9700-906c616ff60f,2024,9,What is the share of export of MSME specified products in all India exports (in %) in FY 2023-24?,no_primary_tag,flagged,verified,,edfa8f79-7e0a-4f3e-8726-dbd3a97fb1de,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,3a9d6660-e922-4bc5-b390-dac5b922a38f,2024,10,"In pursuance of the spirit of ‘Digital India’ and capturing the essence of Minimum Government and Maximum Governance, which single window po",non_ascii_suspect,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,afc33796-d20d-4103-a4d0-f88f8e3e1087,difficulty;verified,
