row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
question,9f893d32-07de-4eca-8e9a-d918858bd432,2019,1,Consider the following statements: Agricultural soils release nitrogen oxides into the environment. Cattle releases ammonia into the environ,no_primary_tag,flagged,,,,
question,ff69d159-2b30-4746-b1c9-7fc89e34b702,2019,2,"What is common to the places known as Aliyar, Isapur and Kangsabati?",no_primary_tag,flagged,,,,
question,3837cc50-7c89-4ffc-8f61-c40924954a29,2019,3,"In the context of proposals to the use of hydrogen-enriched CNG (H-CNG) as fuel for buses in public transport, consider the following statem",no_primary_tag,flagged,,,,
question,e695a870-716e-49a0-a77b-046b1d7f6349,2019,4,Why are dewdrops not formed on a cloudy night?,no_primary_tag,flagged,,,,
question,e638568c-53bc-4219-9fc3-db6eeade8bb7,2019,5,Consider the following statements: The 44th Amendment to the Constitution of India introduced an Article placing the election of the Prime M,no_primary_tag,flagged,,,,
question,96ff2c8f-77bc-47d2-b27d-3c342a0a307c,2019,6,Consider the following statements: The- motion to impeach a Judge of the Supreme Court of India cannot be rejected by the Speaker of the Lok,non_ascii_suspect;no_primary_tag,flagged,,,,
question,82134561-abb5-4fba-84c9-fbc8bab9bdc0,2019,7,The Ninth Schedule was introduced in the Constitution of India during the prime ministership of-,no_primary_tag,flagged,,,,
question,d607412c-4cef-4962-a20b-66534b05d55c,2019,8,"Consider the following statements: Coal sector was nationalized by the Government of India under Indira Gandhi. Now, coal blocks are allocat",no_primary_tag,flagged,,,,
question,bb24d907-98af-451d-8307-e7dd477cd53b,2019,9,"Consider the following statements: The Parliament (Prevention of Disqualification) Act, 1959 exempts several posts from disqualification on ",non_ascii_suspect;no_primary_tag,flagged,,,,
question,e50d632b-86ee-479f-87a1-40bb6c5134bc,2019,10,Under which Schedule of the Constitution of India can the transfer of tribal land to private parties for mining be declared null and void?,no_primary_tag,flagged,,,,
question,ccdf2494-7526-4adb-94f4-98cd1ff8213f,2019,11,"Recently, there was a growing awareness in our country about the importance of Himalayan nettle (Girardinia diversifolia) because it is foun",no_primary_tag,flagged,,,,
question,bfd1f252-e1ef-4b1b-94b3-1d96f07dd7a2,2019,12,For the measurement/estimation of which of the following are satellite images/remote sensing data used? Chlorophyll content in the vegetatio,no_primary_tag,flagged,,,,
question,035d24c0-a682-47e7-9f7d-e29be0b93aa9,2019,13,"Consider the following States: Chhattisgarh M dhya Pradesh Maharashtra Odisha With reference to the States mentioned above, in terms of perc",no_primary_tag,flagged,,,,
question,2551d7e3-4bd2-4320-a93b-500670d23f68,2019,14,Which of the following statements are correct about the deposits of “methane hydrate”? Global warming might trigger the release of methane g,non_ascii_suspect;no_primary_tag,flagged,,,,
question,6146bba3-1297-430f-acac-83fa1a32897d,2019,15,Consider the following: Carbon monoxide Methane Ozone Sulphur dioxide Which of the above are released into atmosphere due to the burning of ,no_primary_tag,flagged,,,,
question,1504043f-a296-488f-81d9-c385c28910cd,2019,16,Consider the following pairs: Sea : Bordering country 1. Adriatic Sea : Albania 2. Black Sea : Croatia 3. Caspian Sea : Kazakhstan 4. Medite,no_primary_tag,flagged,,,,
question,657d3c65-cc5b-4a99-b328-3f342f75c4d7,2019,17,"Among the following, which one is the largest exporter of rice in the world in the last five years?",no_primary_tag,flagged,,,,
question,07e289b6-17c8-47b0-a05d-889bffdba7e0,2019,18,Consider the following pairs: Glacier : River 1. Bandarpunch : Yamuna 2. Bara Shigri : Chenab 3. Milam : Mandakini 4. Siachen : Nubra 5. Zem,no_primary_tag,flagged,,,,
