"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"2175c310-b3eb-4d4b-85a1-35f0110d5d3f","1","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; moved per migration 306"
"32661af4-3848-4b6e-a717-d805a1e4ddeb","2","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","easy","","alphabetical reorder, unchanged positions"
"f68dece5-4aa6-451b-b06d-038c03f102b5","3","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-pair operation"
"2250b471-acf7-407b-a421-b687a1615c62","6","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","medium","","interchange two numbers"
"5714d62b-7607-4b3a-bd16-086deeda42c8","7","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","medium","","odd word pair"
"bd59c315-ce62-4123-9f31-f2e834c6fff8","8","General Intelligence and Reasoning","a4dddc0f-e194-4eb6-bfc6-078240c8d4f0","Number and digit coding","easy","","letter count coding"
"e2b70a32-3ccf-42d5-b241-16fa07c160bb","9","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","odd number pair"
"30a0186a-f775-49ae-aa16-1b6a25135932","11","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks in repeating pattern"
"a526cbbb-be1c-4ff8-bcda-faa314bcb39b","12","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","whole-number relation"
"0597c69f-d432-42f8-9021-b1931d41a215","13","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","easy","","member:category"
"54876762-4b12-49bf-a369-7359a41fa6b3","14","General Intelligence and Reasoning","ee63d21f-3ff5-4193-975f-7e6c04a59c89","Three or more statement syllogism","medium","","3 statements, 3 conclusions"
"d8089896-bcea-4262-b425-406161e35a4b","15","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","symbol chain"
"01d959aa-e851-4e3f-8368-01691414f7db","20","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","letter-cluster analogy"
"0699069a-0c16-444f-9138-3c28b04f722a","21","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","4-letter cluster series"
"7b49d892-893b-4c23-afa3-7a5d1e8087cf","22","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","easy","","cube relation"
