id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
ACTS-010,financial-sector-acts,"SEBI Act — directions, interim measures, CIS and registration",L2,fix_needed,Y,"Greenleaf Agro, not registered with SEBI, pools ₹120 crore from the public for a teak-plantation scheme that promises returns from sale of timber. Under sectio…","B. Is deemed a CIS, since corpus is ₹100 crore or more","Securities and Exchange Board of India Act, 1992, s.11AA(1) proviso (inserted 2014)",,,,,
ACTS-020,financial-sector-acts,SEBI Act — Chapter VIA penalties and adjudication,L3,fix_needed,Y,An AO order dated 12 January 2026 imposed a penalty that SEBI considers erroneous and inadequate; SEBI wishes to enhance it under section 15-I(3). The noticee'…,C. 20 March 2026,"Securities and Exchange Board of India Act, 1992, s.15-I(3) proviso",,,,,
ACTS-021,financial-sector-acts,SEBI Act — Chapter VIA penalties and adjudication,L4,wrong_key,Y,"[case ACTS-CASE-KESTREL] For finding (a) alone, the **maximum** penalty under section 15F(a) is:",D. ₹1 crore,"Securities and Exchange Board of India Act, 1992, s.15F(a) (as substituted 2014)",,,,,
ACTS-022,financial-sector-acts,SEBI Act — Chapter VIA penalties and adjudication,L4,wrong_key,Y,"[case ACTS-CASE-KESTREL] The **maximum aggregate** penalty across findings (a), (b) and (c) is:",B. ₹1.66 crore,"Securities and Exchange Board of India Act, 1992, ss.15A, 15F(a), 15F(c) (as substituted 2014)",,,,,
ACTS-029,financial-sector-acts,SCRA — contracts in notified areas and legality of derivatives,L1,fix_needed,Y,"Under section 18A of the SCRA, one of the conditions under which contracts in derivatives are legal and valid, notwithstanding any other law, is that they are:",A. Traded on a recognised stock exchange and settled on its clearing house,"Securities Contracts (Regulation) Act, 1956, s.18A (as amended by Finance Act, 2015)",,,,,
ACTS-036,financial-sector-acts,SCRA — contracts in notified areas and legality of derivatives,L2,fix_needed,Y,"The Central Government has notified section 13 of the SCRA for Region Z. Two investors in Region Z, neither a member of a recognised stock exchange, agree dire…",B. Illegal under section 13,"Securities Contracts (Regulation) Act, 1956, ss.13, 18",,,,,
ACTS-052,financial-sector-acts,"Depositories Act — option to hold, transfer, fungibility and opt-out",L1,fix_needed,Y,"A beneficial owner opts out of a depository for certain shares. After receiving intimation from the depository, the issuer must issue the certificate of securi…",C. 30 days,"Depositories Act, 1996, s.14(3)",,,,,
ACTS-066,financial-sector-acts,"Depositories Act — penalties, SEBI powers and appeals",L3,wrong_key,Y,"Consider the following statements: 1. SEBI may call upon an issuer, depository, participant or beneficial owner to furnish information relating to securities h…","A. 1, 2 and 3","Depositories Act, 1996, ss.18, 19, 22 (as amended 2004)",,,,,
ACTS-071,financial-sector-acts,"Depositories Act — option to hold, transfer, fungibility and opt-out",L4,fix_needed,Y,"[case ACTS-CASE-ARCADIA] For the opt-out, the latest date by which Zenith must issue the certificate of securities is:",A. 5 August 2026,"Depositories Act, 1996, s.14(3)",,,,,
ACTS-006,financial-sector-acts,SEBI Act — Chapter VIA penalties and adjudication,L2,confirmed,Y,A registered portfolio manager fails to furnish documents called for by SEBI; the failure continues for **37 days**. The range of penalty the adjudicating offi…,C. ₹1 lakh to ₹37 lakh,"Securities and Exchange Board of India Act, 1992, s.15A (as amended 2014)",Y,,,,
