slug	exams	name	topic
gk-ancient-indian-texts-and-statecraft-2174dac6		Ancient Indian texts and statecraft	History
gk-freedom-movement-leaders-and-their-offices-c7d8f5ef		Freedom-movement leaders and their offices	History
gk-medieval-indian-empires-89a51a24		Medieval Indian empires	History
gk-national-memorials-and-samadhis-4dfb36a7		National memorials and samadhis	History
gk-post-independence-revolutions-and-their-pioneers-7b7f876c		Post-independence revolutions and their pioneers	History
gk-civilian-awards-and-the-honours-system-f414fae6		Civilian awards and the honours system	Indian Polity and Constitution
gk-comparative-government-and-world-legislatures-805a9f15		Comparative government and world legislatures	Indian Polity and Constitution
gk-fundamental-rights-d29a48dc		Fundamental Rights	Indian Polity and Constitution
gk-judiciary-and-judicial-administration-5352920e		Judiciary and judicial administration	Indian Polity and Constitution
gk-president-and-vice-president-of-india-f5832b8f		President and Vice-President of India	Indian Polity and Constitution
gk-recent-central-legislation-and-statutory-penalties-62a1d053		Recent central legislation and statutory penalties	Indian Polity and Constitution
gk-schedules-of-the-constitution-0e22c1f9		Schedules of the Constitution	Indian Polity and Constitution
gk-statutory-commissions-and-information-oversight-12115091		Statutory commissions and information oversight	Indian Polity and Constitution
gk-union-ministries-and-departments-cc6b7cd8		Union ministries and departments	Indian Polity and Constitution
gk-union-state-relations-and-the-legislative-lists-d8f8e469		Union-State relations and the legislative lists	Indian Polity and Constitution
gk-international-agreements-and-declarations-19824d81		International agreements and declarations	International Relations
gk-international-organisations-and-groupings-ccdfea5b		International organisations and groupings	International Relations
gk-international-summits-and-forums-328d7104		International summits and forums	International Relations
gk-sustainable-development-goals-45f4b84e		Sustainable Development Goals	International Relations
gk-world-affairs-and-geopolitical-terms-ee57779f		World affairs and geopolitical terms	International Relations
gk-awards-and-honours-34508904		Awards and honours	Miscellaneous
gk-books-and-authors-cdbb8150		Books and authors	Miscellaneous
gk-business-and-startup-terminology-9067341d		Business and startup terminology	Miscellaneous
gk-climate-awareness-initiatives-5c590710		Climate awareness initiatives	Miscellaneous
gk-commemorative-coins-and-numismatics-acb547d9		Commemorative coins and numismatics	Miscellaneous
gk-defence-forces-exercises-and-expeditions-60d9b297		Defence forces, exercises and expeditions	Miscellaneous
gk-sports-terminology-and-indian-sporting-history-a70dfb18		Sports terminology and Indian sporting history	Miscellaneous
gk-world-currencies-71063a47		World currencies	Miscellaneous
