question_number | question_text
1 | What can be inferred about the economy of the world from the passage?
2 | Which of the following was/were the objectives of the off -cycle meeting by RBI?
3 | Which of the following come(s) under the changes introduced by the RBI’s new policies?
4 | Which of the following if correct, most invalidates the arguments in the third passage?
5 | Which of the following is true according to the data in the passage?
6 | What is the primary focus of the author in the passage?
7 | From among the following given options, choose the word most similar in meaning to the highlighted word “gradual”, as used in the context of the passage.
8 | Which of the following words is most opposite in meaning to the highlighted word “deleterious”?
9 | Which is the fourth sentence after rearrangement?
10 | What is the correct rearrangement of the given sentences?
11 | Out of the given statements, only one is grammatically correct. Choose that statement as the answer. If all the sentences are incorrect, then choose option (e) as the answer. [Option a: The Union Cabin et recently approved the auction of airwaves...]
12 | Out of the given statements, only one is grammatically correct. Choose that statement as the answer. If all the sentences are incorrect, then choose option (e) as the answer. [Option a: Despite India’s open willingness to take part in the develop...]
13 | Out of the given statements, only one is grammatically correct. Choose that statement as the answer. If all the sentences are incorrect, then choose option (e) as the answer. [Option a: Banksia canei , commonly known as the mountain banksia, is a...]
14 | The king released the lion from its cage into the arena where the champion stood, and by t he end, the champion ultimately turned out to be _______________.
15 | Observing all the reports, the supervisor noted that the productivity of the wareho use was _____________ for the company’s needs.
16 | As soon as he entered the room, he was unable to see anything due to the stark ____________ inside.
17 | Noticing how the dimensions of the bridge were different than that of others in the city, my guest asked me why the bridg e was so _____________________.
18 | (i) BIMSTEC has, finally, taken measures to strengthen the Secretariat, (ii) some members are yet to extend adequate personnel support to it.
19 | (i) Earlier in March, Musk said he would put the deal "temporarily on hold", (ii) he waits for the social media company to provide more of its data.
20 | (i) There are nearly 500 plus heritage buildings dotting the skyline of Mysuru, (ii) only about 150 are notified while the rest are not declared as heritage buildings.
21 | Which of the following is not a benefit of adopting a vegetarian diet?
22 | Which of the following qualifies as a difference between a vegetarian and a non -vegetarian diet?
23 | How is proper planning important for a vegetarian li festyle?
24 | Which of the following ways can help in making vegetarian diets more interesting to adopt according to the passage?
25 | Which of the following words can most appropriately be substituted in the blank in the passage?
26 | Which of the following words is the most similar in its definition as the highlighted word adequate , the definition corresponding to its usage in the passage?
27 | Choose the word from the following options which most aptly acts as an antonym to the highlighted word beneficial as it is used in the context of the passage.
28 | Get a second wind (i) Even after dissatisfactory reports on his work, his manager decided to give him anoth er chanc e. (ii) After reaching a halt in his work, he found himself able to work again after taking a break. (iii) He disinvested from the stocks after he saw another stock’s prices going up at an exciting rate.
29 | Like two peas in a pod (i) Tim left the party immediately after John did, following in his footsteps. (ii) As soon as the waves subsided, they both realised they were lost and stranded in the open sea. (iii) The two employees joined the firm at the same time can always be found hanging out together.
30 | Once bitten, twice shy (i) He’s very cautious while cr ossing the road after just having recovered from a road accident injury. (ii) After failing the test, he decided to study diligently, but very soon went back to his old habits. (iii) The firm has refrained from actively investing in stocks ever since suffe ring losses in the recent financial crisis.
31 | Which of the following time for Chemistry class is scheduled?
32 | Which of the following subject is scheduled at last?
33 | How many classes scheduled between Chemistry and Maths?
34 | ____ class is scheduled 150 minutes after Maths clas s?
35 | The number of classes scheduled between Physics and Chemistry is same as the number of classes scheduled before ____ class .
36 | Which among the following word is third from the right end in step III?
37 | How many letters are there between third letter of the second word from the left end in step II and second letter of the fourth word from the right end in step III according to the English alphabetical series?
38 | What is the sum of the even numbers appeared in step IV?
39 | What is the difference between the numbers which are second from the right end in step IV and third from the left end in step V?
40 | Which among the following word is second to the left of third word from the right end in step II?
41 | What could be the fallout of the new excise policy approved by Delhi government?
42 | Which of the following can be postulated from the above statement? (I) Central government is not in the favour of move by Delhi Government. (II) Delhi government wants to increase their revenue (III) Annual revenue of states who has forbidden the liquor is less in compare to Delhi.
43 | Who among the following goes to Korea?
44 | Four of the following five are alike in a certain way and thus form a group. Who among the following does not belong to the group? [Option a: A...]
45 | Which among the following statement(s) is/are not true?
46 | In which among the following floor and flat does G live?
47 | Which a mong the following pair of persons live to the south west of G?
48 | How X is related to W?
49 | What is the sum of the ages of X mother’s and K?
50 | Who among the following is the child of T?
51 | What is the ratio of the ages of P’s uncle and S’s daughter?
52 | Seven persons i.e. P , Q, R, S, T , U and V attend the business meeting on different consecutive days starts from Tuesday but not necessarily in the same order. Find how many persons attend the meeting between U and T? Statement I: Three persons attend the meeting between P and T . U attends the meeting one of the days before T but not the first one to attend the meeting. Statement II: Two persons attend the meeting between T and S. The number of persons attends the meeting after T is two less than the number of persons attends the meeting before P . Statement III: More than two persons attend the meeting between U and V. V attends the meeting after S.
53 | Eight persons - A, B, C, D, E, F, G and H sit around a square table such that four of them sit at the corner of the table and the remaining four sit at the middle of the side of the table but not necessarily in the same order . All of them face towards the centre. Find who among the following sits third to the right of H? Statement I: E is an immediate neighbour of G who sits second to the left of H. A sits to the immediate left of E. Statement II: The number of persons sits between H and C when counted to the left of H is same as the number of persons sits between F and B when counted to the right of F. Statement III: F and D both didn’t sit at the middle of the side. F sits second to the left of D. F doesn’t sit adjacent to G.
54 | Seven persons i.e., P, Q, R, S, T, U and V have different weight but not necessarily in the same order. Find the third heaviest person among all? Statement I: R is heavier than at least two persons. S is heavier than R but lighter than U. Statement II: Three persons have weight between P and U. Q is just lighter than U. Statement III: Neither T nor V is the heaviest persons. R is not heavier than U.
