slug	exams	name	topic
qa-income-expenditure-and-savings-20025343		Income, expenditure and savings	Percentage
qa-percentage-comparison-what-percent-of-more-than-b5ef5d48		Percentage comparison — what percent of / more than	Percentage
qa-percentage-increase-and-decrease-85f661e1		Percentage increase and decrease	Percentage
qa-population-strength-and-quantity-change-e737e151		Population, strength and quantity change	Percentage
qa-successive-percentage-change-8a4031e7		Successive percentage change	Percentage
qa-combined-transactions-and-overall-gain-229905cb		Combined transactions and overall gain	Profit and Loss
qa-cost-price-selling-price-and-margin-fa9cf244		Cost price, selling price and margin	Profit and Loss
qa-discount-and-marked-price-feadd5c6		Discount and marked price	Profit and Loss
qa-equal-profit-and-loss-conditions-cdaceb4b		Equal profit and loss conditions	Profit and Loss
qa-simple-and-compound-interest-ee6f76e4		Simple and compound interest	Profit and Loss
qa-ages-present-past-and-future-0a8b95a2		Ages — present, past and future	Ratio and Proportion
qa-averages-simple-and-weighted-1f479970		Averages — simple and weighted	Ratio and Proportion
qa-median-and-mode-9fcb6443		Median and mode	Ratio and Proportion
qa-mixtures-and-alligation-921971ac		Mixtures and alligation	Ratio and Proportion
qa-partnership-and-profit-sharing-055fa70d		Partnership and profit sharing	Ratio and Proportion
qa-proportional-division-of-quantities-14622c51		Proportional division of quantities	Ratio and Proportion
qa-simple-and-compound-ratio-ae9a2833		Simple and compound ratio	Ratio and Proportion
qa-average-speed-and-journey-segments-5db28484		Average speed and journey segments	Speed, Time and Distance
qa-boats-and-streams-652dae37		Boats and streams	Speed, Time and Distance
qa-races-and-circular-tracks-ee936ee3		Races and circular tracks	Speed, Time and Distance
qa-relative-speed-and-meeting-problems-4f10cb81		Relative speed and meeting problems	Speed, Time and Distance
qa-trains-crossing-platforms-and-each-other-fbf3e1f2		Trains — crossing platforms and each other	Speed, Time and Distance
qa-efficiency-comparison-and-relative-capacity-7ef5386a		Efficiency comparison and relative capacity	Time and Work
qa-individual-and-combined-work-rates-f1d3f896		Individual and combined work rates	Time and Work
qa-partial-work-and-remaining-work-problems-3868d723		Partial work and remaining-work problems	Time and Work
qa-pipes-and-cisterns-567ce8e0		Pipes and cisterns	Time and Work
