slug	exams	name	topic
eng-connector-and-transition-cloze-adcb36dd		Connector and transition cloze	Cloze Test
eng-double-blank-sentence-completion-86aae4e4		Double-blank sentence completion	Cloze Test
eng-multi-blank-passage-cloze-85f89037		Multi-blank passage cloze	Cloze Test
eng-single-blank-contextual-cloze-cd934632		Single-blank contextual cloze	Cloze Test
eng-connector-based-completion-cbecd4db		Connector-based completion	Fill in the Blanks
eng-correct-and-incorrect-usage-of-a-word-e7d37216		Correct and incorrect usage of a word	Fill in the Blanks
eng-preposition-and-phrasal-completion-5c07ccb9		Preposition and phrasal completion	Fill in the Blanks
eng-sentence-completion-with-a-missing-part-71b4f9ef		Sentence completion with a missing part	Fill in the Blanks
eng-single-word-contextual-fit-601cbc5c		Single-word contextual fit	Fill in the Blanks
eng-word-pair-fit-32a9e377		Word-pair fit	Fill in the Blanks
eng-argument-evaluation-in-a-passage-3f8c21ba		Argument evaluation in a passage	Reading Comprehension
eng-author-tone-attitude-and-purpose-87729e1a		Author tone, attitude and purpose	Reading Comprehension
eng-explicit-detail-retrieval-5825931a		Explicit detail retrieval	Reading Comprehension
eng-inference-and-implied-meaning-a005bcd3		Inference and implied meaning	Reading Comprehension
eng-main-idea-and-central-theme-59263450		Main idea and central theme	Reading Comprehension
eng-passage-based-synonym-and-antonym-b6b1d1e6		Passage-based synonym and antonym	Reading Comprehension
eng-vocabulary-from-context-within-a-passage-b55df114		Vocabulary from context within a passage	Reading Comprehension
