slug	exams	name	topic
qa-algebraic-identities-and-factorisation-e8595f7a		Algebraic identities and factorisation	Algebra
qa-inequalities-and-relationship-determination-a6a6a638		Inequalities and relationship determination	Algebra
qa-linear-equations-in-one-and-two-variables-dbd6b335		Linear equations in one and two variables	Algebra
qa-quadratic-equations-root-comparison-x-vs-y-03936368		Quadratic equations — root comparison (x vs y)	Algebra
qa-simultaneous-equations-from-word-conditions-29e84158		Simultaneous equations from word conditions	Algebra
qa-bar-and-line-graph-interpretation-35302e14		Bar and line graph interpretation	Data Interpretation
qa-caselet-data-interpretation-372ea92b		Caselet data interpretation	Data Interpretation
qa-data-sufficiency-0fd64dd8		Data sufficiency	Data Interpretation
qa-mixed-and-combined-di-4edc5bb5		Mixed and combined DI	Data Interpretation
qa-pie-chart-interpretation-32cf3346		Pie chart interpretation	Data Interpretation
qa-set-based-data-interpretation-8e13c5a7		Set-based data interpretation	Data Interpretation
qa-tabular-data-interpretation-e6e4b3de		Tabular data interpretation	Data Interpretation
qa-area-and-perimeter-rectangle-square-triangle-e23db61d		Area and perimeter — rectangle, square, triangle	Geometry and Mensuration
qa-circle-area-circumference-and-sectors-e98b662b		Circle — area, circumference and sectors	Geometry and Mensuration
qa-circle-theorems-chords-tangents-and-cyclic-quadrilaterals-3a6cb205		Circle theorems — chords, tangents and cyclic quadrilaterals	Geometry and Mensuration
qa-congruence-and-similarity-19870cbb		Congruence and similarity	Geometry and Mensuration
qa-coordinate-and-line-geometry-eb041f58		Coordinate and line geometry	Geometry and Mensuration
qa-lines-and-angles-f48e31c3		Lines and angles	Geometry and Mensuration
qa-quadrilaterals-and-polygons-4a164691		Quadrilaterals and polygons	Geometry and Mensuration
qa-reshaping-and-equal-perimeter-problems-ef477223		Reshaping and equal-perimeter problems	Geometry and Mensuration
qa-triangle-properties-and-centres-b1451b8f		Triangle properties and centres	Geometry and Mensuration
qa-volume-and-surface-area-of-solids-42588cef		Volume and surface area of solids	Geometry and Mensuration
clocks-and-calendars		Clocks and calendars	Number System
qa-lcm-hcf-and-divisibility-bad12219		LCM, HCF and divisibility	Number System
qa-number-series-arithmetic-and-difference-patterns-130693e5		Number series — arithmetic and difference patterns	Number System
qa-number-series-multiplicative-and-mixed-patterns-340f34bd		Number series — multiplicative and mixed patterns	Number System
permutations-and-combinations		Permutations, combinations and counting	Number System
qa-remainders-and-factors-0faad1db		Remainders and factors	Number System
qa-sets-of-consecutive-and-patterned-numbers-57029c73		Sets of consecutive and patterned numbers	Number System
qa-wrong-term-series-af3f2c81		Wrong-term series	Number System
qa-income-expenditure-and-savings-20025343		Income, expenditure and savings	Percentage
qa-percentage-comparison-what-percent-of-more-than-b5ef5d48		Percentage comparison — what percent of / more than	Percentage
qa-percentage-increase-and-decrease-85f661e1		Percentage increase and decrease	Percentage
qa-population-strength-and-quantity-change-e737e151		Population, strength and quantity change	Percentage
qa-successive-percentage-change-8a4031e7		Successive percentage change	Percentage
qa-combined-transactions-and-overall-gain-229905cb		Combined transactions and overall gain	Profit and Loss
qa-cost-price-selling-price-and-margin-fa9cf244		Cost price, selling price and margin	Profit and Loss
qa-discount-and-marked-price-feadd5c6		Discount and marked price	Profit and Loss
qa-equal-profit-and-loss-conditions-cdaceb4b		Equal profit and loss conditions	Profit and Loss
qa-simple-and-compound-interest-ee6f76e4		Simple and compound interest	Profit and Loss
qa-ages-present-past-and-future-0a8b95a2		Ages — present, past and future	Ratio and Proportion
qa-averages-simple-and-weighted-1f479970		Averages — simple and weighted	Ratio and Proportion
qa-median-and-mode-9fcb6443		Median and mode	Ratio and Proportion
qa-mixtures-and-alligation-921971ac		Mixtures and alligation	Ratio and Proportion
qa-partnership-and-profit-sharing-055fa70d		Partnership and profit sharing	Ratio and Proportion
qa-proportional-division-of-quantities-14622c51		Proportional division of quantities	Ratio and Proportion
qa-simple-and-compound-ratio-ae9a2833		Simple and compound ratio	Ratio and Proportion
qa-approximation-with-decimals-and-surds-5e910263		Approximation with decimals and surds	Simplification
qa-bodmas-and-order-of-operations-eaf71d19		BODMAS and order of operations	Simplification
qa-fraction-and-percentage-equivalents-475121ec		Fraction and percentage equivalents	Simplification
qa-missing-term-simplification-find-47d869c3		Missing-term simplification (find ?)	Simplification
qa-square-roots-cube-roots-and-powers-f19808cb		Square roots, cube roots and powers	Simplification
qa-average-speed-and-journey-segments-5db28484		Average speed and journey segments	Speed, Time and Distance
qa-boats-and-streams-652dae37		Boats and streams	Speed, Time and Distance
qa-races-and-circular-tracks-ee936ee3		Races and circular tracks	Speed, Time and Distance
qa-relative-speed-and-meeting-problems-4f10cb81		Relative speed and meeting problems	Speed, Time and Distance
qa-trains-crossing-platforms-and-each-other-fbf3e1f2		Trains — crossing platforms and each other	Speed, Time and Distance
qa-efficiency-comparison-and-relative-capacity-7ef5386a		Efficiency comparison and relative capacity	Time and Work
qa-individual-and-combined-work-rates-f1d3f896		Individual and combined work rates	Time and Work
qa-partial-work-and-remaining-work-problems-3868d723		Partial work and remaining-work problems	Time and Work
qa-pipes-and-cisterns-567ce8e0		Pipes and cisterns	Time and Work
qa-complementary-angles-c7318569		Complementary angles	Trigonometry
qa-heights-and-distances-7268e06f		Heights and distances	Trigonometry
qa-trigonometric-ratios-and-identities-179e3e31		Trigonometric ratios and identities	Trigonometry
