row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview
question,31048229-9dda-49fe-90ea-c7b20289ee99,2013,400,How do you situate Anthropology in Social Sciences?,no_primary_tag,flagged,,,4376e479-7f6c-421c-b0e0-71fb60c16b7d,,
question,a270bb5b-472c-4c22-b527-b9d7533927ce,2013,401,Various types of descent.,no_primary_tag,flagged,,,b85abc50-68c3-4cd3-a571-7ce938f3bf66,,
question,a1d34e52-18b9-4fbb-963f-9eadf5f317e7,2013,402,Totemism.,empty_or_short;no_primary_tag,flagged,,,3a94f957-c568-4cbc-96b2-e199b6ec3ef9,,
question,0442cba4-ffda-46d8-9336-45eb8f5c2dd1,2013,403,Linguistic Anthropology.,no_primary_tag,flagged,,,4ff3f6bc-918f-4308-afa8-850f2062174d,,
question,fdb1b5b2-e0c3-47d9-a78f-58fdff07eeb4,2013,404,Carbon-14 method of dating.,no_primary_tag,flagged,,,e5a52ef5-d183-444d-a7fa-585a003314f9,,
question,f96b925a-4ddc-4b95-9d84-778cea142a0a,2013,405,Why has the concept of Culture Relativism been so dear to Anthropologies?,no_primary_tag,flagged,,,1284b836-a24e-4695-b3f9-ccb6680ea431,,
question,8d2761f9-91a1-424c-9ba0-08de16d237ba,2013,406,Bring out the distinguishing features of culture and civilization.,no_primary_tag,flagged,,,a27a1414-eb57-44a6-9e66-31f06c4484d5,,
question,5c5f88d0-e2c0-4606-b145-942158bc6527,2013,407,Where do you situate 'live-in relationship' within the institution of marriage?,no_primary_tag,flagged,,,21df0ccc-a62e-405f-9a35-46438c38b56f,,
question,3fbcb16e-3b6d-4f60-9cc9-14f49a0286ff,2013,408,Discuss the impact of globalization on tribal economy. 20m|350 words.,no_primary_tag,flagged,,,16204ce6-990d-4e2a-a468-969b4cc4a631,,
question,b0db6372-be7f-4102-8fbf-d9bb6cc73fd7,2013,409,In what ways is Functionalism different from Structural Functionalism? 20m|350 words.,no_primary_tag,flagged,,,d8e5bf36-f0a5-41ff-97b8-ffb149c104ec,,
