"slug","subject_id","section_id","section_label","paper_number","block_start","created_at"
"upsc-cse-mains-opt-psir-p1","0d0aead8-e03b-4bf4-92ed-cbd5af664266","1b09fcc9-5377-4b67-9284-0e3016577007","Optional: PSIR Paper-1","1","100","2026-09-10T02:00:01"
"upsc-cse-mains-opt-psir-p2","132b4208-06e9-471f-8f03-ce6a955d09f1","2fde6ec3-c8c0-4047-ab41-eb3a8c6b4a57","Optional: PSIR Paper-2","2","150","2026-09-10T02:00:02"
"upsc-cse-mains-opt-pubad-p1","c22d6fad-0e88-46c9-93ea-c6f27f77407d","07aec4e6-b88c-4d9e-ab6f-c2c4197a41b7","Optional: Public Administration Paper-1","1","200","2026-09-10T02:00:03"
"upsc-cse-mains-opt-pubad-p2","232e73a2-d0c2-4dd9-b03c-dfaa3f1e9c64","2b2361ef-6b55-48a9-9965-7835156946ec","Optional: Public Administration Paper-2","2","250","2026-09-10T02:00:03"
"upsc-cse-mains-opt-sociology-p1","15fd8b1e-8cda-44dd-a72d-db455ddadec1","7d9abaf8-5f32-46b8-ba99-8c252de7432a","Optional: Sociology Paper-1","1","300","2026-09-10T02:00:04"
"upsc-cse-mains-opt-sociology-p2","627a36a9-ec86-42ec-9b13-93c464659087","58f194b8-d522-4748-81f0-e8c19c7ee6dc","Optional: Sociology Paper-2","2","350","2026-09-10T02:00:05"
"upsc-cse-mains-opt-anthropology-p1","9f01fd26-c387-41ff-99e2-a492136f5ac5","f80a1bd6-2aa7-4eed-a774-e47783237842","Optional: Anthropology Paper-1","1","400","2026-09-10T02:00:06"
"upsc-cse-mains-opt-anthropology-p2","afae1e20-fc5e-4e97-94a1-29acbd18c5e2","f9405dfe-1a7e-4757-ad6f-4aeda6e514e3","Optional: Anthropology Paper-2","2","450","2026-09-10T02:00:06"
"upsc-cse-mains-opt-history-p1","99abb799-d368-47ca-a8d6-5a045f2086a1","a5a471c9-c1ee-4e38-ae99-1f35e337321d","Optional: History Paper-1","1","500","2026-09-10T02:00:07"
"upsc-cse-mains-opt-history-p2","865db4f2-c0b8-4751-a32a-8231b17ff640","b99c03b3-a513-4682-856c-25e0fa451b08","Optional: History Paper-2","2","550","2026-09-10T02:00:08"
"upsc-cse-mains-opt-geography-p1","f1e7a374-d59e-4584-9db1-aeacf0af95b1","5e177298-8e3f-429b-839e-4d651198f2d3","Optional: Geography Paper-1","1","600","2026-09-10T02:00:10"
"upsc-cse-mains-opt-geography-p2","787407d5-0100-4bde-89ba-60709afbf5e2","c3a1d961-7b65-409a-b767-5a64c0e15a21","Optional: Geography Paper-2","2","650","2026-09-10T02:00:11"
