row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
question,c06b9c2e-4dea-49bf-9706-e8d9e0f01250,2025,1,"With reference to investments, consider the following : I. Bonds II. Hedge Funds III. Stocks IV. Venture Capital How many of the above are t",no_primary_tag,flagged,,,c06dd0e0-b36c-4c67-8348-91ff8b833eb8,hard
question,e27a47e3-9a6d-4908-9322-55818fc32dc9,2025,2,Which of the following are the sources of income for the Reserve Bank of India? I. Buying and selling Government bonds II. Buying and sellin,no_primary_tag,flagged,,,f5ad1028-8843-46a9-a884-4b896581d7dc,medium
question,e2e53aa0-b900-4d46-a8ce-5f788bd2dcf3,2025,3,"With reference to the Government of India, consider the following information : Organization | Some of its functions | It works under I. Dir",no_primary_tag,flagged,,,66a6ed8a-da45-4316-91bd-76b02672e6bc,hard
question,a036533e-d2e1-4ba0-9525-b33f368444e5,2025,4,Consider the following statements : I. The Reserve Bank of India mandates all the listed companies in India to submit a Business Responsibil,no_primary_tag,flagged,,,8f03c3e9-d885-45fa-b2e4-aeebe1422591,hard
question,34af794a-31ee-4376-899c-a21b678e68e7,2025,5,"Consider the following statements : Statement I : In India, income from allied agricultural activities like poultry farming and wool rearing",no_primary_tag,flagged,,,0e80d2a1-69d8-42b6-b305-8f6cbec1a798,medium
question,abbc1f8a-4e7b-458a-b0b7-0e6eef587947,2025,6,Consider the following statements : I. India has joined the Minerals Security Partnership as a member. II. India is a resource-rich country ,no_primary_tag,flagged,,,ca69ea82-a1ed-4dd3-a47e-d54de9ccc96f,medium
question,99f84257-2380-4b44-9f76-e1fe19a51ff7,2025,7,"Consider the following statements : Statement I : As regards returns from an investment in a company, generally, bondholders are considered ",no_primary_tag,flagged,,,64bfd004-4a03-4e2c-832f-e2277f58cede,easy
question,0b57ce1c-ff92-46f5-a9f4-21d53d7f1b49,2025,8,Consider the following statements : I. India accounts for a very large portion of all equity option contracts traded globally thus exhibitin,no_primary_tag,flagged,,,598d7ce8-2a57-4f7f-a16a-e65c4b40d0bb,hard
question,d4f4723b-db36-4d90-9f37-038a3505ca41,2025,9,Consider the following statements : Statement I : Circular economy reduces the emissions of greenhouse gases. Statement II : Circular econom,no_primary_tag,flagged,,,cb0b98ec-6f66-4710-96e1-caba6a18dbc3,easy
question,711acf80-bd28-4098-bc55-243e6f909aa2,2025,10,Consider the following statements : I. Capital receipts create a liability or cause a reduction in the assets of the Government. II. Borrowi,no_primary_tag,flagged,,,b2f1e8ea-7618-49b1-8d6c-c0674850ab25,easy
