ref,topic_id,topic
PSIR-P2-2004-T001,118b48af-1086-4b1c-89ec-7d208dabb07e,Political economy perspective in comparative analysis
PSIR-P2-2005-T003,e5b3c3c3-e115-426f-bf33-7bf1792035e4,Characteristics and changing nature of the State in capitalist economies
PSIR-P2-2006-T003,f853acf8-6d02-49a7-8bca-68e4a950f567,Institutional approach and its successive criticisms
PSIR-P2-2007-T003,118b48af-1086-4b1c-89ec-7d208dabb07e,Political economy perspective in comparative analysis
PSIR-P2-2008-T004,ddd3afb7-5886-4521-aa62-627cfe03eb38,Political sociology perspective in comparative analysis
PSIR-P2-2010-T008,b13e8c2f-fadf-4007-adfa-f05af4a42ca7,Nature and scope of comparative politics; major approaches
PSIR-P2-1991-T001,e5b3c3c3-e115-426f-bf33-7bf1792035e4,Characteristics and changing nature of the State in capitalist economies
PSIR-P2-1992-T006,c6ade914-f813-4e68-830a-4eb22f7ede91,The State in advanced industrial societies
PSIR-P2-1992-T011,e5b3c3c3-e115-426f-bf33-7bf1792035e4,Characteristics and changing nature of the State in capitalist economies
PSIR-P2-1996-T006,0ee7c6fe-27c0-4fcc-90f8-b45d41df413a,Transnational actors and collective security
PSIR-P2-2001-T001,84e30f3e-6e4c-4a80-92a2-e6e99867952f,Political parties in developing societies
PSIR-P2-2005-T004,ae9dfcf8-bf84-49c1-bd37-17933645ff7d,Third World demand for a New International Economic Order
PSIR-P2-2008-T002,46e5d3de-69b9-43f6-a287-4d1892e66f28,Pressure groups and interest articulation
PSIR-P2-2009-T004,84e30f3e-6e4c-4a80-92a2-e6e99867952f,Political parties in developing societies
PSIR-P2-2009-T006,25300170-b8f2-475f-a757-c9161444206e,Democracy as a global concern
PSIR-P2-2010-T009,242e669f-485f-4401-8530-b2356c74c11d,Social movements as a mode of participation
PSIR-P2-2000-T001,4568628c-b2e4-4921-8112-197f4e4826fb,Responses to globalisation from developed societies
PSIR-P2-2010-T001,bc65be6e-5d22-4788-be89-38a8f24f89ba,Responses to globalisation from developing societies
PSIR-P2-1991-T002,9bf35b50-3101-47ac-9f77-3da66eee4e0a,"Realist approach; classical, structural and defensive realism"
PSIR-P2-1996-T004,9bf35b50-3101-47ac-9f77-3da66eee4e0a,"Realist approach; classical, structural and defensive realism"
PSIR-P2-2003-T003,f853acf8-6d02-49a7-8bca-68e4a950f567,Institutional approach and its successive criticisms
PSIR-P2-2003-T005,9bf35b50-3101-47ac-9f77-3da66eee4e0a,"Realist approach; classical, structural and defensive realism"
PSIR-P2-2008-T005,9bf35b50-3101-47ac-9f77-3da66eee4e0a,"Realist approach; classical, structural and defensive realism"
PSIR-P2-2010-T010,5a0648b8-fbc0-426d-bbc8-6763e05488b5,Objectivity and hidden bias in international relations theory
PSIR-P2-2002-T001,9ee7da7c-1c51-4753-867c-d726220c6b70,Marxist approaches to international relations
PSIR-P2-2008-T001,9ee7da7c-1c51-4753-867c-d726220c6b70,Marxist approaches to international relations
PSIR-P2-2005-T001,ffa40acd-c5e8-4912-a387-027baf3ff04d,Systems theory in international relations
PSIR-P2-1994-T002,6cfe16e9-9963-496b-828b-07b49958a209,Institutions of foreign-policy making
PSIR-P2-1999-T005,6cfe16e9-9963-496b-828b-07b49958a209,Institutions of foreign-policy making
PSIR-P2-2006-T006,6cfe16e9-9963-496b-828b-07b49958a209,Institutions of foreign-policy making
PSIR-P2-1998-T001,ffa40acd-c5e8-4912-a387-027baf3ff04d,Systems theory in international relations
PSIR-P2-2004-T002,ffa40acd-c5e8-4912-a387-027baf3ff04d,Systems theory in international relations
PSIR-P2-1991-T003,9ee7da7c-1c51-4753-867c-d726220c6b70,Marxist approaches to international relations
PSIR-P2-1993-T005,9ee7da7c-1c51-4753-867c-d726220c6b70,Marxist approaches to international relations
PSIR-P2-1995-T004,9ee7da7c-1c51-4753-867c-d726220c6b70,Marxist approaches to international relations
PSIR-P2-1997-T006,9ee7da7c-1c51-4753-867c-d726220c6b70,Marxist approaches to international relations
PSIR-P2-1998-T007,9ee7da7c-1c51-4753-867c-d726220c6b70,Marxist approaches to international relations
PSIR-P2-2009-T009,84fbe442-1af1-4e43-87a2-420168b888c6,Idealist approach
PSIR-P2-1993-T001,040d8c4d-9538-44bd-b510-cc67106e58df,National interest
PSIR-P2-1999-T003,040d8c4d-9538-44bd-b510-cc67106e58df,National interest
PSIR-P2-2004-T007,040d8c4d-9538-44bd-b510-cc67106e58df,National interest
PSIR-P2-2010-T006,040d8c4d-9538-44bd-b510-cc67106e58df,National interest
PSIR-P2-1993-T002,ad6011d8-0462-4ada-be05-73321fa44023,Security and power
PSIR-P2-1997-T002,ad6011d8-0462-4ada-be05-73321fa44023,Security and power
PSIR-P2-2000-T003,ad6011d8-0462-4ada-be05-73321fa44023,Security and power
PSIR-P2-2000-T004,ad6011d8-0462-4ada-be05-73321fa44023,Security and power
PSIR-P2-2002-T009,ad6011d8-0462-4ada-be05-73321fa44023,Security and power
PSIR-P2-2002-T010,ad6011d8-0462-4ada-be05-73321fa44023,Security and power
PSIR-P2-2006-T010,ad6011d8-0462-4ada-be05-73321fa44023,Security and power
PSIR-P2-2008-T007,ad6011d8-0462-4ada-be05-73321fa44023,Security and power
PSIR-P2-2008-T009,0d962bf4-1990-47b2-bfe9-37727e7fbb91,Power transition theory
PSIR-P2-2010-T016,ad6011d8-0462-4ada-be05-73321fa44023,Security and power
PSIR-P2-1992-T001,af4729dd-e7a5-4099-bd5d-b0f1fb4bc4d3,Balance of power: methods and contemporary relevance
PSIR-P2-1993-T006,af4729dd-e7a5-4099-bd5d-b0f1fb4bc4d3,Balance of power: methods and contemporary relevance
PSIR-P2-1997-T003,af4729dd-e7a5-4099-bd5d-b0f1fb4bc4d3,Balance of power: methods and contemporary relevance
PSIR-P2-1998-T005,af4729dd-e7a5-4099-bd5d-b0f1fb4bc4d3,Balance of power: methods and contemporary relevance
PSIR-P2-2003-T008,af4729dd-e7a5-4099-bd5d-b0f1fb4bc4d3,Balance of power: methods and contemporary relevance
PSIR-P2-1995-T001,0ee7c6fe-27c0-4fcc-90f8-b45d41df413a,Transnational actors and collective security
PSIR-P2-2006-T002,0ee7c6fe-27c0-4fcc-90f8-b45d41df413a,Transnational actors and collective security
PSIR-P2-2010-T004,0ee7c6fe-27c0-4fcc-90f8-b45d41df413a,Transnational actors and collective security
PSIR-P2-2010-T007,5a5954f2-17ee-418d-9ccd-f581884e286a,Nuclear proliferation and the non-proliferation regime
