ref,topic_id,topic
ANTH-P2-1981-T001,2e37b1d3-f3cf-4fdb-bc6a-d1206d39ee6f,Prehistoric India: Palaeolithic and Mesolithic cultures
ANTH-P2-1981-T011,62af0763-2112-4444-89f5-cd28971c386e,"Protohistoric India: pre-Harappan, Harappan and post-Harappan cultures"
ANTH-P2-1982-T010,62af0763-2112-4444-89f5-cd28971c386e,"Protohistoric India: pre-Harappan, Harappan and post-Harappan cultures"
ANTH-P2-1982-T012,2e37b1d3-f3cf-4fdb-bc6a-d1206d39ee6f,Prehistoric India: Palaeolithic and Mesolithic cultures
ANTH-P2-1983-T009,2e37b1d3-f3cf-4fdb-bc6a-d1206d39ee6f,Prehistoric India: Palaeolithic and Mesolithic cultures
ANTH-P2-1984-T010,f16616cc-64db-48bd-a612-3169149bedad,Neolithic and Neolithic-Chalcolithic cultures
ANTH-P2-1984-T012,2e37b1d3-f3cf-4fdb-bc6a-d1206d39ee6f,Prehistoric India: Palaeolithic and Mesolithic cultures
ANTH-P2-1985-T013,2e37b1d3-f3cf-4fdb-bc6a-d1206d39ee6f,Prehistoric India: Palaeolithic and Mesolithic cultures
ANTH-P2-1986-T012,f16616cc-64db-48bd-a612-3169149bedad,Neolithic and Neolithic-Chalcolithic cultures
ANTH-P2-1987-T012,2e37b1d3-f3cf-4fdb-bc6a-d1206d39ee6f,Prehistoric India: Palaeolithic and Mesolithic cultures
ANTH-P2-1988-T013,62af0763-2112-4444-89f5-cd28971c386e,"Protohistoric India: pre-Harappan, Harappan and post-Harappan cultures"
ANTH-P2-1989-T008,62af0763-2112-4444-89f5-cd28971c386e,"Protohistoric India: pre-Harappan, Harappan and post-Harappan cultures"
ANTH-P2-1989-T010,2e37b1d3-f3cf-4fdb-bc6a-d1206d39ee6f,Prehistoric India: Palaeolithic and Mesolithic cultures
ANTH-P2-1990-T012,62af0763-2112-4444-89f5-cd28971c386e,"Protohistoric India: pre-Harappan, Harappan and post-Harappan cultures"
ANTH-P2-1991-T012,62af0763-2112-4444-89f5-cd28971c386e,"Protohistoric India: pre-Harappan, Harappan and post-Harappan cultures"
ANTH-P2-1992-T010,f16616cc-64db-48bd-a612-3169149bedad,Neolithic and Neolithic-Chalcolithic cultures
ANTH-P2-1993-T012,2e37b1d3-f3cf-4fdb-bc6a-d1206d39ee6f,Prehistoric India: Palaeolithic and Mesolithic cultures
