"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"031c0358-bdf0-4be2-8c59-735361a02039","1","General Intelligence and Reasoning","ee63d21f-3ff5-4193-975f-7e6c04a59c89","Three or more statement syllogism","medium","","3 statements; possibility conclusion"
"c025ce26-cd4c-4d77-b3e4-e19d159e50f4","2","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","easy","","alphabetical reorder; unchanged positions"
"e1f889a2-f6c4-4704-8afc-79c16f34979a","3","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","4-symbol chain"
"cf45db72-414b-49b6-ab2d-4ac6c1b22112","5","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","medium","","per-letter shift from two examples"
"77300a52-c8a6-41af-abbb-877a2da7fef6","6","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","medium","","operation chain across 4 terms"
"37b0183a-92ec-4443-bc9a-d14d716a04eb","7","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","easy","","GIR catalogue has alphabet/alphanumeric series only; needs Number series leaf; filled from migration 306"
"b52e8b1e-0af9-4ea5-a7ce-05c2342b4c95","8","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","easy","","same mechanic as Q2"
"c0fd3551-ac28-4bc5-9f54-bb3499c8489f","11","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","easy","","semantic pair"
"b757aed4-4015-48bf-9244-d764b99a939a","12","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-set relation"
"4f4922f9-bb87-4cc3-b41c-7d8809bec88c","13","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","number sets; options not in export"
"a0cfffe7-7878-441c-89f2-53fe324ba22f","14","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","4-letter cluster series"
"adedd0f5-d136-4a41-93b6-b49b4a0826ac","15","General Intelligence and Reasoning","e7dfdb22-8ee7-445d-9f0a-e27ccf215314","Letter-to-symbol coding","medium","","positional substitution"
"c5007b38-74c7-4f5a-975a-5cb63c9c78d9","16","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","medium","","sign interchange to satisfy equation; moved per migration 306"
"31a9ed68-2bc3-4290-8b10-a575f02a0b54","22","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","incorrect cluster in letter series"
"c3f0b1ec-2dc4-429a-b898-4ce4b9ac7425","23","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","letter clusters; options not in export"
