question_number,topic,assign_topic_id,difficulty,stem
1,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"For 1/3 < x < y < 2, which of the following statements is/are always c"
2,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,What is the minimum number of times one needs to measure to get 298 li
3,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"There are four types of weights, namely 1 kg, 2 kg, 5 kg and 10 kg. Wh"
4,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,A cut on a solid object divides the object into two parts where the ne
5,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,The class average x in a test increases by 4 when the score of a stude
6,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following conclusions is/are valid? Though SARS-CoV-2 and
7,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following reflect the intent of the writer in the above p
8,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements reflect the logical and rational inf
9,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"Three variables x, y and z take values 2, 3, 4 or 5 such that their va"
10,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"Suppose x, y and z are variables taking positive real numbers as their"
11,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,Which of the following assumptions is/are valid? Agricultural producti
12,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements is/are not correct? Tech-savvy farme
13,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,medium,"P, Q, R, S and T are ranked 1 to 5 (not necessarily in that order). Th"
14,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,Two identical straight rods are painted in five distinct colours so th
15,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,medium,"Seven persons A, B, C, D, E, F and G travel by three cars X, Y, Z. A a"
16,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,medium,"There are four statements X, Y, Z and W. Their relations are as follow"
17,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,X and Y are two runners who run for the same duration of time on the s
18,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"In an objective type question paper, 5 marks are awarded for a correct"
19,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following conclusions is/are valid? Only a serious offenc
20,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements is/are correct? If an offence has no
21,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,An explosion takes place at a certain distance from an army camp. As s
22,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,The digit in the unit place of the number 6129 × 7307 is
23,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,A person saves 10% of his salary every month. If his salary increases 
24,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,medium,P has a son and a daughter. S is the mother of T. S is R's spouse. Q a
25,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,How many three-digit numbers can be expressed as an integral power of 
26,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following inferences is/are correct? The source of the en
27,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements is/are correct? Thermal power statio
28,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,medium,Consider the following statements: Every red is blue. Every blue is gr
29,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,How many times does 5 appear in all two-digit positive integers?
30,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"X travels 6 km on a bicycle with average speeds of 5 km per hour, 10 k"
31,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"Seven cubes are identical in shape. Out of these, the weight of each o"
32,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one among the following statements most appropriately reflects t
33,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,"Which of the following conclusions, made on the basis of the given pas"
34,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following conclusions is/are correct? All landlords essen
35,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements are not correct? The landholdings of
36,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,A person facing the East travels 4 km straight and then turns right an
37,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,medium,"In a sequence of numbers, each number other than the first two is the "
38,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,The ratio of male to female workers in two companies A and B is 13:10 
39,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,medium,If the product of the HCF and LCM of two distinct numbers is the cube 
40,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"If x and y are two digits and the number 4x5y790 is divisible by 11, t"
41,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements is/are correct? Radical action can a
42,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements is/are correct? Hugh Grant was watch
43,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following conclusions are correct? In the breakaway phase
44,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements is/are correct? The convergence mode
45,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,An alloy P contains 20% copper and 80% zinc by weight. Another alloy Q
46,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,A is a 2-digit number with different digits. B is also a 2-digit numbe
47,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,medium,"If ZERO is encoded as ADSN, then how do you encode STOP?"
48,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"There are three types of rectangular tiles: 3' × 3', 3' × 7' and 3' × "
49,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,A train has to complete a journey of 800 km. If it meets a minor accid
50,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"In a recruitment process, the selection of candidates is based on thei"
51,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"Consider the following three statements, namely S1, S2 and S3: S1. Pro"
52,Interpersonal and Communication skills,ee4d4957-031f-49cd-8dd2-6020f5af461e,medium,Match List-I with List-II and select the answer using the code given b
53,Interpersonal and Communication skills,ee4d4957-031f-49cd-8dd2-6020f5af461e,medium,Match List-I with List-II and select the answer using the code given b
54,Decision making and problem solving,679269f9-6d4f-450c-8d35-e8e91b416312,medium,Which among the following actions would constitute the most appropriat
55,Interpersonal and Communication skills,ee4d4957-031f-49cd-8dd2-6020f5af461e,medium,Match List-I with List-II and select the answer using the code given b
56,Interpersonal and Communication skills,ee4d4957-031f-49cd-8dd2-6020f5af461e,medium,You are required to design a 'questionnaire' to be filled on-location 
57,Interpersonal and Communication skills,ee4d4957-031f-49cd-8dd2-6020f5af461e,medium,"With reference to 'circular letters', which of the following statement"
58,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"Three partners A, B and C entered into a business. A invested one-thir"
59,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,There are two chemicals which do not react with each other. A containe
60,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,A shopkeeper employs a delivery boy and gives him a motorcycle for hom
61,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,medium,"Question: X receives three coins of different denominations: 1, 2, 5, "
62,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,medium,"Question: For two distinct real numbers x and y, which of them is bigg"
63,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,medium,"Question: If x and y are integers, then is x even? Statement I: x²y² i"
