id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
ACTB-010,financial-sector-acts,RBI Act — Cash reserve ratio and penal interest under s.42,L3,fix_needed,Y,"Kaveri Bank Ltd, a scheduled bank, must hold a daily minimum CRR balance of ₹900 crore (90% of its fortnightly requirement) with RBI at the close of each day.…","C. ₹2,32,877","Reserve Bank of India Act, 1934, s.42 read with RBI CRR/SLR Directions (daily minimum = 90% of requirement; s.42(3) itself is fortnight-average) — verify against current official text",,,,,
ACTB-011,financial-sector-acts,RBI Act — Cash reserve ratio and penal interest under s.42,L3,fix_needed,Y,Godavari Bank Ltd's average daily CRR balances for the two fortnights of January 2026 were (assume a hypothetical Bank Rate of 6.50%): | Fortnight | Required a…,C. ₹33.86 lakh,"Reserve Bank of India Act, 1934, s.42(3); 'fortnight' as redefined by Banking Laws (Amendment) Act 2025 — verify against current official text",,,,,
ACTB-039,financial-sector-acts,BR Act — Licensing and statutory liquidity ratio,L3,fix_needed,Y,"Krishna Bank Ltd fell short of its SLR requirement on three consecutive days by ₹50 crore, ₹80 crore and ₹30 crore; it was compliant on the days before and aft…","D. ₹4,87,671","Banking Regulation Act, 1949, s.24(4)-(5) read with RBI CRR/SLR Directions (daily scheme) — verify against current official text",,,,,
ACTB-042,financial-sector-acts,"BR Act — RBI directions, removal and supersession powers",L2,wrong_key,Y,The articles of Pennar Bank Ltd fix the maximum board strength at 12; the board presently has 9 directors. RBI wants to place its own nominees on the board und…,C. No numerical cap; each holds office up to 3 years at a time,"Banking Regulation Act, 1949, s.36AB (proviso omitted by Act 1 of 1984) — verify against current official text",,,,,
ACTB-043,financial-sector-acts,"BR Act — RBI directions, removal and supersession powers",L3,fix_needed,Y,A banking company commits a contravention under s.46(4) of the BR Act involving a quantifiable amount of ₹72 lakh. The contravention continues for 18 days in a…,B. ₹1.61 crore,"Banking Regulation Act, 1949, s.47A(1)(c) read with s.46(4) — verify against current official text",,,,,
ACTB-044,financial-sector-acts,"BR Act — Moratorium, amalgamation and co-operative banks",L3,fix_needed,Y,"At the meeting of shareholders of Tapti Bank Ltd on a voluntary amalgamation scheme under s.44A, 120 shareholders holding 90,00,000 shares are present in perso…","B. Fails, as 58 lakh shares are below two-thirds of shares present","Banking Regulation Act, 1949, s.44A(1), (4) — verify against current official text",,,,,
ACTB-045,financial-sector-acts,"BR Act — Moratorium, amalgamation and co-operative banks",L3,fix_needed,Y,"Consider the following statements on co-operative banks and the BR Act, 1949 (as amended in 2020): 1. The Act does not apply to a primary agricultural credit s…","C. 1, 2 and 3","Banking Regulation Act, 1949, ss.3, 22, 36AAA (as applied by s.56), 56; BR (Amendment) Act 2020 — verify against current official text",,,,,
ACTB-047,financial-sector-acts,"BR Act — RBI directions, removal and supersession powers",L4,fix_needed,Y,[case BR-KONARK] **Q2.** The maximum further period for which the supersession may be extended is:,D. 2 months,"Banking Regulation Act, 1949, s.36ACA(1) and proviso — verify against current official text",,,,,
ACTB-008,financial-sector-acts,RBI Act — Cash reserve ratio and penal interest under s.42,L2,confirmed,Y,"A banking company has paid-up capital of ₹3.00 lakh and reserves of ₹2.50 lakh, and RBI is satisfied that its affairs are not conducted detrimentally to deposi…","D. Adequate, as paid-up capital and reserves total ₹5.50 lakh","Reserve Bank of India Act, 1934, s.42(6)(a) — verify against current official text",Y,,,,
ACTB-014,financial-sector-acts,RBI Act — Monetary Policy Committee and inflation targeting,L2,confirmed,Y,"All six MPC members vote. The Governor, the Deputy Governor and the RBI officer-member vote for a 25 bp cut in the policy repo rate; the three external members…","D. A 25 bp cut, carried by the Governor's second or casting vote","Reserve Bank of India Act, 1934, s.45ZI — verify against current official text",Y,,,,
ACTB-024,financial-sector-acts,RBI Act — Business of the Bank and lender of last resort,L2,confirmed,Y,Which of the following transactions would the Reserve Bank be barred from undertaking by the RBI Act?,A. Loan to a scheduled bank secured by a mortgage on its office building,"Reserve Bank of India Act, 1934, ss.17, 19; Finance Act 2018 (SDF) — verify against current official text",Y,,,,
ACTB-038,financial-sector-acts,BR Act — Licensing and statutory liquidity ratio,L1,confirmed,Y,RBI cancels the banking licence of Sunrise Bank Ltd under s.22(4). The bank may appeal against the cancellation to:,"B. The Central Government, within 30 days of the decision","Banking Regulation Act, 1949, s.22(5) — verify against current official text",Y,,,,
ACTB-059,financial-sector-acts,DICGC Act — Deposit insurance cover computation,L3,confirmed,Y,"**Assertion (A):** When an insured bank is amalgamated under a scheme and a depositor receives less than the insured limit, DICGC makes good the shortfall up t…","A. A is true, but R is false","Deposit Insurance and Credit Guarantee Corporation Act, 1961, ss.16, 18A — verify against current official text",Y,,,,
