question_id,is_child,parent_question_id,prompt_index,year,format,theme_code,theme_id,secondary_theme_code,secondary_theme_id,essay_type,quote_source_type,tagging_source,confidence_score,metadata_json,notes
c3c1fdd4-843c-44b2-a6de-028745cfdacc,yes,36adb921-429e-40fc-b788-0606c25b36e3,1,2022,essay,IR,4d49e79c-18ad-4284-b13b-e5121a185cc0,ETH,9ef8b81c-04f8-4c06-9c0d-4cb9283a6a12,quote_abstract,NONE,manual,0.7,"{""marks"":""40"",""parent_question_id"":""36adb921-429e-40fc-b788-0606c25b36e3"",""prompt_index"":1,""source_row_id"":""RBI-ENG-2022-Q1-P1"",""word_limit"":""~600""}",Unattributed quote in source; quote_source_type left blank. War/peace hook -> IR; force-vs-understanding moral axis -> ETH secondary.
5c937efe-7538-43c6-88cc-6714dbfbc194,yes,36adb921-429e-40fc-b788-0606c25b36e3,2,2022,essay,SOC,eed4c802-adc3-4488-aeec-97472b381754,ECO,6abb9a63-c84f-4aa1-969b-f59d1b78904c,issue_concrete,NONE,manual,0.9,"{""marks"":""40"",""parent_question_id"":""36adb921-429e-40fc-b788-0606c25b36e3"",""prompt_index"":2,""source_row_id"":""RBI-ENG-2022-Q1-P2"",""word_limit"":""~600""}",Gender structure (SOC) primary; entrepreneurship as economic participation secondary.
a3549059-ddf2-4ff5-88f9-3f547a413abd,yes,36adb921-429e-40fc-b788-0606c25b36e3,3,2022,essay,ENV,332c594e-5eb4-4de1-b73c-c6adc88742b4,IR,4d49e79c-18ad-4284-b13b-e5121a185cc0,issue_concrete,NONE,manual,0.7,"{""marks"":""40"",""parent_question_id"":""36adb921-429e-40fc-b788-0606c25b36e3"",""prompt_index"":3,""source_row_id"":""RBI-ENG-2022-Q1-P3"",""word_limit"":""~600""}",Renewable-energy policy. Reserved CLM (climate-action angle) would fit better; ENV used as nearest ACTIVE code. OSOWOG is a cross-border grid -> IR secondary.
479ce089-e136-4e34-a1d2-080a4c1f6ee5,yes,36adb921-429e-40fc-b788-0606c25b36e3,4,2022,essay,ECO,6abb9a63-c84f-4aa1-969b-f59d1b78904c,HLW,3a78804a-269e-4fc8-8368-f5094bf994a7,issue_concrete,NONE,manual,0.7,"{""marks"":""40"",""parent_question_id"":""36adb921-429e-40fc-b788-0606c25b36e3"",""prompt_index"":4,""source_row_id"":""RBI-ENG-2022-Q1-P4"",""word_limit"":""~600""}",Medical tourism as services-sector/development story. ECO boundary is economic-philosophy not policy mechanics - strained fit. HLW secondary for healthcare subject.
579c0bef-c7e3-4d1e-b278-a5e600367279,no,NONE,NONE,2022,precis,SCI,5be86afc-5f6c-4eca-83c7-535cefc5b06c,SOC,eed4c802-adc3-4488-aeec-97472b381754,NONE,NONE,manual,0.9,"{""marks"":""30"",""source_row_id"":""RBI-ENG-2022-Q2"",""word_limit"":""~180""}","Tagged by SOURCE PASSAGE theme, not an argued position. Passage: consequences of space exploration for society and worldview."
7b05ca08-cba7-44b9-a1a4-1a654aa6abd5,no,NONE,NONE,2022,comprehension,ECO,6abb9a63-c84f-4aa1-969b-f59d1b78904c,NONE,NONE,NONE,NONE,manual,0.5,"{""marks"":""30"",""source_row_id"":""RBI-ENG-2022-Q3""}","Tagged by SOURCE PASSAGE theme, not an argued position. Passage: financial derivatives mechanics. ECO excludes policy mechanics; no finance/banking code exists (GAP-2)."
bffbcb57-d849-4949-ad49-7c04efe57faf,yes,a67db400-d253-4ea3-bf62-fef97081c7b8,1,2023,essay,PER,f06ada8b-bba5-4ac5-b429-a973ed52cbeb,SLF,83da4097-bb79-4d80-8f8a-fc216da4a261,issue_concrete,NONE,manual,0.5,"{""marks"":""40"",""parent_question_id"":""a67db400-d253-4ea3-bf62-fef97081c7b8"",""prompt_index"":1,""source_row_id"":""RBI-ENG-2023-Q1-P1"",""word_limit"":""~600""}","Organisational culture / employee purpose. Taxonomy has no workplace-management code (GAP-1). PER nearest (leadership); SLF secondary (personal value, purpose)."
687098fd-24e6-4a49-8312-b4dbd49b59d0,yes,a67db400-d253-4ea3-bf62-fef97081c7b8,2,2023,essay,SCI,5be86afc-5f6c-4eca-83c7-535cefc5b06c,NONE,NONE,issue_concrete,NONE,manual,0.5,"{""marks"":""40"",""parent_question_id"":""a67db400-d253-4ea3-bf62-fef97081c7b8"",""prompt_index"":2,""source_row_id"":""RBI-ENG-2023-Q1-P2"",""word_limit"":""~600""}",Social-media recruitment = HR practice mediated by tech. SCI via tech effect on society; management angle has no code (GAP-1).
a6e86512-ffe3-4892-b1bc-7d74aeb1be6e,yes,a67db400-d253-4ea3-bf62-fef97081c7b8,3,2023,essay,ECO,6abb9a63-c84f-4aa1-969b-f59d1b78904c,ENV,332c594e-5eb4-4de1-b73c-c6adc88742b4,issue_concrete,NONE,manual,0.7,"{""marks"":""40"",""parent_question_id"":""a67db400-d253-4ea3-bf62-fef97081c7b8"",""prompt_index"":3,""source_row_id"":""RBI-ENG-2023-Q1-P3"",""word_limit"":""~600""}",Economic lens on climate change. Reserved CLM candidate; ENV used as ACTIVE secondary.
553b5788-a6a0-4269-aedb-c3acb3617692,yes,a67db400-d253-4ea3-bf62-fef97081c7b8,4,2023,essay,SOC,eed4c802-adc3-4488-aeec-97472b381754,SCI,5be86afc-5f6c-4eca-83c7-535cefc5b06c,issue_concrete,NONE,manual,0.5,"{""marks"":""40"",""parent_question_id"":""a67db400-d253-4ea3-bf62-fef97081c7b8"",""prompt_index"":4,""source_row_id"":""RBI-ENG-2023-Q1-P4"",""word_limit"":""~600""}",Linguistic diversity + media for business. SOC via media social role; business-communication angle has no code (GAP-1).
