id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
MGT-188,management,"Committees and codes — Birla, Narayana Murthy, Kotak",L1,confirmed,Y,"The Kumar Mangalam Birla Committee on corporate governance (1999), whose recommendations led to Clause 49 of the Listing Agreement, was constituted by:",D. SEBI,"SEBI Committee on Corporate Governance (K.M. Birla), 1999; Clause 49 of Listing Agreement",Y,,,,
MGT-195,management,SEBI LODR governance requirements,L4,confirmed,Y,[case MGT-CASE-ZENITH] Evaluate Zenith's board meetings against LODR requirements:,"D. Non-compliant — the gap between 25 Jul and 30 Nov 2025 is 128 days, exceeding the 120-day limit","SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, Reg. 17(2)",Y,,,,
MGT-001,management,Administration vs management,L1,not_flagged,N,"According to Oliver Sheldon's classical distinction, **administration** is primarily concerned with:",C. Framing policy and the overall objectives within which management operates,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-002,management,Administration vs management,L2,not_flagged,N,"Consider the following statements on administration and management: 1. The term 'administration' is more commonly used in government and non-profit bodies, whi…",A. 1 and 3 only,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-003,management,"Classical, neoclassical, behavioural and modern schools",L1,not_flagged,N,"The Hawthorne experiments, which showed that social and psychological factors influence worker productivity, are the foundation of which school of management t…",B. Neoclassical (human relations) school,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-004,management,"Classical, neoclassical, behavioural and modern schools",L3,not_flagged,N,Match the thinker with the contribution: | List I | List II | |---|---| | A. Max Weber | 1. Integration as the constructive way of resolving conflict | | B. Ch…,"C. A-3, B-4, C-2, D-1",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-005,management,"Classical, neoclassical, behavioural and modern schools",L2,not_flagged,N,"A payments company redesigns its structure: the card-processing unit (stable, routine) keeps a tall, rule-bound hierarchy, while the product innovation lab (vo…",C. Contingency approach — there is no one best way; structure should fit the situation,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-006,management,Management as science and art,L1,not_flagged,N,Management is best described as:,C. An inexact (behavioural) science as well as an art,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-007,management,Management as science and art,L2,not_flagged,N,"**Assertion (A):** Management is regarded as an inexact science. **Reason (R):** Its principles deal with human behaviour, so the same principle may not yield…","D. Both A and R are true, and R is the correct explanation of A",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-008,management,Levels of management,L1,not_flagged,N,"Interpreting top-level policies, assigning duties to supervisors and coordinating the activities of different departments are primarily functions of:",A. Middle-level management,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-009,management,Levels of management,L3,not_flagged,N,"An operations centre has 4,096 operative staff. Every manager (at every level) supervises exactly 8 subordinates, up to a single head. If the span of control i…",D. Managers fall by 312; levels fall from 4 to 3,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-010,management,"Katz's managerial skills — technical, human, conceptual",L1,not_flagged,N,"According to Robert L. Katz, which managerial skill becomes relatively MORE important as a manager moves up to the top level?",A. Conceptual skill,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-011,management,"Katz's managerial skills — technical, human, conceptual",L2,not_flagged,N,"When the regulator revises the risk-weight on unsecured loans, Meera, a zonal head of a bank, immediately works out how the change will affect credit growth, b…",D. Conceptual skill,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-012,management,"Katz's managerial skills — technical, human, conceptual",L3,not_flagged,N,"With reference to Katz's three-skill approach, consider: 1. Katz later argued that at the very top, conceptual skill can compensate for a lack of technical ski…","B. 1, 2 and 4 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-013,management,"Mintzberg interpersonal roles — figurehead, leader, liaison",L2,not_flagged,N,"The managing director of an asset management company inaugurates a new investor-service centre, signs statutory certificates, and hosts a long-service award fu…",A. Figurehead role,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-014,management,"Mintzberg informational roles — monitor, disseminator, spokesperson",L2,not_flagged,N,"Every morning the compliance head of a stockbroking firm scans the regulator's circulars, exchange notices, rival firms' disclosures and internal exception rep…",A. Monitor role,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-015,management,"Mintzberg informational roles — monitor, disseminator, spokesperson",L3,not_flagged,N,Match the managerial activity with Mintzberg's role: | List I | List II | |---|---| | A. Briefs the media on the quarterly results | 1. Monitor | | B. Keeps up…,"C. A-2, B-3, C-1, D-4",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-016,management,Mintzberg decisional roles,L2,not_flagged,N,"A sudden system outage halts trading at a broker's branch network. The operations head sets aside her plans, convenes an emergency team and takes corrective de…",D. Disturbance handler role,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-017,management,Mintzberg decisional roles,L3,not_flagged,N,"With reference to Mintzberg's managerial roles, consider: 1. Negotiator is an interpersonal role because it involves dealing with people 2. The entrepreneur ro…",A. 3 and 4 only,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-018,management,Koontz and O'Donnell on the manager's function,L1,not_flagged,N,Koontz and O'Donnell classified the functions of a manager as:,"A. Planning, organising, staffing, directing (leading) and controlling",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-019,management,Koontz and O'Donnell on the manager's function,L2,not_flagged,N,**Assertion (A):** Koontz and O'Donnell did not list coordination as a separate function of management. **Reason (R):** They regarded coordination as the essen…,"D. Both A and R are true, and R is the correct explanation of A",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-020,management,Linking function of the manager,L2,not_flagged,N,Rensis Likert described managers as 'linking pins' in an organisation. This means that each manager:,"D. Heads his own work group and is also a member of his superior's group, linking the two",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-021,management,Linking function of the manager,L3,not_flagged,N,"Regarding the linking function of a manager, consider: 1. A middle manager links top management's objectives with the operative level by translating them into…",B. 1 and 3 only,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-022,management,Drucker on management,L1,not_flagged,N,Peter Drucker's distinction between efficiency and effectiveness is best captured by:,C. Efficiency is doing things right; effectiveness is doing the right things,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-023,management,Drucker on management,L3,not_flagged,N,"According to Peter Drucker, consider: 1. Management is a multi-purpose organ that manages a business, manages managers, and manages workers and work 2. Managem…","A. 1, 3 and 4 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-024,management,Primary functions of management,L1,not_flagged,N,"In the commonly accepted sequence of the primary functions of management, the function that immediately follows organising is:",A. Staffing,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-025,management,Primary functions of management,L2,not_flagged,N,"At the quarterly review, the credit head of a small finance bank compares actual gross NPA of 4.8% against the budgeted 4.0%, analyses reasons branch by branch…",A. Controlling,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-026,management,Fayol's functions; coordination,L1,not_flagged,N,Which of the following is NOT one of the five elements of management identified by Henri Fayol?,B. Staffing,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-027,management,Fayol's functions; coordination,L3,not_flagged,N,Fayol classified the activities of an industrial undertaking into six groups. Consider: 1. Protection of property and persons falls under 'security activities'…,"A. 1, 3 and 4 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-028,management,Fayol's 14 principles; Esprit de Corps,L1,not_flagged,N,Fayol's principle of 'esprit de corps' emphasises:,"D. Promoting team spirit, harmony and unity among the staff — 'union is strength'",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-029,management,Fayol's 14 principles; Esprit de Corps,L2,not_flagged,N,A bank runs two separate retail-deposit campaigns for the same savings product — one planned by the marketing department and another by the branch-banking vert…,A. Unity of direction,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-030,management,Fayol's 14 principles; Esprit de Corps,L3,not_flagged,N,**Assertion (A):** Fayol permitted the use of a 'gang plank' for direct communication between employees at the same level in different departments. **Reason (R…,"D. A is true, but R is false",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-031,management,Fayol's 14 principles; Esprit de Corps,L3,not_flagged,N,Match the situation with the Fayol principle it best illustrates or violates: | List I | List II | |---|---| | A. A sales officer is transferred four times in…,"C. A-1, B-2, C-3, D-4",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-032,management,Taylor's scientific management,L1,confirmed,Y,F.W. Taylor's *The Principles of Scientific Management* was published in:,C. 1911,Publication dates of classical management texts,,,,,
MGT-033,management,Taylor's scientific management,L3,not_flagged,N,"Under Taylor's functional foremanship, consider which of the following foremen work in the PLANNING department: 1. Disciplinarian 2. Instruction card clerk 3.…","B. 1, 2 and 4 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-034,management,Taylor's scientific management,L2,not_flagged,N,**Assertion (A):** Taylor advocated a 'mental revolution' on the part of both management and workers. **Reason (R):** Taylor held that the conflict over the di…,"A. Both A and R are true, and R is the correct explanation of A",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-035,management,Planning as a prerequisite function,L2,not_flagged,N,**Assertion (A):** Planning is called the primary function of management. **Reason (R):** Planning is a continuous process that is performed at all levels of m…,"D. Both A and R are true, but R is not the correct explanation of A",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-036,management,Planning premises,L1,not_flagged,N,"For a housing finance company preparing a five-year plan, the expected growth of urban population is an example of which type of planning premise?",D. External and uncontrollable premise,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-037,management,Planning premises,L3,not_flagged,N,Consider the following statements about planning premises: 1. Premises should be agreed upon by all managers involved in planning so that plans are coordinated…,"A. 1, 2 and 3 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-038,management,Planning — steps and sequence,L2,not_flagged,N,Arrange the following planning steps in the correct sequence: P. Evaluating alternative courses Q. Developing premises R. Setting objectives S. Selecting an al…,B. R → Q → T → P → S,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-039,management,Planning — steps and sequence,L3,not_flagged,N,"At the 'evaluating alternatives' step of planning, a mutual fund distributor compares two options (payoffs in ₹ lakh over the plan period): | Option | High dem…",D. Launch the platform; EMV ₹22 lakh,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-040,management,SMART goal setting,L2,not_flagged,N,"A branch manager sets this goal for her team: ""Increase SIP registrations by 20% over last year's figure through the new mobile onboarding flow."" Judged agains…",B. Time-bound — no deadline is stated,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-041,management,SMART goal setting,L3,not_flagged,N,Consider the following about SMART goal setting: 1. The SMART acronym is commonly traced to George T. Doran's 1981 article in Management Review 2. A goal can b…,D. 1 and 2 only,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-042,management,Organising — meaning and scope,L1,not_flagged,N,Which is the correct sequence of steps in the organising process?,A. Identification and division of work → departmentalisation → assignment of duties → establishing reporting relationships,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-043,management,Organising — meaning and scope,L2,not_flagged,N,"**Assertion (A):** When a manager delegates authority to a subordinate, the manager is relieved of accountability for the delegated task. **Reason (R):** Autho…","D. A is false, but R is true",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-044,management,Formal vs informal organisation,L2,not_flagged,N,"News of a likely restructuring spreads through a bank within hours through lunch-table conversations and personal chats, well before any circular is issued. Th…",D. The informal organisation (grapevine),Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-045,management,Formal vs informal organisation,L3,not_flagged,N,"Consider the following statements about formal and informal organisation: 1. The formal organisation is deliberately designed by management, while the informal…","A. 1, 2 and 3 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-046,management,Staffing vs organising,L1,not_flagged,N,The basic difference between organising and staffing is that:,A. Organising creates positions and relationships; staffing fills them with suitable people,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-047,management,Directing as the life spark of management,L2,not_flagged,N,Directing is often described as the 'life-spark' or heart of the management process mainly because:,A. It initiates action — plans and structures turn into performance only through people,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-048,management,Directing as the life spark of management,L3,not_flagged,N,"Consider the following statements about directing: 1. Directing flows from top to bottom along the hierarchy 2. Supervision, motivation, leadership and communi…","B. 1, 2 and 4 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-049,management,Controlling and supervision of day-to-day activities,L2,not_flagged,N,Which of the following is the correct sequence of steps in the controlling process?,C. Setting standards → measuring actual performance → comparing with standards → analysing deviations → taking corrective action,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-050,management,Controlling and supervision of day-to-day activities,L3,not_flagged,N,A regional office practises *management by exception*: any cost head whose actual differs from budget by more than 5% (either way) is reported to the regional…,"D. Technology, Travel and Marketing",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-051,management,PESTEL analysis,L1,not_flagged,N,"In a PESTEL scan, the enactment of a new personal data protection law affecting how an insurer stores customer data falls under:",C. Legal factors,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-052,management,PESTEL analysis,L2,not_flagged,N,A pension fund manager notes that the share of population above 60 is rising and that younger workers increasingly prefer gig employment without employer pensi…,D. Social factors,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-053,management,SWOT analysis,L2,not_flagged,N,"An IFSC-based fund administrator has strong in-house analytics (S), a thin sales force (W), a new regulatory regime allowing new fund structures (O) and aggres…",D. WO strategy — overcoming a weakness by exploiting an opportunity,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-054,management,SWOT analysis,L3,not_flagged,N,Consider the following statements on SWOT analysis: 1. Findings of a PESTEL scan feed mainly into the O and T quadrants of SWOT 2. A new competitor's entry is…,"B. 1, 3 and 4 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-055,management,Process improvement approaches,L2,not_flagged,N,"Under a Six Sigma project, a loan-processing team checks 2,000 loan files. Each file has 5 defect opportunities (KYC, income proof, valuation, signatures, data…","D. 3,800",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-056,management,Process improvement approaches,L3,not_flagged,N,Match the process-improvement approach with its defining feature: | List I | List II | |---|---| | A. Kaizen | 1. Iterative Plan–Do–Check–Act loop popularised…,"C. A-4, B-2, C-3, D-1",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-057,management,CPM and PERT,L2,not_flagged,N,"An activity can be completed in 12 days at a normal cost of ₹60,000, or crashed to 8 days at a cost of ₹84,000. Its cost slope is:","A. ₹6,000 per day",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-058,management,CPM and PERT,L1,not_flagged,N,Consider the following about PERT and CPM: 1. The critical path is the shortest path through the network 2. CPM is generally used for repetitive projects with…,B. 2 and 3 only,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-059,management,CPM and PERT,L4,not_flagged,N,[case MGT-CASE-PERT] The expected time of activity B is:,D. 6 weeks,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-060,management,CPM and PERT,L4,not_flagged,N,[case MGT-CASE-PERT] The critical path and the expected project duration are:,C. A-D-E-G; 20 weeks,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-061,management,CPM and PERT,L4,not_flagged,N,[case MGT-CASE-PERT] The standard deviation of the expected project duration is approximately:,A. 2.24 weeks,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-062,management,CPM and PERT,L4,not_flagged,N,[case MGT-CASE-PERT] Vistara's board wants the system live within 23 weeks. The Z-value used to find the probability of meeting this deadline is:,C. 1.34,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-063,management,CPM and PERT,L4,not_flagged,N,"[case MGT-CASE-PERT] Using expected times, the total float and free float of activity C are:",C. Total float 2 weeks; free float 0 weeks,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-064,management,Fayol's 14 principles; Esprit de Corps,L4,not_flagged,N,[case MGT-CASE-KAVERI] Observation (i) is a violation of:,B. Unity of command,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-065,management,Fayol's 14 principles; Esprit de Corps,L4,not_flagged,N,[case MGT-CASE-KAVERI] The practice in observation (ii) is best described as:,D. Use of a gang plank — a permitted exception to the scalar chain,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-066,management,Fayol's 14 principles; Esprit de Corps,L4,not_flagged,N,[case MGT-CASE-KAVERI] Observations (iii) and (iv) respectively violate which principles?,A. Unity of direction; stability of tenure of personnel,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-067,management,Taylor's scientific management,L4,not_flagged,N,"[case MGT-CASE-KAVERI] Under the scheme in (v), what are the daily earnings of worker X (38 units) and worker Y (42 units)?",B. X ₹456; Y ₹630,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-068,management,Taylor's scientific management,L4,not_flagged,N,"[case MGT-CASE-KAVERI] With reference to the case, consider: 1. Fayol's principle of initiative is directly violated by observation (ii) 2. Observation (v) reflects Taylor's techniqu…",D. 2 only,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-069,management,Maslow's hierarchy of needs,L1,not_flagged,N,"In Maslow's hierarchy, the need for friendship, affection and acceptance by a group is classified as:",A. Social (belongingness) need,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-070,management,Maslow's hierarchy of needs,L2,not_flagged,N,"Ravi, an officer with a secure job, good pay and close friends at work, says: ""I want colleagues to respect my expertise and I want a title that reflects it.""…",B. Esteem need,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-071,management,Maslow's hierarchy of needs,L3,not_flagged,N,"Consider the following statements on Maslow's need hierarchy: 1. Physiological and safety needs are called lower-order needs, while social, esteem and self-act…","D. 1, 2 and 3 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-072,management,Herzberg two-factor theory — motivators vs hygiene,L1,not_flagged,N,"According to Herzberg, which of the following is a MOTIVATOR?",A. Recognition for achievement,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-073,management,Herzberg two-factor theory — motivators vs hygiene,L3,not_flagged,N,An HR team classifies the following as hygiene factors under Herzberg's theory: 1. Opportunity for advancement 2. Relationship with supervisor 3. Job security…,"D. 2, 3 and 4 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-074,management,Herzberg two-factor theory — motivators vs hygiene,L2,not_flagged,N,"**Assertion (A):** According to Herzberg, improving working conditions and pay may remove dissatisfaction without necessarily motivating employees. **Reason (R…","D. Both A and R are true, and R is the correct explanation of A",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-075,management,Herzberg two-factor theory — motivators vs hygiene,L3,not_flagged,N,"A fintech doubles its office amenities and gives an across-the-board pay revision. Complaints drop sharply, but productivity and initiative remain unchanged. S…",A. Herzberg's two-factor theory — hygiene fixes cut dissatisfaction; enrichment (motivators) raised motivation,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-076,management,McGregor Theory X and Theory Y,L1,confirmed,Y,Douglas McGregor presented Theory X and Theory Y in:,A. The Human Side of Enterprise (1960),Publication details of classical OB texts,,,,,
MGT-077,management,McGregor Theory X and Theory Y,L3,not_flagged,N,Match the managerial assumption with the theory it belongs to: | List I | List II | |---|---| | A. The average person inherently dislikes work and will avoid i…,"A. A-4, B-3, C-2, D-1",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-078,management,McGregor Theory X and Theory Y,L2,not_flagged,N,"A branch head removes attendance registers, lets officers set their own quarterly targets with her, and expects them to seek responsibility. McGregor would say…",B. Theory Y assumptions,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-079,management,McClelland's needs theory,L2,not_flagged,N,"Anita prefers tasks with moderate risk, wants quick and concrete feedback on her performance, and likes to take personal responsibility for solving problems. A…",B. Achievement (nAch),Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-080,management,McClelland's needs theory,L3,not_flagged,N,"With reference to McClelland's acquired-needs theory, consider: 1. Needs are measured using projective techniques such as the Thematic Apperception Test (TAT)…","A. 1, 2 and 3 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-081,management,McClelland's needs theory,L3,not_flagged,N,"For the post of zonal head of a large public-sector bank, which need profile would McClelland's research suggest is most likely to lead to managerial effective…","D. High socialised power, low affiliation, moderate achievement",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-082,management,"Vroom expectancy theory — valence, instrumentality, expectancy",L2,not_flagged,N,"An officer believes there is a 0.7 probability that extra effort will lead to top performance, and a 0.6 probability that top performance will lead to a transf…",B. -0.21,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-083,management,"Vroom expectancy theory — valence, instrumentality, expectancy",L3,not_flagged,N,"**Assertion (A):** Under Vroom's expectancy theory, an employee who values a promotion highly may still exert little effort. **Reason (R):** Motivational force…","B. Both A and R are true, and R is the correct explanation of A",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-084,management,"Vroom expectancy theory — valence, instrumentality, expectancy",L3,not_flagged,N,"Match the employee statement with the Vroom component it reflects: | List I | List II | |---|---| | A. ""However hard I try, I can't meet this target with the c…","A. A-4, B-3, C-2, D-1",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-085,management,Reward and punishment approach,L1,not_flagged,N,The 'carrot and stick' approach to motivation relies on:,B. Rewards for desired performance and threat of penalties for poor performance,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-086,management,Reward and punishment approach,L3,not_flagged,N,"A regional manager tells officers: ""Anyone who clears all pending KYC cases by Thursday will be exempted from the mandatory Saturday review meeting."" In reinfo…",A. Negative reinforcement — an unpleasant condition is removed,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-087,management,Reward and punishment approach,L3,not_flagged,N,Match each manager action with the reinforcement type (Skinner / operant conditioning): | List I | List II | |---|---| | A. Public praise and a gift voucher fo…,"B. A-1, B-3, C-4, D-2",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-088,management,Incentives vs rewards,L2,not_flagged,N,Which statement best distinguishes an incentive from a reward?,C. An incentive is announced in advance to induce behaviour; a reward is given after performance,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-089,management,Incentives vs rewards,L3,not_flagged,N,"Consider the following: 1. Once an incentive is paid on achievement of the target, it also functions as a reward for that performance 2. A surprise 'thank-you'…","C. 1, 2 and 4 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
MGT-090,management,Financial vs non-financial incentives,L1,not_flagged,N,Which of the following is a NON-financial incentive?,B. Employee empowerment,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
