ref,topic_id,topic
HIST-P2-1992-T001,e835c2c0-1932-4979-92c3-57c4db545b2e,Siraj-ud-Daula and the English; the Battle of Plassey and its significance
HIST-P2-1995-T002,e835c2c0-1932-4979-92c3-57c4db545b2e,Siraj-ud-Daula and the English; the Battle of Plassey and its significance
HIST-P2-1998-T002,19ad048c-6e84-45c1-9f97-97035703ec9a,Conflict between the English and the Nawabs of Bengal
HIST-P2-1999-T002,19ad048c-6e84-45c1-9f97-97035703ec9a,Conflict between the English and the Nawabs of Bengal
HIST-P2-2000-T001,e835c2c0-1932-4979-92c3-57c4db545b2e,Siraj-ud-Daula and the English; the Battle of Plassey and its significance
HIST-P2-2006-T001,e835c2c0-1932-4979-92c3-57c4db545b2e,Siraj-ud-Daula and the English; the Battle of Plassey and its significance
HIST-P2-1985-T001,71210572-e9f4-4559-821a-b9b61ec9779f,"Mir Jafar, Mir Kasim and the Battle of Buxar"
HIST-P2-1986-T005,dbd6489c-a59f-445b-a261-f5f9fbc355f0,The Marathas and the three Anglo-Maratha Wars
HIST-P2-1987-T006,e835c2c0-1932-4979-92c3-57c4db545b2e,Siraj-ud-Daula and the English; the Battle of Plassey and its significance
HIST-P2-1989-T007,dbd6489c-a59f-445b-a261-f5f9fbc355f0,The Marathas and the three Anglo-Maratha Wars
HIST-P2-1990-T008,ba841d07-d10c-4b46-b135-1ec1969fa7e9,Annexation of the Punjab
HIST-P2-1995-T003,ba841d07-d10c-4b46-b135-1ec1969fa7e9,Annexation of the Punjab
HIST-P2-1996-T004,71210572-e9f4-4559-821a-b9b61ec9779f,"Mir Jafar, Mir Kasim and the Battle of Buxar"
HIST-P2-1993-T008,dbd6489c-a59f-445b-a261-f5f9fbc355f0,The Marathas and the three Anglo-Maratha Wars
HIST-P2-1994-T008,dbd6489c-a59f-445b-a261-f5f9fbc355f0,The Marathas and the three Anglo-Maratha Wars
HIST-P2-1995-T012,63d68b61-d2d5-485b-bf27-61b3c19a4c60,Integration of princely states; princes in electoral politics
HIST-P2-1995-T014,dbd6489c-a59f-445b-a261-f5f9fbc355f0,The Marathas and the three Anglo-Maratha Wars
HIST-P2-1996-T010,63d68b61-d2d5-485b-bf27-61b3c19a4c60,Integration of princely states; princes in electoral politics
HIST-P2-1997-T009,70f079a0-8fb0-4e15-8a29-178169acecdf,Free trade and the changing character of British colonial rule
HIST-P2-1998-T013,dbd6489c-a59f-445b-a261-f5f9fbc355f0,The Marathas and the three Anglo-Maratha Wars
HIST-P2-2000-T008,ba841d07-d10c-4b46-b135-1ec1969fa7e9,Annexation of the Punjab
HIST-P2-2001-T009,63d68b61-d2d5-485b-bf27-61b3c19a4c60,Integration of princely states; princes in electoral politics
HIST-P2-2002-T010,71210572-e9f4-4559-821a-b9b61ec9779f,"Mir Jafar, Mir Kasim and the Battle of Buxar"
HIST-P2-2002-T011,70f079a0-8fb0-4e15-8a29-178169acecdf,Free trade and the changing character of British colonial rule
HIST-P2-2004-T009,dbd6489c-a59f-445b-a261-f5f9fbc355f0,The Marathas and the three Anglo-Maratha Wars
HIST-P2-2005-T008,dbd6489c-a59f-445b-a261-f5f9fbc355f0,The Marathas and the three Anglo-Maratha Wars
HIST-P2-2005-T009,63d68b61-d2d5-485b-bf27-61b3c19a4c60,Integration of princely states; princes in electoral politics
HIST-P2-2006-T009,a6a704b0-14b6-4783-b6b8-241603e809f7,Mysore and the Anglo-Mysore Wars
HIST-P2-2009-T017,a6a704b0-14b6-4783-b6b8-241603e809f7,Mysore and the Anglo-Mysore Wars
HIST-P2-2009-T018,71210572-e9f4-4559-821a-b9b61ec9779f,"Mir Jafar, Mir Kasim and the Battle of Buxar"
HIST-P2-2010-T014,ba841d07-d10c-4b46-b135-1ec1969fa7e9,Annexation of the Punjab
HIST-P2-1986-T001,3b24b799-34f7-4286-8592-ddbbd61ce21f,Early administrative structure; from diarchy to direct control
HIST-P2-1987-T002,69992baf-7aa1-47bf-9612-ef91e0586f2b,Politics of association; foundation of the Indian National Congress
HIST-P2-1992-T002,a3bc7b40-6018-48b7-b51c-6b063ce5ba7f,The English utilitarians and India
HIST-P2-1993-T003,3b24b799-34f7-4286-8592-ddbbd61ce21f,Early administrative structure; from diarchy to direct control
HIST-P2-1999-T003,c7e8fb8b-5c39-469d-9a55-3fc13389e7a7,Partition of Bengal 1905 and the Swadeshi Movement
HIST-P2-2004-T003,a818bd4b-40de-465a-9e46-c50f792c65c0,The Regulating Act 1773 and Pitt's India Act 1784
HIST-P2-2008-T005,a3bc7b40-6018-48b7-b51c-6b063ce5ba7f,The English utilitarians and India
HIST-P2-1985-T002,69b9ab1d-e494-42b6-981b-e833dd1b0eae,Decline of traditional crafts; drain of wealth
HIST-P2-1985-T013,007824cf-0515-4b21-bd1f-ed9e2d95c5fa,"Permanent Settlement, Ryotwari and Mahalwari systems"
HIST-P2-1986-T012,73ee6af0-634e-4c0e-a7b5-f7f31191b38e,Commercialization of agriculture and the rise of landless labourers
HIST-P2-1987-T011,4299b280-36b7-4286-b4df-13fb8bb1f062,Dislocation of traditional trade and commerce; de-industrialisation
HIST-P2-1988-T010,bf6bebf5-dae3-40f5-9d69-b7b05e05e5f2,Economic impact of the revenue arrangements
HIST-P2-1989-T011,852312a0-c14a-46e5-85de-a4fa7ae35368,Industrialization and globalization
HIST-P2-1990-T011,70f079a0-8fb0-4e15-8a29-178169acecdf,Free trade and the changing character of British colonial rule
HIST-P2-1991-T009,4299b280-36b7-4286-b4df-13fb8bb1f062,Dislocation of traditional trade and commerce; de-industrialisation
HIST-P2-1991-T010,70f079a0-8fb0-4e15-8a29-178169acecdf,Free trade and the changing character of British colonial rule
HIST-P2-1993-T011,007824cf-0515-4b21-bd1f-ed9e2d95c5fa,"Permanent Settlement, Ryotwari and Mahalwari systems"
HIST-P2-1994-T011,70f079a0-8fb0-4e15-8a29-178169acecdf,Free trade and the changing character of British colonial rule
HIST-P2-1994-T014,c7d9098c-e43c-4992-b13e-f53bfe80379c,European business enterprise and its limitations
HIST-P2-1995-T015,852312a0-c14a-46e5-85de-a4fa7ae35368,Industrialization and globalization
HIST-P2-1996-T013,7aec0aab-5047-4c3a-9121-ad9c627d77ca,Impoverishment of rural society
HIST-P2-1997-T011,007824cf-0515-4b21-bd1f-ed9e2d95c5fa,"Permanent Settlement, Ryotwari and Mahalwari systems"
HIST-P2-1999-T012,70f079a0-8fb0-4e15-8a29-178169acecdf,Free trade and the changing character of British colonial rule
HIST-P2-2000-T011,bf6bebf5-dae3-40f5-9d69-b7b05e05e5f2,Economic impact of the revenue arrangements
HIST-P2-2001-T011,4299b280-36b7-4286-b4df-13fb8bb1f062,Dislocation of traditional trade and commerce; de-industrialisation
HIST-P2-2001-T012,007824cf-0515-4b21-bd1f-ed9e2d95c5fa,"Permanent Settlement, Ryotwari and Mahalwari systems"
HIST-P2-2002-T012,22c46168-2e98-4b18-897c-68dfb8c3256b,Famine and poverty in the rural interior
HIST-P2-2003-T011,007824cf-0515-4b21-bd1f-ed9e2d95c5fa,"Permanent Settlement, Ryotwari and Mahalwari systems"
HIST-P2-2003-T012,22c46168-2e98-4b18-897c-68dfb8c3256b,Famine and poverty in the rural interior
HIST-P2-2003-T013,bf6bebf5-dae3-40f5-9d69-b7b05e05e5f2,Economic impact of the revenue arrangements
HIST-P2-2004-T011,007824cf-0515-4b21-bd1f-ed9e2d95c5fa,"Permanent Settlement, Ryotwari and Mahalwari systems"
HIST-P2-2004-T012,69b9ab1d-e494-42b6-981b-e833dd1b0eae,Decline of traditional crafts; drain of wealth
HIST-P2-2005-T010,bf6bebf5-dae3-40f5-9d69-b7b05e05e5f2,Economic impact of the revenue arrangements
HIST-P2-2005-T011,22c46168-2e98-4b18-897c-68dfb8c3256b,Famine and poverty in the rural interior
HIST-P2-2006-T011,7aec0aab-5047-4c3a-9121-ad9c627d77ca,Impoverishment of rural society
HIST-P2-2006-T012,73ee6af0-634e-4c0e-a7b5-f7f31191b38e,Commercialization of agriculture and the rise of landless labourers
