id,verdict,fact,source,note
GKA-001,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-002,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-003,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-004,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-005,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-006,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-007,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-008,confirmed,"Megasthenes-Chandragupta Maurya, Deimachus-Bindusara, Fa-Hien-Chandragupta II, Hiuen Tsang-Harsha",https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-009,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-010,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-011,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-012,confirmed,"Akshapataladhyaksha = superintendent of accounts; elephants under Hastyadhyaksha; Samaharta revenue, Sannidhata treasury, Sitadhyaksha crown agriculture -> only three pairs correct",https://www.hindu-blog.com/2024/09/akshapataladhyaksha-in-hinduism.html,
GKA-013,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-014,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-015,confirmed,Ancient Indian texts/Mauryan-Gupta facts per NCERT Themes in Indian History Part I,https://ncert.nic.in/textbook.php?lehs1=0-4,
GKA-016,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-017,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-018,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-019,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-020,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-021,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-022,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-023,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-024,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
