id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
CST-MC-001,costing,Absorption vs marginal costing — profit reconciliation,L1,not_flagged,N,"Under marginal costing, fixed production overhead incurred during a period is:",B. Charged in full to the profit and loss account of that period,Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-002,costing,Marginal costing — contribution and P/V ratio,L1,not_flagged,N,A product sells at ₹80 per unit with a variable cost of ₹52 per unit. Its P/V ratio is:,B. 35%,Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-003,costing,Break-even point in units and value,L1,not_flagged,N,"Fixed costs are ₹4,20,000, selling price ₹150 and variable cost ₹90 per unit. Break-even point in units is:","D. 7,000 units",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-004,costing,Margin of safety and angle of incidence,L1,not_flagged,N,"Actual sales are 50,000 units and break-even sales are 35,000 units. The margin of safety ratio is:",D. 30%,Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-005,costing,Marginal costing — contribution and P/V ratio,L2,not_flagged,N,"A firm reports: | Period | Sales (₹) | Profit (₹) | |---|---:|---:| | I | 2,00,000 | 20,000 | | II | 2,60,000 | 38,000 | Assuming no change in selling price, v…","D. ₹40,000",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-006,costing,Target-profit sales,L2,not_flagged,N,"Fixed costs are ₹3,60,000 and the P/V ratio is 40%. Sales required to earn a profit of ₹1,20,000 are:","D. ₹12,00,000",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-007,costing,Absorption vs marginal costing — profit reconciliation,L2,not_flagged,N,"No opening stock. Production 12,000 units, sales 10,000 units. Fixed production overhead ₹2,40,000, absorbed on actual production. Compared with marginal costi…","D. Higher by ₹40,000",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-008,costing,Margin of safety and angle of incidence,L2,not_flagged,N,"Sales are ₹10,00,000, profit ₹90,000 and the P/V ratio 30%. The margin of safety ratio is:",C. 30%,Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-009,costing,Target-profit sales,L2,not_flagged,N,"Selling price ₹100, variable cost ₹60 per unit, fixed cost ₹4,00,000, current sales 15,000 units. If price is cut by 10%, units needed to keep the present prof…","B. 20,000 units",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-010,costing,Key factor and product mix decisions,L2,not_flagged,N,Machine hours are the limiting factor. | Product | Contribution per unit (₹) | Machine hours per unit | |---|---:|---:| | A | 60 | 4 | | B | 45 | 2 | | C | 80…,"A. B, C, A",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-011,costing,Key factor and product mix decisions,L3,not_flagged,N,"Available machine hours are 20,000; fixed cost ₹1,50,000. | Product | Contribution/unit (₹) | Hours/unit | Max demand (units) | |---|---:|---:|---:| | A | 60 |…","C. ₹2,05,000",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-012,costing,"Sunk, differential, opportunity and relevant costs",L3,not_flagged,N,"Capacity 50,000 units; current sales 40,000 units at ₹50; variable cost ₹30 per unit. A one-time order for 12,000 units at ₹38 would require an extra ₹20,000 o…","C. Increase of ₹36,000",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-013,costing,Break-even point in units and value,L3,not_flagged,N,Two products are sold in the ratio 3 : 2 by units. | | X | Y | |---|---:|---:| | Selling price (₹) | 40 | 75 | | Variable cost (₹) | 24 | 57 | Fixed cost is ₹3…,"A. ₹12,15,000",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-014,costing,Break-even point in units and value,L3,not_flagged,N,"Plan A: fixed cost ₹2,00,000, variable cost 60% of sales. Plan B: fixed cost ₹3,20,000, variable cost 45% of sales. Plan B gives the higher profit above sales…","B. ₹8,00,000",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-015,costing,Make-or-buy and shutdown decisions,L3,not_flagged,N,"Fixed cost is ₹6,00,000. If operations are suspended, ₹2,40,000 of it is avoidable, but closing and reopening costs ₹60,000. Contribution is ₹20 per unit. The…","A. 9,000 units",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-016,costing,Absorption vs marginal costing — profit reconciliation,L3,not_flagged,N,"Opening stock 2,000 units carried fixed overhead at ₹18 per unit. This period: production 10,000 units, fixed production overhead ₹2,00,000 absorbed on actual…","A. Higher by ₹16,000",Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-017,costing,Make-or-buy and shutdown decisions,L4,not_flagged,N,"[case CST-MC-CASE-1] If the Kettle is discontinued, only ₹9,00,000 of its apportioned fixed cost is saved (specific supervision). Company profit after discontinuing will be:",B. ₹27.00 lakh,Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-018,costing,Break-even point in units and value,L4,not_flagged,N,"[case CST-MC-CASE-1] At the present sales mix, the company's break-even sales value is:",C. ₹499.25 lakh,Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-019,costing,Margin of safety and angle of incidence,L4,not_flagged,N,[case CST-MC-CASE-1] The margin of safety ratio at the present sales mix is:,A. 20.75%,Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
CST-MC-020,costing,Make-or-buy and shutdown decisions,L4,not_flagged,N,"[case CST-MC-CASE-1] Management proposes replacing the Kettle with a Toaster on the same capacity: 20,000 units at ₹700, variable cost ₹520, and new specific fixed cost of ₹12,00,0…",C. Increase of ₹18.00 lakh,Standard marginal costing/CVP pattern (ICAI/ICMAI cost accounting syllabus). Original figures and entities; no text reproduced.,,,,,
