id,area,current_name,proposed_name,ncert_source,standard_source
f0f5a7e3,Environment,Trophic roles and energy flow,Energy flow and ecological pyramids,Class 12 Biology — Ecosystem,Shankar IAS Environment
cf0855dd,Environment,Species interactions and symbiosis,Population interactions,Class 12 Biology — Organisms and Populations,Shankar IAS Environment
fe6538f3,Environment,Animal behaviour and adaptation,"Habitat, niche and adaptations",Class 12 Biology — Organisms and Populations,Shankar IAS Environment
acd9d6ba,Environment,Biomes and vegetation types,Ecosystems and their types,Class 12 Biology — Ecosystem,Shankar IAS Environment
01d8cbbc,Environment,Soil ecology and nutrient cycling,Nutrient cycles and decomposition,Class 12 Biology — Ecosystem,Shankar IAS Environment
90933549,Environment,Indian fauna distribution and endemism,Indian fauna and endemic species,,Shankar IAS Environment; WII species profiles
2acb3c6d,Environment,"Indian flora, trees and non-timber forest produce",Indian flora and forest produce,,India State of Forest Report
04b86c54,Environment,Invasive alien species,Alien species invasion,Class 12 Biology — Biodiversity and Conservation,Shankar IAS Environment
59cdec61,Environment,Extinction and threatened species,Loss of biodiversity,Class 12 Biology — Biodiversity and Conservation,IUCN Red List; Shankar IAS
e9f28928,Environment,Coral reefs and marine ecosystems,Marine ecosystems and coral reefs,,Shankar IAS Environment
be78492d,Environment,Wetlands and Ramsar sites,Wetlands and Ramsar sites,,Shankar IAS Environment; Ramsar site list
99998dde,Environment,Protected area categories,In-situ conservation: parks and sanctuaries,Class 12 Biology — Biodiversity and Conservation,Shankar IAS Environment
42380d00,Environment,Wildlife Protection Act,Wildlife Protection Act,,Bare Act; Shankar IAS Environment
7a9ef97f,Environment,Forest laws and forest rights,Forest laws and forest rights,,Shankar IAS Environment
b9fd43a1,Environment,Environment Protection Act and pollution control bodies,Environment Protection Act and pollution control bodies,,Shankar IAS Environment
a6df38b4,Environment,"Biological Diversity Act, BMCs and Nagoya Protocol","Biological Diversity Act, BMCs and Nagoya Protocol",,Shankar IAS Environment
89b9d2cb,Environment,Air pollution sources and standards,Air pollution and its control,Class 12 Biology — Environmental Issues,CPCB; Shankar IAS Environment
