id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
CAB-002,companies-act,s.123 sources of dividend,L3,fix_needed,Y,Pranav Castings Ltd reports the following for FY 2025-26 (all figures after tax): | Item | ₹ crore | |---|---:| | Profit for the year before depreciation | 9.6…,D. ₹5.50 crore,Companies Act 2013 s.123(1)(a) proviso; s.123(1) fourth (last) proviso,,,,,
CAB-039,companies-act,Related party transactions,L3,fix_needed,Y,"Under s.188 of the Companies Act, 2013, consider: 1. A contract with a related party entered into without Board/members' approval may be ratified by the Board…","C. 1, 2 and 3","Companies Act 2013 s.188(1) second, third and fourth provisos; s.188(3)",,,,,
CAB-046,companies-act,Private placement — procedure and limits,L1,fix_needed,Y,Consider the following regarding a private placement offer under s.42: 1. The private placement offer-cum-application letter is issued in Form PAS-4 and is add…,B. 1 and 3 only,"Companies Act 2013 s.42(3), (4); PAS Rules 2014, Rule 14",,,,,
CAB-055,companies-act,Shelf prospectus and abridged prospectus,L3,fix_needed,Y,A company eligible under SEBI regulations files a shelf prospectus under s.31. Consider: 1. The shelf prospectus is valid for a period not exceeding one year f…,"B. 1, 2 and 3 only",Companies Act 2013 s.31,,,,,
CAB-061,companies-act,s.39 minimum application money,L3,fix_needed,Y,Shaurya Pumps Ltd's public issue failed to receive the minimum subscription. Application money of ₹3.60 crore that should have been refunded within 15 days of…,"B. ₹5,91,781","Companies Act 2013 s.39(3); PAS Rules 2014, Rule 11(1)",,,,,
CAB-064,companies-act,Registration of charges,L2,fix_needed,Y,Arjun Forgings Ltd created a charge on its plant in favour of a bank on 10 January 2026 but files Form CHG-1 on 25 March 2026 (74 days after creation). Under s…,"A. Possible with ad valorem fees, within the further 60-day window","Companies Act 2013 s.77(1), first proviso cl.(b) and second proviso cl.(b) (Companies (Amendment) Act 2019)",,,,,
CAB-066,companies-act,s.71 debentures and debenture trustee,L3,fix_needed,Y,Gaurav Cables Pvt Ltd (unlisted; not an NBFC or HFC) has privately placed secured debentures outstanding of ₹50.00 crore. Debentures of ₹20.00 crore mature dur…,D. ₹5.00 crore and ₹3.00 crore,"Companies (Share Capital and Debentures) Rules 2014, Rule 18(7)(b)(iv)(B) and 18(7)(b)(v) (as amended 16-08-2019)",,,,,
CAB-070,companies-act,s.46 duplicate share certificate and penalty,L2,fix_needed,Y,A shareholder of Chandan Paints Ltd (an unlisted public company; physical certificates) has lost his share certificate and applies for a duplicate. Under Rule…,C. Three months from submission of complete documents,"Companies Act 2013 s.46(2); SCD Rules 2014, Rule 6(2)(c)",,,,,
CAB-081,companies-act,Quorum requirements for a general meeting,L3,fix_needed,Y,At the AGM of Prithvi Metals Ltd (a public company) the quorum was not present within half an hour. Consider: 1. The meeting stands adjourned to the same day i…,"D. 1, 2 and 3 only","Companies Act 2013 s.103(2), (3)",,,,,
CAB-095,companies-act,Woman director and resident director,L3,fix_needed,Y,The only woman director of Aditi Pharma Ltd (unlisted public company; paid-up capital ₹150 crore) resigned with effect from 1 May 2026. The next Board meeting…,C. 20 August 2026,"Appointment Rules 2014, Rule 3 proviso",,,,,
CAB-100,companies-act,s.408 constitution of the NCLT,L3,fix_needed,Y,"Consider the following regarding the NCLT: 1. Its Principal Bench is at New Delhi, presided over by the President. 2. A Bench ordinarily consists of one Judici…","B. 1, 2 and 4 only","Companies Act 2013 s.419(2), (3), s.424(1); IBC 2016 s.60",,,,,
CAB-113,companies-act,Related party transactions,L4,wrong_key,Y,[case CAB-CASE-2] Which of the contracts with Sharma Traders / related parties require prior approval of members by ordinary resolution under s.188 read with Rule 15?,D. Sale of surplus land and appointment of the MD's son only,"Companies Act 2013 s.188(1)(f), s.2(76), s.2(77); Specification of Definitions Rules 2014, Rule 4; Meetings of Board Rules 2014, Rule 15(3)",,,,,
CAB-117,companies-act,Removal by special resolution with Central Government approval,L4,fix_needed,Y,"[case CAB-CASE-3] For the removal of Kulkarni & Co, the latest dates for (i) filing the application with the Central Government and (ii) holding the general meeting to pass the…",A. (i) 2 April 2027; (ii) 9 July 2027,"Companies Act 2013 s.140(1); Audit Rules 2014, Rule 7(2), (3)",,,,,
CAB-122,companies-act,Private placement — procedure and limits,L4,fix_needed,Y,[case CAB-CASE-4] Consider the following regarding the second placement: 1. The return of allotment in Form PAS-3 must be filed within 15 days of allotment. 2. The money receive…,B. 1 and 2 only,"Companies Act 2013 s.42(4) proviso, s.42(6), (8), s.29; PAS Rules 2014, Rules 9A, 14",,,,,
