slug	exams	name	topic
gk-astronomy-and-celestial-nomenclature-2a3ffcbd		Astronomy and celestial nomenclature	General Science
gk-computing-and-artificial-intelligence-6e37bb35		Computing and artificial intelligence	General Science
gk-digital-public-platforms-and-e-governance-technology-9cd7508b		Digital public platforms and e-governance technology	General Science
gk-scientific-and-research-institutions-76a19811		Scientific and research institutions	General Science
gk-solar-system-and-planetary-science-d6341c32		Solar system and planetary science	General Science
gk-space-missions-and-spacecraft-be67a432		Space missions and spacecraft	General Science
gk-units-and-scales-of-measurement-7ec529d3		Units and scales of measurement	General Science
gk-biodiversity-and-wildlife-conservation-f3eb33b4		Biodiversity and wildlife conservation	Geography
gk-climate-and-ocean-atmosphere-phenomena-8085d1da		Climate and ocean-atmosphere phenomena	Geography
gk-countries-capitals-and-territorial-extent-08a65697		Countries, capitals and territorial extent	Geography
gk-crops-cropping-seasons-and-leading-producer-states-46076cd2		Crops, cropping seasons and leading producer states	Geography
gk-geographical-indication-tags-and-crafts-702bae58		Geographical indication tags and crafts	Geography
gk-landmarks-and-monuments-f8f158ed		Landmarks and monuments	Geography
gk-major-dams-and-river-valley-projects-6549644d		Major dams and river valley projects	Geography
gk-mineral-resources-and-mining-sites-4f735f5b		Mineral resources and mining sites	Geography
gk-mountain-ranges-and-peaks-a77bd767		Mountain ranges and peaks	Geography
gk-rivers-of-the-world-54deb0d8		Rivers of the world	Geography
gk-transport-corridors-and-ports-1ab12f3b		Transport corridors and ports	Geography
gk-world-heritage-and-protected-sites-de04e103		World Heritage and protected sites	Geography
gk-ancient-indian-texts-and-statecraft-2174dac6		Ancient Indian texts and statecraft	History
gk-freedom-movement-leaders-and-their-offices-c7d8f5ef		Freedom-movement leaders and their offices	History
gk-medieval-indian-empires-89a51a24		Medieval Indian empires	History
gk-national-memorials-and-samadhis-4dfb36a7		National memorials and samadhis	History
gk-post-independence-revolutions-and-their-pioneers-7b7f876c		Post-independence revolutions and their pioneers	History
gk-agriculture-and-rural-energy-schemes-ebe9a56e		Agriculture and rural energy schemes	Indian Economy
gk-biofuel-and-renewable-energy-projects-35abd79c		Biofuel and renewable energy projects	Indian Economy
gk-environmental-clearance-and-industrial-approvals-2be607e8		Environmental clearance and industrial approvals	Indian Economy
gk-multilateral-development-finance-in-india-8639dac3		Multilateral development finance in India	Indian Economy
gk-rural-livelihood-and-skill-development-missions-4bc24cc0		Rural livelihood and skill development missions	Indian Economy
gk-rural-road-connectivity-schemes-96871e9e		Rural road connectivity schemes	Indian Economy
gk-self-help-groups-and-rural-women-5ae33d37		Self-help groups and rural women	Indian Economy
gk-urban-development-and-governance-missions-9e53e37f		Urban development and governance missions	Indian Economy
gk-civilian-awards-and-the-honours-system-f414fae6		Civilian awards and the honours system	Indian Polity and Constitution
gk-comparative-government-and-world-legislatures-805a9f15		Comparative government and world legislatures	Indian Polity and Constitution
gk-fundamental-rights-d29a48dc		Fundamental Rights	Indian Polity and Constitution
gk-judiciary-and-judicial-administration-5352920e		Judiciary and judicial administration	Indian Polity and Constitution
gk-president-and-vice-president-of-india-f5832b8f		President and Vice-President of India	Indian Polity and Constitution
gk-recent-central-legislation-and-statutory-penalties-62a1d053		Recent central legislation and statutory penalties	Indian Polity and Constitution
gk-schedules-of-the-constitution-0e22c1f9		Schedules of the Constitution	Indian Polity and Constitution
gk-statutory-commissions-and-information-oversight-12115091		Statutory commissions and information oversight	Indian Polity and Constitution
gk-union-ministries-and-departments-cc6b7cd8		Union ministries and departments	Indian Polity and Constitution
gk-union-state-relations-and-the-legislative-lists-d8f8e469		Union-State relations and the legislative lists	Indian Polity and Constitution
gk-international-agreements-and-declarations-19824d81		International agreements and declarations	International Relations
gk-international-organisations-and-groupings-ccdfea5b		International organisations and groupings	International Relations
gk-international-summits-and-forums-328d7104		International summits and forums	International Relations
gk-sustainable-development-goals-45f4b84e		Sustainable Development Goals	International Relations
gk-world-affairs-and-geopolitical-terms-ee57779f		World affairs and geopolitical terms	International Relations
gk-awards-and-honours-34508904		Awards and honours	Miscellaneous
gk-books-and-authors-cdbb8150		Books and authors	Miscellaneous
gk-business-and-startup-terminology-9067341d		Business and startup terminology	Miscellaneous
gk-climate-awareness-initiatives-5c590710		Climate awareness initiatives	Miscellaneous
gk-commemorative-coins-and-numismatics-acb547d9		Commemorative coins and numismatics	Miscellaneous
gk-defence-forces-exercises-and-expeditions-60d9b297		Defence forces, exercises and expeditions	Miscellaneous
gk-sports-terminology-and-indian-sporting-history-a70dfb18		Sports terminology and Indian sporting history	Miscellaneous
gk-world-currencies-71063a47		World currencies	Miscellaneous
