slug	exams	name
cost-5s-and-the-sixth-s-12ee6222	ifsca,pfrda,sebi	5S and the sixth S
cost-abc-and-pareto-analysis-for-inventory-control-e0bc1f51	ifsca,pfrda,sebi	ABC and Pareto analysis for inventory control
cost-absorption-vs-marginal-costing-profit-reconciliation-3c2b2d47	ifsca,pfrda,sebi	Absorption vs marginal costing — profit reconciliation
cost-activity-based-costing-cost-pools-and-drivers-7317fd62	ifsca,pfrda,sebi	Activity-based costing — cost pools and drivers
cost-batch-costing-and-economic-batch-quantity-3984e50e	ifsca,pfrda,sebi	Batch costing and economic batch quantity
cost-break-even-point-in-units-and-value-69b99c6d	ifsca,pfrda,sebi	Break-even point in units and value
cost-budget-concept-and-budgetary-control-617c62f3	ifsca,pfrda,sebi	Budget concept and budgetary control
cost-cash-budget-preparation-879c8489	ifsca,pfrda,sebi	Cash budget preparation
cost-cellular-manufacturing-one-piece-flow-cf3a35ef	ifsca,pfrda,sebi	Cellular manufacturing / one-piece flow
cost-contract-costing-wip-retention-profit-on-incomplete-contract-102b6dcd	ifsca,pfrda,sebi	Contract costing — WIP, retention, profit on incomplete contracts
cost-cost-accounting-vs-financial-accounting-2f4381c6	ifsca,pfrda,sebi	Cost accounting vs financial accounting
cost-cost-classification-by-behaviour-fixed-variable-semi-variabl-e25ab568	ifsca,pfrda,sebi	Cost classification by behaviour — fixed, variable, semi-variable
cost-cost-concepts-prime-production-conversion-cost-adcadb60	ifsca,pfrda,sebi	Cost concepts — prime, production, conversion cost
cost-cost-control-vs-cost-reduction-539c755e	ifsca,pfrda,sebi	Cost control vs cost reduction
cost-direct-vs-indirect-costs-6ceb3aa3	ifsca,pfrda,sebi	Direct vs indirect costs
cost-disposal-of-variances-05e3c04b	ifsca,pfrda,sebi	Disposal of variances
cost-economic-order-quantity-and-ordering-carrying-trade-off-e36a354f	ifsca,pfrda,sebi	Economic order quantity and ordering/carrying trade-off
cost-equivalent-production-fifo-and-weighted-average-bcff4541	ifsca,pfrda,sebi	Equivalent production — FIFO and weighted average
cost-fixed-vs-flexible-budgets-abb5d990	ifsca,pfrda,sebi	Fixed vs flexible budgets
cost-idle-time-and-overtime-normal-vs-abnormal-treatment-08bfcf6d	ifsca,pfrda,sebi	Idle time and overtime — normal vs abnormal treatment
cost-imputed-and-notional-costs-dc36d546	ifsca,pfrda,sebi	Imputed and notional costs
cost-inter-process-profit-1b0952cf	ifsca,pfrda,sebi	Inter-process profit
cost-introduction-to-cost-and-management-accounting-a93049ae	ifsca,pfrda,sebi	Introduction to cost and management accounting
cost-introduction-to-lean-system-and-the-wastes-688e6065	ifsca,pfrda,sebi	Introduction to lean system and the wastes
cost-job-costing-ae284897	ifsca,pfrda,sebi	Job costing
cost-joint-products-and-by-products-apportionment-bases-a6a74b59	ifsca,pfrda,sebi	Joint products and by-products — apportionment bases
cost-just-in-time-and-pull-systems-f89f17ff	ifsca,pfrda,sebi	Just-in-Time and pull systems
cost-kanban-3f102146	ifsca,pfrda,sebi	KANBAN
cost-kaizen-and-kaizen-costing-af2ced2a	ifsca,pfrda,sebi	Kaizen and Kaizen costing
cost-key-factor-and-product-mix-decisions-c1f23dd7	ifsca,pfrda,sebi	Key factor and product mix decisions
cost-labour-turnover-causes-and-measurement-d4cb4ea3	ifsca,pfrda,sebi	Labour turnover — causes and measurement
cost-labour-variances-rate-and-efficiency-71d9cffe	ifsca,pfrda,sebi	Labour variances — rate and efficiency
cost-mrp-ii-f6fb71bc	ifsca,pfrda,sebi	MRP II
