"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"60e428d6-b21c-48a9-8ca0-eadf7fa9f187","1","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","medium","","shift coding"
"83c65ea7-d6ca-4450-9a9c-89bcbd28f608","3","General Intelligence and Reasoning","ee63d21f-3ff5-4193-975f-7e6c04a59c89","Three or more statement syllogism","medium","","3 statements, 3 conclusions"
"1694947d-a254-4ba6-b0e6-39170abcab4f","4","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","hard","","interchange numbers in exponents"
"6969c53d-fb51-43da-b958-98f64b622d61","5","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","4-letter cluster series"
"24b57cdc-b274-4031-ade1-5298b693d073","7","General Intelligence and Reasoning","a4dddc0f-e194-4eb6-bfc6-078240c8d4f0","Number and digit coding","medium","","letter position concatenation"
"7ff3d6e7-044c-44d6-b01e-3c2883a13712","8","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","letter-cluster analogy"
"857b30d7-04f2-4cac-9645-e9b3385f3fce","9","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; moved per migration 306"
"12aa92a5-e048-47ac-bde2-fdb82a45f3c6","11","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","group of four"
"48c0625f-e39d-43a4-883e-4ef9fd5c8f4c","12","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","medium","","reorder then count gap"
"12941677-6153-47a4-8028-f1f7449129c2","14","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","letter-cluster analogy"
"5c44158b-7286-4552-a387-363571f24c9a","16","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","number pairs"
"9eae1dcc-0ae0-4bf9-b9f5-d658d386bf50","18","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks"
"74bb2651-bc49-46fa-b981-921749679619","19","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","triad relation"
"efbebc84-be60-4f5d-971d-206f604ff82c","20","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","symbol chain"
"4e1263fd-0b12-445a-84b6-9fb9a749cb51","21","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-set relation"
"39845865-2c50-4210-95a7-d68719caafa3","22","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","easy","","square relation"
"45b2386b-9535-4e70-b00c-809544a0426a","23","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","hard","","7,13,?,145,721,4321; needs Number series leaf; filled from migration 306"
"8229b77d-16ad-4e62-8a12-c436095405e8","24","General Intelligence and Reasoning","","UNMAPPED - Venn diagram","medium","","Venn counts; no Venn leaf"
"ac7b3f91-5a38-40fb-864c-bd38ffc95cd8","51","Quantitative Aptitude","b46a977a-8c32-71a1-b429-c48e7019f637","Circle theorems - chords, tangents and cyclic quadrilaterals","hard","","secant and tangent from external point"
"88e172f5-12b3-49cf-8276-9192eb7845f2","52","Quantitative Aptitude","2ab2e850-22d2-4286-8b8e-5e40767657e3","Successive percentage change","medium","","single vs successive discounts"
"4a9a9fe5-b2b2-46d3-b031-ec94d8bf7b81","53","Quantitative Aptitude","14c51cd0-d60f-42bb-a584-89639d2306fa","LCM, HCF and divisibility","easy","","divisibility by 2,5,10,11"
"e36712dd-a14b-4b5b-a01c-f442aafa3f7d","54","Quantitative Aptitude","5194061c-a0ed-423e-aa9d-b3c774115dc8","Linear equations in one and two variables","medium","","infinite solutions condition"
"a188c9f4-0268-4f89-ab2e-a5a4e035735f","55","Quantitative Aptitude","9ea559c5-2c7b-49b4-8ab0-98938fd471df","Simple and compound interest","easy","","SI for 13 months"
"e1c8fde1-4648-4465-a388-64e48d63d170","56","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","medium","","complementary tan product"
"9bae6123-e3f6-4b51-b530-f1502e8964a9","58","Quantitative Aptitude","4ad71c10-ba53-15ef-e1ce-9598602559a9","Congruence and similarity","medium","","congruent right triangles"
"c334dd93-6379-4a85-a2eb-eb7801a8b3b1","60","Quantitative Aptitude","14c51cd0-d60f-42bb-a584-89639d2306fa","LCM, HCF and divisibility","easy","","divisibility by 8"
"8828f900-62ea-424c-8eae-c01c80402c64","61","Quantitative Aptitude","21fb2f26-ef41-477c-a8eb-2717f20b6083","Pipes and cisterns","easy","","two pipes together"
"e9382a1a-3c26-415e-8001-06488c9b2b82","62","Quantitative Aptitude","e1fecd85-fe0d-4594-a851-40691666a7b4","Algebraic identities and factorisation","hard","","complete squares then cubes"
"bb0f9be3-7eae-40ae-84ab-a62c51881cbb","63","Quantitative Aptitude","d1979e85-7942-4fdd-a5fa-b1d2e29f5977","Boats and streams","medium","","speeds from two legs"
"e7af9f6e-01ab-46c0-8dfa-b6fd0dd48ed0","64","Quantitative Aptitude","a5ece133-4cad-4641-8caa-5e593c34e888","Simultaneous equations from word conditions","hard","","three equations"
"e4d4aaad-182a-4079-bd86-bd23fdd501eb","66","Quantitative Aptitude","c5d44e15-072a-4557-ad7d-f61221fe61c7","Volume and surface area of solids","medium","","cone CSA from circumference"
"011f7b3b-af5c-4c4c-a6f9-fd4af2276821","67","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","easy","","standard angle value"
"af0c973e-28a1-487e-941e-394c468573ea","68","Quantitative Aptitude","74799854-a84e-4607-844e-afb8c50b7bc0","Simple and compound ratio","easy","","mean proportional"
"eb3a1d5f-c916-43c3-a920-115f9e15b2d4","69","Quantitative Aptitude","716450be-826f-428c-a51e-57101be2e9f9","Cost price, selling price and margin","hard","","cost rises, SP fixed"
"ce242d3f-8371-4408-b810-08e310d2f061","70","Quantitative Aptitude","a704c46a-26db-43f5-9ece-3e339a15ac3b","Circle - area, circumference and sectors","medium","","sector perimeter"
"b6fc9c09-e670-4dd4-a88d-5feb6db5a24e","71","Quantitative Aptitude","7d94ff40-34f9-47fe-9caa-9eae0dc38116","Mixtures and alligation","easy","","weighted cost of mix"
"14c118bb-b715-41c4-b9d7-642680ab60b6","72","Quantitative Aptitude","61f760f9-681d-4ec9-9c5c-bfe750fcf5fe","Percentage increase and decrease","hard","","spending/saving with two changes"
"2a34a4cf-2f98-4b3a-a520-4584736324b9","73","Quantitative Aptitude","ce23f17b-f621-46b0-bb72-fc926a0be3d4","Tabular data interpretation","medium","","car production table"
"a2e1891e-6312-49f0-a58d-9f7e68936d36","74","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","medium","","expression from cos value"
"ce0a2b72-3a55-40f0-9e87-72efe1434a3d","75","Quantitative Aptitude","a704c46a-26db-43f5-9ece-3e339a15ac3b","Circle - area, circumference and sectors","easy","","arc length from angle"
"76ea2c6f-b2ef-4b20-aa82-fa65c6474a6d","76","English Comprehension","925bca25-49af-bb3b-0e2b-707ca2e0b9fa","Active and passive voice","easy","","active to passive; no voice leaf; filled from migration 306"
"04aba994-e36e-4471-834a-52e9d8af9368","77","English Comprehension","e6f14cb6-df7f-4e3a-9aa4-5efbf45b7946","One-word substitution","easy","","aviary"
"32b5191c-7655-41c8-b6c1-56a2e5d8507e","78","English Comprehension","b56cb48c-f85b-4158-8e71-f954f48a8c10","Antonyms","medium","","standalone word"
