"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"65098a87-9af2-4691-bf23-de1500e1e941","3","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","medium","","antonym pair"
"4f63d8be-52af-4215-9fb8-059b9e9ef486","4","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","medium","","interchange two signs"
"f8275389-8c03-4348-aed5-cb38e4c607fb","5","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; moved per migration 306"
"b79b9a5e-20d8-495d-9943-2b48559bdb25","6","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","easy","","alphabetical reorder"
"257d4ac5-25ff-40c5-85b3-b6e9d4d7dcb1","7","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","easy","","number relation"
"7e4bec71-4ab6-4575-b7ce-c2ef81c56c5d","9","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","easy","","word relation"
"9888e53f-78ed-46c2-8517-35fbe3c50494","10","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks"
"ccb9e00d-2b49-4b5a-bf6f-6bd5d683b53e","11","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-set relation"
"76b0305f-35e0-4be2-9276-e0426d9d4556","12","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","group of four"
"472b0074-93e3-4fa6-bec2-9614e4c3575f","13","General Intelligence and Reasoning","e8565eaf-c332-47da-97ab-b50aff00ac13","Two-statement syllogism","medium","","statements and conclusions"
"cf01c525-d80f-46da-9af7-3ee4bfafeeb0","14","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-set relation"
"495693d8-860d-4d29-8a8d-d0cc4c968d06","15","General Intelligence and Reasoning","98d49687-d96b-e39c-24b2-4889fc64d54a","Word-substitution message coding","easy","","common word across codes"
"50a93a57-b9f2-4007-83a1-583d0bee6062","18","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","medium","","shift plus rearrangement"
"ae76e9fa-8f59-41a7-a0f0-5245f93fcfa9","20","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","letter clusters"
"8add4406-7240-4959-a9d3-4e5d2b1565b2","21","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","4-letter cluster series"
"54ebb817-6b11-4add-95d6-2243a1781cd8","22","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","medium","","23,27,43,79,143; needs Number series leaf; filled from migration 306"
"5738f103-44da-426a-a135-07d9e71aae46","23","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","symbol chain"
