id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
ACC-029,commerce-accountancy,Accounting software and XBRL,L3,fix_needed,Y,"Under the Companies (Filing of Documents and Forms in XBRL) Rules, 2015, consider these companies (none is a banking company, insurance company or housing fina…",C. 1 and 3 only,"Companies (Filing of Documents and Forms in XBRL) Rules, 2015, Rule 3 (classes (i)–(iv) and exempted companies)",,,,,
ACC-030,commerce-accountancy,Applicability framework and enterprise levels,L2,fix_needed,Y,"Under the Companies (Accounting Standards) Rules, 2021, which of the following unlisted companies (none a bank, insurer or FI, and none part of a larger group)…",A. Turnover ₹240 crore; borrowings ₹48 crore,"Companies (Accounting Standards) Rules, 2021, Rule 2(1)(e)",,,,,
ACC-068,commerce-accountancy,Provisions vs contingent liabilities,L1,fix_needed,Y,"Under AS 29, a contingent asset whose inflow of economic benefits is probable (but not virtually certain) is:",C. Not recognised; disclosed in the report of the approving authority,"AS 29 paras 30 (no recognition), 33 (disclosure in approving authority's report), 34 (virtually certain → recognised)",,,,,
ACC-142,commerce-accountancy,Schedule III — Balance Sheet heads and sub-heads,L2,fix_needed,Y,"Match each item with its head under Schedule III (Division I, as amended in 2021): | | List I | | List II | |---|---|---|---| | A | Current maturities of long-…","A. A-4, B-3, C-2, D-1",Schedule III Division I (amended 24-03-2021) — Part I; capital advances under long-term loans and advances,,,,,
ACC-032,commerce-accountancy,Applicability framework and enterprise levels,L1,confirmed,Y,"Under the Companies (Accounting Standards) Rules, 2021, a Small and Medium-sized Company is exempt from applying which of the following standards in full?",B. AS 17 — Segment Reporting,"Companies (AS) Rules, 2021 — AS 17 applicability to SMCs",Y,,,,
ACC-034,commerce-accountancy,AS vs Ind AS convergence,L2,confirmed,Y,"Consider the following comparisons between AS and Ind AS: 1. AS 5 requires separate disclosure of extraordinary items, whereas Ind AS 1 prohibits presenting an…",A. 1 and 2 only,AS 5; Ind AS 1 para 87; Ind AS 103 para 34/36A; Ind AS 16 para 29,Y,,,,
ACC-124,commerce-accountancy,Buy-back — conditions and section 68,L3,confirmed,Y,"Dhruv Ltd (1 crore equity shares of ₹10 each, paid-up ₹10.00 crore) has free reserves of ₹30.00 crore and securities premium of ₹5.00 crore. A special resoluti…",A. ₹11.25 crore,"Companies Act, 2013 s.68(2)(c) and Explanation",Y,,,,
ACC-177,commerce-accountancy,Ind AS 7 — statement of cash flows,L4,confirmed,Y,[case ACC-C9-TIRUPATI] Net cash from operating activities is:,"B. ₹4,25,000","Ind AS 7 paras 18–20, 33, 35",Y,,,,
ACC-001,commerce-accountancy,Accounting equation,L2,not_flagged,N,"Mehar Stores begins with total assets of ₹5,00,000 and outside liabilities of ₹1,80,000. During the week: 1. Goods costing ₹40,000 sold on credit at a mark-up…","C. ₹3,16,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-002,commerce-accountancy,Accounting equation,L1,not_flagged,N,Which of the following transactions leaves the TOTAL of assets unchanged?,D. Purchase of furniture for cash,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
