slug	exams	name	act
fsa-insurance-act-registration-capital-and-foreign-insurer-restrictions-26783931	ifsca,pfrda,sebi	Insurance Act — registration, capital and foreign insurer restrictions	Insurance Act, 1938
fsa-insurance-act-investments-loans-and-commission-controls-85c731fd	ifsca,pfrda,sebi	Insurance Act — investments, loans and commission controls	Insurance Act, 1938
fsa-insurance-act-assignment-and-nomination-under-ss-38-39-c2f8e7b2	ifsca,pfrda,sebi	Insurance Act — assignment and nomination under ss.38–39	Insurance Act, 1938
fsa-insurance-act-s-45-indisputability-and-s-64vb-premium-in-advance-bb5a2d40	ifsca,pfrda,sebi	Insurance Act — s.45 indisputability and s.64VB premium in advance	Insurance Act, 1938
fsa-insurance-act-surveyors-penalties-and-appeals-3451a64e	ifsca,pfrda,sebi	Insurance Act — surveyors, penalties and appeals	Insurance Act, 1938
fsa-irda-act-establishment-composition-and-tenure-8cda2ef6	ifsca,pfrda,sebi	IRDA Act — establishment, composition and tenure	Insurance Regulatory and Development Authority Act, 1999
fsa-irda-act-duties-powers-and-functions-under-s-14-ed4cae4a	ifsca,pfrda,sebi	IRDA Act — duties, powers and functions under s.14	Insurance Regulatory and Development Authority Act, 1999
fsa-irda-act-funds-accounts-and-reports-06eac95d	ifsca,pfrda,sebi	IRDA Act — funds, accounts and reports	Insurance Regulatory and Development Authority Act, 1999
fsa-irda-act-central-government-control-and-advisory-committee-6feb8b5c	ifsca,pfrda,sebi	IRDA Act — Central Government control and advisory committee	Insurance Regulatory and Development Authority Act, 1999
fsa-pfrda-act-constitution-composition-and-tenure-918d5c29	ifsca,pfrda,sebi	PFRDA Act — constitution, composition and tenure	Pension Fund Regulatory and Development Authority Act, 2013
fsa-pfrda-act-scope-and-functions-of-the-authority-35af80ab	ifsca,pfrda,sebi	PFRDA Act — scope and functions of the Authority	Pension Fund Regulatory and Development Authority Act, 2013
fsa-pfrda-act-national-pension-system-and-intermediaries-d1d3b662	ifsca,pfrda,sebi	PFRDA Act — National Pension System and intermediaries	Pension Fund Regulatory and Development Authority Act, 2013
fsa-pfrda-act-penalties-adjudication-and-offences-bcd5f2c2	ifsca,pfrda,sebi	PFRDA Act — penalties, adjudication and offences	Pension Fund Regulatory and Development Authority Act, 2013
fsa-pfrda-act-appeals-funds-and-oversight-e53185fa	ifsca,pfrda,sebi	PFRDA Act — appeals, funds and oversight	Pension Fund Regulatory and Development Authority Act, 2013
fsa-ifsca-act-application-definitions-and-sez-linkage-ea78d532	ifsca,pfrda,sebi	IFSCA Act — application, definitions and SEZ linkage	International Financial Services Centres Authority Act, 2019
fsa-ifsca-act-composition-tenure-and-meetings-7d57cbc8	ifsca,pfrda,sebi	IFSCA Act — composition, tenure and meetings	International Financial Services Centres Authority Act, 2019
fsa-ifsca-act-functions-and-powers-under-first-schedule-acts-4b7dd741	ifsca,pfrda,sebi	IFSCA Act — functions and powers under First Schedule Acts	International Financial Services Centres Authority Act, 2019
fsa-ifsca-act-finance-foreign-currency-and-accountability-5e4b0a57	ifsca,pfrda,sebi	IFSCA Act — finance, foreign currency and accountability	International Financial Services Centres Authority Act, 2019
fsa-ifsca-act-central-government-powers-and-overriding-provisions-95c50cb8	ifsca,pfrda,sebi	IFSCA Act — Central Government powers and overriding provisions	International Financial Services Centres Authority Act, 2019
