slug	exams	name
comm-as-10-property-plant-and-equipment-revaluation-fb287c47	ifsca,pfrda,sebi	AS 10 — property, plant and equipment; revaluation
comm-as-11-foreign-exchange-fcmitda-non-integrated-operations-37e9937e	ifsca,pfrda,sebi	AS 11 — foreign exchange, FCMITDA, non-integrated operations
comm-as-13-investments-dfe9a43a	ifsca,pfrda,sebi	AS 13 — investments
comm-as-2-inventories-nrv-abnormal-wastage-49107646	ifsca,pfrda,sebi	AS 2 — inventories, NRV, abnormal wastage
comm-as-22-deferred-tax-57e93280	ifsca,pfrda,sebi	AS 22 — deferred tax
comm-as-3-cash-flow-classification-a6724448	ifsca,pfrda,sebi	AS 3 — cash flow classification
comm-as-9-revenue-recognition-09897109	ifsca,pfrda,sebi	AS 9 — revenue recognition
comm-as-vs-ind-as-convergence-60228e09	ifsca,pfrda,sebi	AS vs Ind AS convergence
comm-accounting-equation-d0b1fd5c	ifsca,pfrda,sebi	Accounting equation
comm-accounting-software-and-xbrl-8e8956b1	ifsca,pfrda,sebi	Accounting software and XBRL
comm-accrual-vs-cash-basis-3f45df7d	ifsca,pfrda,sebi	Accrual vs cash basis
comm-amalgamation-and-internal-reconstruction-f6cf65aa	ifsca,pfrda,sebi	Amalgamation and internal reconstruction
comm-applicability-framework-and-enterprise-levels-b4ffed7e	ifsca,pfrda,sebi	Applicability framework and enterprise levels
comm-bills-of-exchange-and-account-current-7827b77d	ifsca,pfrda,sebi	Bills of exchange and account current
comm-bonus-issue-effect-on-shareholders-and-entity-75ceb504	ifsca,pfrda,sebi	Bonus issue — effect on shareholders and entity
comm-buy-back-conditions-and-section-68-e0437e31	ifsca,pfrda,sebi	Buy-back — conditions and section 68
comm-calls-in-advance-and-calls-in-arrears-f2113a14	ifsca,pfrda,sebi	Calls in advance and calls in arrears
comm-capital-vs-revenue-expenditure-a623e332	ifsca,pfrda,sebi	Capital vs revenue expenditure
comm-cash-and-cash-equivalents-the-three-month-test-49487a8d	ifsca,pfrda,sebi	Cash and cash equivalents — the three-month test
comm-cash-conversion-cycle-1a57e782	ifsca,pfrda,sebi	Cash conversion cycle
comm-commitments-and-disclosure-cd467aeb	ifsca,pfrda,sebi	Commitments and disclosure
comm-consolidation-when-required-fc8549a1	ifsca,pfrda,sebi	Consolidation — when required
comm-control-of-subsidiaries-separate-presentation-945d7aec	ifsca,pfrda,sebi	Control of subsidiaries — separate presentation
comm-coverage-ratios-interest-dscr-asset-coverage-a722be92	ifsca,pfrda,sebi	Coverage ratios — interest, DSCR, asset coverage
comm-debentures-features-and-classification-ceaec689	ifsca,pfrda,sebi	Debentures — features and classification
comm-depreciation-methods-change-in-estimate-commencement-f82e6d00	ifsca,pfrda,sebi	Depreciation — methods, change in estimate, commencement
comm-direct-vs-indirect-method-c89cd305	ifsca,pfrda,sebi	Direct vs indirect method
comm-double-entry-and-rules-of-debit-and-credit-bec6e100	ifsca,pfrda,sebi	Double entry and rules of debit and credit
comm-esop-valuation-methods-341f6e0a	ifsca,pfrda,sebi	ESOP valuation methods
comm-esop-vesting-and-exercise-conditions-888af080	ifsca,pfrda,sebi	ESOP — vesting and exercise conditions
comm-fund-flow-sources-and-applications-24cfb293	ifsca,pfrda,sebi	Fund flow — sources and applications
comm-going-concern-conservatism-matching-consistency-8d9199ad	ifsca,pfrda,sebi	Going concern, conservatism, matching, consistency
comm-ind-as-105-non-current-assets-held-for-sale-6362ca63	ifsca,pfrda,sebi	Ind AS 105 — non-current assets held for sale
comm-ind-as-113-fair-value-hierarchy-8df0d07d	ifsca,pfrda,sebi	Ind AS 113 — fair value hierarchy
comm-ind-as-16-property-plant-and-equipment-03ea51c0	ifsca,pfrda,sebi	Ind AS 16 — property, plant and equipment
comm-ind-as-21-translation-of-non-monetary-items-ea4ffcab	ifsca,pfrda,sebi	Ind AS 21 — translation of non-monetary items
comm-ind-as-36-impairment-of-assets-8b33d129	ifsca,pfrda,sebi	Ind AS 36 — impairment of assets
comm-ind-as-7-statement-of-cash-flows-b102076c	ifsca,pfrda,sebi	Ind AS 7 — statement of cash flows
comm-issue-at-premium-securities-premium-reserve-efe50f5a	ifsca,pfrda,sebi	Issue at premium; securities premium reserve
comm-journal-entries-for-share-issues-09312013	ifsca,pfrda,sebi	Journal entries for share issues
comm-leases-operating-and-finance-3fc7f587	ifsca,pfrda,sebi	Leases — operating and finance
comm-leverage-ratios-debt-equity-and-capital-gearing-c8273948	ifsca,pfrda,sebi	Leverage ratios — debt-equity and capital gearing
comm-limitations-of-fund-flow-e44bc95a	ifsca,pfrda,sebi	Limitations of fund flow
comm-limitations-of-ratio-analysis-9d034626	ifsca,pfrda,sebi	Limitations of ratio analysis
comm-liquidity-ratios-current-and-quick-e5512198	ifsca,pfrda,sebi	Liquidity ratios — current and quick
comm-market-ratios-eps-book-value-per-share-dividend-yield-p-e-02edf471	ifsca,pfrda,sebi	Market ratios — EPS, book value per share, dividend yield, P/E
comm-operating-investing-and-financing-classification-a4e54550	ifsca,pfrda,sebi	Operating, investing and financing classification
comm-partnership-accounts-deed-absent-profit-sharing-current-acco-d617a5b2	ifsca,pfrda,sebi	Partnership accounts — deed absent, profit sharing, current account
comm-profitability-ratios-gp-np-ebit-margin-roe-roce-451f2443	ifsca,pfrda,sebi	Profitability ratios — GP, NP, EBIT margin, ROE, ROCE
comm-provisions-vs-contingent-liabilities-7f9abd08	ifsca,pfrda,sebi	Provisions vs contingent liabilities
comm-qualitative-characteristics-of-financial-information-9f277e61	ifsca,pfrda,sebi	Qualitative characteristics of financial information
comm-rectification-of-errors-738e85fe	ifsca,pfrda,sebi	Rectification of errors
comm-redemption-of-preference-shares-9fdf7d70	ifsca,pfrda,sebi	Redemption of preference shares
comm-rights-issue-ex-right-price-and-value-of-right-028d888c	ifsca,pfrda,sebi	Rights issue — ex-right price and value of right
comm-rights-issue-offer-period-and-procedure-4255a1f2	ifsca,pfrda,sebi	Rights issue — offer period and procedure
comm-schedule-iii-balance-sheet-heads-and-sub-heads-b645c8b7	ifsca,pfrda,sebi	Schedule III — Balance Sheet heads and sub-heads
comm-stages-of-the-accounting-process-2eeb4442	ifsca,pfrda,sebi	Stages of the accounting process
comm-statement-of-profit-and-loss-exceptional-items-58baa453	ifsca,pfrda,sebi	Statement of Profit and Loss; exceptional items
