row_id,parent_question_id,year,section_id,question_number,format,prompt_index,prompt_text_excerpt,marks,word_limit,theme_code,secondary_theme_code,essay_type,quote_source_type,confidence,notes
RBI-ENG-2022-Q1-P1,36adb921-429e-40fc-b788-0606c25b36e3,2022,d32e07c5-3738-4e6c-9f19-8bbc14f6ed33,1,essay,1,"“Peace cannot be kept by force, it can only be achieved by understanding” – Elaborate.",40,~600,IR,ETH,quote_abstract,,medium,Unattributed quote in source; quote_source_type left blank. War/peace hook -> IR; force-vs-understanding moral axis -> ETH secondary.
RBI-ENG-2022-Q1-P2,36adb921-429e-40fc-b788-0606c25b36e3,2022,d32e07c5-3738-4e6c-9f19-8bbc14f6ed33,1,essay,2,Role of female entrepreneurs in India,40,~600,SOC,ECO,issue_concrete,,high,Gender structure (SOC) primary; entrepreneurship as economic participation secondary.
RBI-ENG-2022-Q1-P3,36adb921-429e-40fc-b788-0606c25b36e3,2022,d32e07c5-3738-4e6c-9f19-8bbc14f6ed33,1,essay,3,Advantages and disadvantages of renewable energy. How the OSOWOG initiative will help in eliminating these disadvantages.,40,~600,ENV,IR,issue_concrete,,medium,Renewable-energy policy. Reserved CLM (climate-action angle) would fit better; ENV used as nearest ACTIVE code. OSOWOG is a cross-border grid -> IR secondary.
RBI-ENG-2022-Q1-P4,36adb921-429e-40fc-b788-0606c25b36e3,2022,d32e07c5-3738-4e6c-9f19-8bbc14f6ed33,1,essay,4,India has become a medical destination for the world.,40,~600,ECO,HLW,issue_concrete,,medium,Medical tourism as services-sector/development story. ECO boundary is economic-philosophy not policy mechanics - strained fit. HLW secondary for healthcare subject.
RBI-ENG-2022-Q2,579c0bef-c7e3-4d1e-b278-a5e600367279,2022,d32e07c5-3738-4e6c-9f19-8bbc14f6ed33,2,precis,,"As controversies swirl about funding, resources, motives and methods for spaceflight, it is well to consider the consequences of ex-ploring space – and of choos",30,~180,SCI,SOC,,,high,"Tagged by SOURCE PASSAGE theme, not an argued position. Passage: consequences of space exploration for society and worldview."
RBI-ENG-2022-Q3,7b05ca08-cba7-44b9-a1a4-1a654aa6abd5,2022,d32e07c5-3738-4e6c-9f19-8bbc14f6ed33,3,comprehension,,"Financial derivatives are financial instruments that are linked to a specific financial instrument or indicator or commodity, and through which specific financi",30,,ECO,,,,low,"Tagged by SOURCE PASSAGE theme, not an argued position. Passage: financial derivatives mechanics. ECO excludes policy mechanics; no finance/banking code exists (GAP-2)."
RBI-ENG-2023-Q1-P1,a67db400-d253-4ea3-bf62-fef97081c7b8,2023,a9893684-a94e-405a-94c6-7f1d0f5f965d,1,essay,1,"In every organization, especially in modern day and age, employees focus on personal value and purpose in the organization. Suggest measures for organization cu",40,~600,PER,SLF,issue_concrete,,low,"Organisational culture / employee purpose. Taxonomy has no workplace-management code (GAP-1). PER nearest (leadership); SLF secondary (personal value, purpose)."
RBI-ENG-2023-Q1-P2,a67db400-d253-4ea3-bf62-fef97081c7b8,2023,a9893684-a94e-405a-94c6-7f1d0f5f965d,1,essay,2,what is social media recruitment? What are its advantages and disadvantages,40,~600,SCI,,issue_concrete,,low,Social-media recruitment = HR practice mediated by tech. SCI via tech effect on society; management angle has no code (GAP-1).
RBI-ENG-2023-Q1-P3,a67db400-d253-4ea3-bf62-fef97081c7b8,2023,a9893684-a94e-405a-94c6-7f1d0f5f965d,1,essay,3,Economic impacts of climate change on developing countries,40,~600,ECO,ENV,issue_concrete,,medium,Economic lens on climate change. Reserved CLM candidate; ENV used as ACTIVE secondary.
RBI-ENG-2023-Q1-P4,a67db400-d253-4ea3-bf62-fef97081c7b8,2023,a9893684-a94e-405a-94c6-7f1d0f5f965d,1,essay,4,There is an immense need of multi linguistic social media accounts for businesses,40,~600,SOC,SCI,issue_concrete,,low,Linguistic diversity + media for business. SOC via media social role; business-communication angle has no code (GAP-1).
