"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty"
"question","9914d3fe-4c7c-4faf-b7ce-6542cd5462e9","2023","1","Based on the above passage, the following assumptions have been made: 1. Collection, processing and segregation of municipal waste should be","","spot_check","","","","easy"
"question","b58d1d16-d4d3-41f1-9704-2d77d3818bcc","2023","2","Which one of the following statements best reflects the crux of the passage?","duplicate_text","flagged","","","","medium"
"question","38721bc7-a427-4b73-8a75-e2a2ecf3ec48","2023","3","Based on the above passage, the following assumptions have been made: 1. Organic farming is inherently unsafe for both farmers and consumers","","","","","","easy"
"question","5507ac9e-e1a5-469c-918d-d5b98e317f59","2023","4","Which one of the following statements best reflects the most logical, rational and practical message conveyed by the author of the passage?","","","","","","medium"
"question","758ad0cd-4a83-40b3-87b8-0f7e95b3d073","2023","5","Based on the above passage, the following assumptions have been made: 1. To implement the Sustainable Development Goals and to achieve zero-","","","","","","easy"
"question","9f6a6d66-23aa-4806-a053-928db230d7fc","2023","6","A box contains 14 black balls, 20 blue balls, 26 green balls, 28 yellow balls, 38 red balls and 54 white balls. Consider the following state","","","","","","hard"
"question","4f0d9653-6dca-4eb3-955f-4e7c193542fa","2023","7","If 'ZERO' is written as 'CHUR', then how is 'PLAYER' written?","","","","","","medium"
"question","74a46c34-8a4d-49b8-8a9f-3041885bbda5","2023","8","Consider the following statements: 1. A is older than B. 2. C and D are of the same age. 3. E is the youngest. 4. F is younger than D. 5. F ","","","","","","hard"
"question","2ef082f0-61e0-4949-8388-d56ba154b052","2023","9","Consider the following including the Question and the Statements: There are 5 members A, B, C, D, E in a family. Question: What is the relat","","","","","","hard"
"question","1fd58c72-2cb6-4483-a2e3-1642018897d0","2023","10","Choose the group which is different from the others:","","spot_check","","","","medium"
"question","c1516fcc-ab83-48e3-82c6-3757c87ca7d7","2023","11","Which one of the following statements best reflects the most logical and rational implication conveyed by the passage?","","","","","","medium"
"question","4848d708-0fb3-46b1-8502-f4cfdb13a8a5","2023","12","Which of the following statements best reflects the logical inference from the passage given above?","","","","","","medium"
"question","38eaa9c7-0212-4ffd-9723-45879e2c1f28","2023","13","Which one of the following statements best reflects the most logical and rational inference that can be drawn from the passage?","","","","","","medium"
"question","2c4e3802-2a48-4a19-b509-234613200048","2023","14","If 7  9  10 = 8, 9  11  30 = 5, 11  17  21 = 13, what is the value of 23  4  15 ?","non_ascii_suspect","flagged","","","","medium"
"question","88f1b3ce-d874-4bb8-b400-ee49b0079230","2023","15","Let x be a positive integer such that 7x + 96 is divisible by x. How many values of x are possible?","","","","","","hard"
"question","b5343502-0159-477b-8079-c768688b00d4","2023","16","If p, q, r and s are distinct single digit positive numbers, then what is the greatest value of (p + q) (r + s) ?","","","","","","medium"
"question","53be0d3f-2702-41ed-951d-19a291d1f623","2023","17","A number N is formed by writing 9 for 99 times. What is the remainder if N is divided by 13 ?","","","","","","hard"
"question","64dd65ef-2694-433a-8b8c-887ceef8e167","2023","18","Each digit of a 9-digit number is 1. It is multiplied by itself. What is the sum of the digits of the resulting number?","","","","","","hard"
"question","ae2889c3-e1fb-4bf9-8e3f-72234864b216","2023","19","What is the sum of all digits which appear in all the integers from 10 to 100 ?","","spot_check","","","","hard"
"question","ccdfafc4-77e6-4215-b78b-0bf0b94e33a2","2023","20","ABCD is a square. One point on each of AB and CD; and two distinct points on each of BC and DA are chosen. How many distinct triangles can b","","","","","","hard"
"question","442dfccf-0f71-4ed6-aca7-c9543a1ec50c","2023","21","Which one of the following statements best reflects the crucial message conveyed by the author of the passage?","","","","","","medium"
"question","5713b301-9e4f-45e3-9dfc-b674659093c4","2023","22","Which one of the following statements best implies the most rational assumption that can be made from the passage?","","","","","","medium"
"question","3e67301f-e267-4dab-8c1a-11ce08fb3ce5","2023","23","Which one of the following statements best reflects the crux of the passage?","duplicate_text","flagged","","","","medium"
"question","9fc935d5-2fba-464c-b210-7cd0bdae1278","2023","24","Three of the five positive integers p, q, r, s, t are even and two of them are odd (not necessarily in order). Consider the following: 1. p ","non_ascii_suspect","flagged","","","","hard"
"question","d68aa28f-cdeb-4b67-adcc-3e30094cacbd","2023","25","Consider the following in respect of prime number p and composite number c. 1. 𝑝+𝑐 𝑝−𝑐 can be even. 2. 2p+c can be odd. 3. pc can be odd. Wh","non_ascii_suspect","flagged","","","","hard"
"question","21d44ca6-cfa8-41c0-95b9-d71133f596aa","2023","26","A 3-digit number ABC, on multiplication with D gives 37DD where A, B, C and D are different non-zero digits. What is the value of A+B+C ?","","","","","","hard"
"question","fcf0348c-0949-4fa7-bb15-85c3d27e50e2","2023","27","For any choices of values of X, Y and Z, the 6 digit number of the form XYZXYZ is divisible by:","","","","","","hard"
"question","742ad453-e543-40a7-86c2-a35fee794625","2023","28","125 identical cubes are arranged in the form of cubical block. How many cubes are surrounded by other cubes from each side?","","","","","","medium"
"question","5a551187-a792-4e8a-b988-0ad2c9142f29","2023","29","How many distinct 8-digit numbers can be formed by rearranging the digits of the number 11223344 such that odd digits occupy odd positions a","","","","","","hard"
"question","f5f779d0-7456-4b16-8dcd-5d26f64d9734","2023","30","A, B, C working independently can do a piece of work in 8, 16 and 12 days respectively. A alone works on Monday, B alone works on Tuesday, C","","","","","","medium"
