row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview,paper_id,section,current_primary_topic_id,apply_result,apply_detail
question,5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee,2024,1,"Write an essay on any one of the following topics in 600-620 words. (40 marks) a) Discuss the social, economic, and environmental impacts of",non_ascii_suspect;no_primary_tag,flagged,,,,,,e0a9e855-085b-4a26-9710-63b295fd40d7,English Descriptive,,skipped,no decision
question,01ad3514-e262-4430-abb7-42283f5af600,2024,2,Write a precis of the following passage in 180-200 words and also give a suitable title. (30 marks) In the rapidly evolving intersection of ,non_ascii_suspect;no_primary_tag,flagged,,,,,,e0a9e855-085b-4a26-9710-63b295fd40d7,English Descriptive,,skipped,no decision
question,89bcff12-0802-4f9e-aab5-69f077f0861e,2024,3,"Read the following comprehension and answer the questions that follow (5x6 = 30 marks) In today’s competitive business environment, companie",non_ascii_suspect;no_primary_tag,flagged,,,,,,e0a9e855-085b-4a26-9710-63b295fd40d7,English Descriptive,,skipped,no decision
question,272a2fd9-5adc-4d69-bbaf-aaf2890f354d,2024,4,How can rural India prioritize and promote women-led development?,,spot_check,verified,,,medium,,e0a9e855-085b-4a26-9710-63b295fd40d7,Economic & Social Issues - Descriptive,6f182884-0443-48e2-ad72-601b4ad101ab,difficulty;verified,
question,13c4023c-deb9-41a8-b7bf-954884211f8e,2024,5,Discuss the Pros and Cons of usage of AI in the Banking Sector.,,,verified,,,medium,,e0a9e855-085b-4a26-9710-63b295fd40d7,Economic & Social Issues - Descriptive,1d690f05-756d-4389-b40d-5bca2d050fdd,difficulty;verified,
question,1ee3e762-f148-4368-b6f8-251d42f2abcd,2024,6,What are the objectives and significance of the National Industrial Corridor Development Program in boosting India’s industrial growth and i,non_ascii_suspect,flagged,verified,,,medium,,e0a9e855-085b-4a26-9710-63b295fd40d7,Economic & Social Issues - Descriptive,c433edd3-ad2d-408b-bd3e-fbf1828a030d,difficulty;verified,
question,62ccc94e-9a81-4942-9d9d-d162408bc19e,2024,7,Discuss the tussle between sustainable development and economic growth. How can we create the right balance between them?,,,verified,,,medium,,e0a9e855-085b-4a26-9710-63b295fd40d7,Economic & Social Issues - Descriptive,f7274ac4-dc47-482f-86f6-495e4bc87cae,difficulty;verified,
question,c541ff90-b936-4e0d-bbee-1f4f72b8a070,2024,8,Discuss the challenges of youth unemployment. How can it be mitigated?,,,verified,,,medium,,e0a9e855-085b-4a26-9710-63b295fd40d7,Economic & Social Issues - Descriptive,67d73193-b913-40c4-9e29-eb8eeb39653f,difficulty;verified,
question,bae6efb9-fbc8-494d-9dd5-26edddd9e180,2024,9,a) What are the 5 key digital initiatives introduced in Budget 2024-25? How will they impact India’s digital economy landscape? b) Discuss t,non_ascii_suspect,flagged,verified,,,medium,,e0a9e855-085b-4a26-9710-63b295fd40d7,Economic & Social Issues - Descriptive,fa731497-39a6-49f8-b3ff-e0f3bb19cb96,difficulty;verified,
question,355aecd6-d59e-4226-9775-b7a04839831c,2024,10,Differentiate between trait and behavioural approaches of leadership.,,,verified,,,medium,,e0a9e855-085b-4a26-9710-63b295fd40d7,Finance & Management - Descriptive,afd4a13d-c570-493d-8b6a-3923c701219f,difficulty;verified,
question,13e9027b-fcc4-4424-89a2-ab28c8db93ed,2024,11,What are derivatives? Discuss its different types. Who are the key market participants in derivative market? Discuss the risks associated wi,,spot_check,verified,primary tag replaced by operator SQL after this run,,medium,,e0a9e855-085b-4a26-9710-63b295fd40d7,Finance & Management - Descriptive,c7ea1e13-578a-4977-a08e-df0a6d689f16,difficulty;verified,
