id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
ACTO-033,financial-sector-acts,"Competition Act — combinations and merger control (s.5, s.6)",L2,fix_needed,Y,Notice of a combination is filed with the CCI on 2 Feb 2026 (board approval was on 18 Jan 2026). The CCI forms its prima facie opinion under s.29(1B) within 30…,B. 150 days — up to 2 Jul 2026,"Competition Act, 2002, s.6(2A), s.29(1B), s.31(1) proviso, s.31(6) (Competition (Amendment) Act 2023)",,,,,
ACTO-050,financial-sector-acts,LLP Act — winding up and dissolution,L1,fix_needed,Y,"Under the LLP Act, an LLP may be wound up compulsorily by:",A. The National Company Law Tribunal,"Limited Liability Partnership Act, 2008, s.2(1)(u), s.63, s.64",,,,,
ACTO-016,financial-sector-acts,"FEMA — penalties, enforcement and compounding (s.13 to s.15)",L3,confirmed,Y,A resident firm fails to file a mandatory FEMA report; the sum involved is not quantifiable. The default continues for a total of 40 days (including the first…,"D. ₹3,95,000","Foreign Exchange Management Act, 1999, s.13(1)",Y,,,,
ACTO-031,financial-sector-acts,Competition Act — anti-competitive agreements (s.3),L2,confirmed,Y,Which one of the following agreements is presumed to cause an appreciable adverse effect on competition under s.3(3)?,B. Three road contractors agreeing who will quote lowest in a tender,"Competition Act, 2002, s.3(3)(d), s.3(4)",Y,,,,
ACTO-036,financial-sector-acts,"Competition Act — settlement, commitment and appeals",L2,confirmed,Y,"The CCI imposes a penalty of ₹84 crore on Vayu Airlines Ltd under s.27. To have its appeal entertained by the NCLAT, Vayu must first deposit:",C. ₹21.00 crore,"Competition Act, 2002, s.53B (2023 amendment)",Y,,,,
ACTO-042,financial-sector-acts,"Competition Act — settlement, commitment and appeals",L3,confirmed,Y,**Assertion (A):** A party to a bid-rigging cartel cannot apply for settlement under s.48A. **Reason (R):** Settlement and commitment are available only for al…,"D. Both A and R are true, and R is the correct explanation of A","Competition Act, 2002, s.46, s.48A, s.48B (2023 amendment)",Y,,,,
ACTO-048,financial-sector-acts,"LLP Act — partners, designated partners and mutual rights",L1,confirmed,Y,"For incorporation of a limited liability partnership, the LLP Act, 2008 requires:","C. At least two partners, with no maximum limit","Limited Liability Partnership Act, 2008, s.6",Y,,,,
ACTO-054,financial-sector-acts,"LLP Act — small LLP, filings and decriminalisation",L2,confirmed,Y,Nimbus Tech LLP files its annual return (Form 11) for FY 2025-26 on 15 Aug 2026. Assume an additional fee of ₹100 per day of delay. The additional fee payable…,"D. ₹7,700","Limited Liability Partnership Act, 2008, s.35; additional fee rate given in stem",Y,,,,
ACTO-065,financial-sector-acts,"LLP Act — partners, designated partners and mutual rights",L4,confirmed,Y,"[case ACTO-CASE-LLP] For FY 2025-26, Arohi's compliance with the resident designated partner requirement is:","D. Compliant — Ira is resident, so Kabir's 95 days do not matter","Limited Liability Partnership Act, 2008, s.7 (LLP (Amendment) Act 2021)",Y,,,,
ACTO-001,financial-sector-acts,FEMA — residential status under s.2(v),L1,confirmed,Y,"Under s.2(v) of FEMA, the basic day-count test that makes an individual a ""person resident in India"" for FY 2026-27 is that he resided in India for:",D. More than 182 days during FY 2025-26,"Foreign Exchange Management Act, 1999, s.2(v)",,,,,
ACTO-002,financial-sector-acts,FEMA — civil character and contrast with FERA,L1,confirmed,Y,"A contravention of a provision of FEMA (other than the special regime for assets held abroad) is, by its basic design:",A. A civil wrong visited with a monetary penalty imposed on adjudication,"Foreign Exchange Management Act, 1999, s.13, s.14, s.16; FERA 1973, s.59",,,,,
ACTO-003,financial-sector-acts,"FEMA — current and capital account transactions (s.5, s.6) and LRS",L1,confirmed,Y,"After the Finance Act, 2015 amendment to s.6 of FEMA (effective 2019), capital account transactions involving debt instruments are regulated by:","A. The RBI, in consultation with the Central Government","Foreign Exchange Management Act, 1999, s.6(2), s.6(2A) (Finance Act 2015)",,,,,
ACTO-004,financial-sector-acts,FEMA — authorised persons and RBI directions (s.10 to s.12),L1,confirmed,Y,"Authorisation to act as an authorised dealer, money changer or off-shore banking unit under s.10 of FEMA is granted by:","A. The Reserve Bank of India, on an application made to it","Foreign Exchange Management Act, 1999, s.10(1)",,,,,
