"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"0b80a539-3173-426d-a800-625fff54f755","1","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-set relation"
"939d57fe-77be-4494-89fd-255edac7f882","5","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","medium","","word pair"
"3052ef8d-21f5-4d0d-a263-03b27003adfb","7","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; moved per migration 306"
"685d4f8f-5aed-48b3-9461-83e9496281de","8","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","symbol chain"
"1a5cd6a2-00a0-47f7-b543-a0d01076a08a","9","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","group of four"
"ab51742b-74b6-49d7-81c6-2361654cd493","11","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number relation"
"28dcc6a0-4bcc-44c9-9931-6006557e4b0e","12","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","3-letter cluster series"
"5639181b-7551-4f3f-8e08-db608f4d33ff","13","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","medium","","4,?,?,49,121,169,289; needs Number series leaf; filled from migration 306"
"767cba11-3192-4ad2-bddb-2e6055df8957","14","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","medium","","reorder then count gap"
"6c359b25-31ec-4e16-b5cc-58c5a95c174c","16","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; moved per migration 306"
"97277fe2-87b2-4d82-bd64-9597565c25cb","17","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","numbers"
"baae1ad1-01e3-4d47-a715-ade5ba6fc399","19","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks"
"6adb759c-2497-4a67-af9a-cb77b6bdd699","20","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","term analogy"
"1087bf11-74aa-46d2-b7e5-5aacefc9819b","21","General Intelligence and Reasoning","","UNMAPPED - Venn diagram","medium","","three-set Venn; no Venn leaf in GIR catalogue"
"b9fccfb1-d534-4e46-886d-05436b85e702","22","General Intelligence and Reasoning","98d49687-d96b-e39c-24b2-4889fc64d54a","Word-substitution message coding","easy","","common word across codes"
"79bd14ff-a0eb-4157-abb4-898532584b87","23","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-pair relation"
"a90746f2-ecd7-4d92-8119-2f928fff59d7","24","General Intelligence and Reasoning","a4dddc0f-e194-4eb6-bfc6-078240c8d4f0","Number and digit coding","medium","","letter to digit mapping"
"18d0d619-c695-4208-bf14-2b9a590d452e","25","General Intelligence and Reasoning","","UNMAPPED - Venn diagram","medium","","three-set Venn; no Venn leaf"
