"question_id","year","section","question_number","assign_topic_id","proposed_topic_label","difficulty","decision","question_text"
"06a71546-9158-4fe8-bc64-b5a1f84f9ce4","2023","","1","5cbfa9f6-7496-4309-801f-ed8a969f6bb2","Official statistics and household surveys","medium","verified","Indiaâ€™s BSR system needs to be robust, timely, comprehensive and open to change, stated Michael Patra, deputy governor of Reserve Bank of India (RBI). The BSR Code is a seven-digit code that is prov"
"a2d5fb94-dfdd-4b55-9f4b-6de9fa8aa402","2023","","2","6b804126-1dae-4221-aba6-7896579a048a","Government borrowings classification","medium","verified","As per the Annual Report of RBI (released in May 2023), the Reserve Bank successfully completed the combined gross market borrowings of the central and the state governments to the tune of Rs 21,79,39"
"464407e5-93ca-4d89-a707-b74f17271000","2023","","3","c862456b-d22b-45b5-9150-d9d1f21eb0c6","Global indices and India's rank","easy","verified","The Global Gender Gap Index annually benchmarks the current state and evolution of gender parity across four key dimensions (Economic Participation and Opportunity, Educational Attainment, Health and "
"a86a0030-3ae4-400d-ae2d-a146919e6bea","2023","","4","b2983344-9a73-4205-bc92-76949ad7d588","Awards and honours","easy","verified","Recently, a South American country conferred its highest civilian honour to President Droupadi Murmu- The Grand Order of the Chain of Yellow Star, the first Indian to receive this award. The country i"
"3539cfd7-1980-4538-9e4e-651f2e663682","2023","","7","f2efa180-0f24-4974-98a3-d33ab317b626","Climate awareness initiatives","medium","verified","During the visit of COP 26 President Honâ€™ble Alok Sharma to India on 21-22 July 2022, NITI Aayog launched two significant initiatives, which are ____ mobile application to raise awareness on electri"
"c6eb9d90-7e69-422d-918e-478ba00876c7","2023","","8","f0438d84-6f03-45a4-a48e-44336c8e15e7","National income aggregates and growth estimates","medium","verified","According to the Economic Survey of 2022-23, the Indian economy appears to have moved on after its encounter with the pandemic, staging a full recovery in FY22 ahead of many nations and positioning it"
"d4ce74ef-4c4d-4e3e-834c-5a1e2da5321e","2023","","9","c433edd3-ad2d-408b-bd3e-fbf1828a030d","Infrastructure, transport and logistics","medium","verified","Cruise tourism has seen an immense surge in recent years in India and worldwide. Seeing the potential of this sector, India, on June 5, inaugurated its first international cruise vessel, ____. Flagged"
"4dd92204-71ba-458a-9500-48a79bcc87bd","2023","","11","75f89786-112e-4d19-ace5-a941f8fe577b","International organisations and groupings","medium","verified","Mr. Girish Chandra Murmu, the Comptroller and Auditor General of India (CAG), has been re-elected as External Auditor of the ______ for a ____ year term. CAGâ€™s appointment is a recognition of its st"
"779435d4-7055-45c5-a488-1f384541c7ce","2023","","13","af53b54e-1844-450a-b3e2-e16020be4533","Industrial policy and manufacturing","medium","verified","According to the data collated by Department for Promotion of Industry and Internal Trade (DPIIT), incentives have been given to PLI beneficiaries of the 14 sectors. Of the 14 sectors, only 8 have per"
"6001a265-5a4e-4f10-8209-57ab1bf98c83","2023","","16","65c6b4bb-b6fc-4351-a9ea-e09a179d12da","Public sector bank reforms","medium","verified","Major private sector banks continued to expand branch network in the financial year ended March 2023, while public sector banks (PSB) saw a decline in number of branches. Which of the following schedu"
"568ded3d-be7c-40ea-9a7f-158457df1ddf","2023","","20","fa731497-39a6-49f8-b3ff-e0f3bb19cb96","Union Budget provisions and taxation","medium","verified","According to union budget 2023-24, 50-years interest free loans is given to states for â€¦â€¦â€¦â€¦â€¦â€¦ In budget 2023-24, the total amount sanctioned has been increased to Rs.1.3 Lakh Crores from â"
"dde30b8f-dfc9-4401-99e4-c2eed0653cd6","2023","","21","1d690f05-756d-4389-b40d-5bca2d050fdd","Digital finance and technology in banking","medium","verified","Finastra has partnered with a bank to support the latterâ€™s new integrated corporate banking portal, â€˜FYNâ€™, using Finastraâ€™s Unified Corporate Portal solution. The Unified Corporate Portal harn"
"d7922705-0b2c-4951-9181-b2d15370bd9c","2023","","23","59d569cb-cb6d-4402-899d-c984effc6b5b","Agricultural marketing reform and indices","medium","verified","The Indian Council of Agricultural Research (ICAR) and an e-commerce platform have signed a Memorandum of Understanding (MoU) to combine strengths and create synergy between the two organizations for "
"18f853c3-ce55-45eb-a81f-be96333dcbe0","2023","","24","75f89786-112e-4d19-ace5-a941f8fe577b","International organisations and groupings","easy","verified","The European Central Bank (ECB) is the central bank for the eurozone, the group of nineteen countries who use the euro common currency. Its mandate is to maintain price stability by setting key intere"
"e3f0fa96-1e21-4308-8b6b-e29caa3236ce","2023","","25","fbfff264-c421-4b05-96da-071a02ee172f","Business cycle phases","medium","verified","A bull market is a period of time in financial markets when the price of an asset or security rises continuously. The commonly accepted definition of a bull market is when stock prices rise by 20%. Tr"
"ed85a17d-941f-426c-b997-fbda496d4843","2023","","27","ffdc4541-194f-4155-a578-d0fc9d7d4c91","Financial Inclusion Index and schemes","medium","verified","In June 2023, a financial inclusion dashboard named â€˜Antardrishtiâ€™ was launched. The dashboard, as its name suggests, provides the necessary knowledge to evaluate and track the development of fina"
"0f70f032-86ad-4a9d-8dab-dc7c694f6f78","2023","","29","3b29fc1a-f888-4188-8f85-a828933d644e","Higher education, enrolment and AISHE","medium","verified","The Union Minister Education, Skill Development and Entrepreneurship, Shri Dharmendra Pradhan released the India Rankings 2023 in June 2023. Which of the following statements is incorrect with respect"
"92d4dab5-29a2-4ea2-a544-a105d8dcc623","2023","","34","3b99d1e4-a26b-4bb9-8754-9cee350bd157","GDP, GNP, NNP and NDP concepts","medium","verified","Household savings play a vital role in Indiaâ€™s financial sector for multiple reasons. Firstly, they provide a stable and reliable source of funds for the banking sector. Banks utilize these savings "
"3224fa53-8136-48dc-adbd-43fa99bba0f1","2023","","35","84bc7a94-9656-46c9-9de1-fd3340e27473","CBDC, stablecoins and crypto policy","medium","verified","CBDC has the potential to bring significant changes to the economy and the financial sector. It can enhance financial inclusion by providing access to digital payment services for unbanked populations"
"66d95685-ad8f-4372-b481-9a41bc8d2f51","2023","","36","5e3f8952-3acb-45fa-8e28-b4e5ed0e3dc8","Non-tax sources of revenue","medium","verified","Small savings schemes are of significant importance in India due to several reasons. They promote a savings culture among individuals, fostering financial stability. These schemes offer safe and acces"
"fb85f00d-5fa9-4fe8-aaaa-239e35d338f7","2023","","38","748e1177-b18b-4e5a-9698-9aa51b57a50b","International agreements and declarations","medium","verified","The Atlantic Declaration and accompanying Action Plan form the basis of a new type of innovative partnership across the full spectrum of ___ and ___ countiesâ€™ economic, technological, commercial and"
"646fe96f-61b0-4645-b460-b210d2f97da5","2023","","40","32f78939-6d1f-462f-947d-297acdf453f6","International summits and forums","easy","verified","B20 refers to the Business 20, which is an engagement group that brings together business leaders from the G20 member countries. It serves as a platform for dialogue between the business community and"
"70ec8b68-f75d-4f26-96e9-f91436d03b9a","2023","","44","a5b4857a-6bf4-4a05-97f4-7476a3f405a2","Leading and lagging economic indicators","medium","verified","Macroeconomic indicators are of utmost importance as they serve as essential barometers for understanding the overall economic health and performance of a country. These indicators, such as GDP growth"
"740ab0f8-3705-49a3-a375-46e52682be94","2023","","45","8fdb774d-5e18-4742-bbe3-c0ea16495df9","Union-State relations and the legislative lists","medium","verified","The legislative assembly holds immense importance in a federal structure as it serves as a representative body that reflects the will and aspirations of the people within a particular state or region."
"a728015a-edac-4246-8609-3e4890ca001a","2023","","49","b2983344-9a73-4205-bc92-76949ad7d588","Awards and honours","easy","verified","Indian-origin professor Joyeeta Gupta is among the two scientists who have been named for the prestigious Spinoza Prize, also known as the Dutch Nobel Prize, given by the Dutch Research Council. Gupta"
"39f753a0-722b-4749-9679-9bbf0a5107cc","2023","","50","8e5aa145-440d-4db7-a3f4-9ee6e4aed196","Sports terminology and Indian sporting history","easy","verified","The 2023 Malaysia Masters was a badminton tournament that took place at the Axiata Arena, Kuala Lumpur, Malaysia, from 23 to 28 May 2023 and had a total prize of US $420,000. What is the category of t"
"0229dee0-40e9-4af5-a6e6-1e7bb4ec1a4a","2023","","51","c0a7c245-3fb1-4a85-9f8e-2c3399bf68af","Food safety and standards","medium","verified","FSSAI has developed State Food Safety Index to measure the performance of states on various parameters of Food Safety. This index is based on performance of State/ UT on five significant parameters, n"
"fa8af60b-8e86-4400-8911-ac2d56ecc684","2023","","52","f0438d84-6f03-45a4-a48e-44336c8e15e7","National income aggregates and growth estimates","medium","verified","The National Statistical Office (NSO), Ministry of Statistics and Programme Implementation (MoSPI) published the Provisional Estimates (PE) of National Income for 2022- 23 and Quarterly Estimates of G"
