slug	exams	name	act
fsa-ibc-cirp-initiation-default-threshold-and-applicants-s-4-7-9-10-7f5412f4	ifsca,pfrda,sebi	IBC — CIRP initiation, default threshold and applicants (s.4, 7, 9, 10)	Insolvency and Bankruptcy Code, 2016
fsa-ibc-moratorium-irp-rp-and-coc-decision-making-f56b7503	ifsca,pfrda,sebi	IBC — moratorium, IRP/RP and CoC decision-making	Insolvency and Bankruptcy Code, 2016
fsa-ibc-cirp-timelines-resolution-plan-and-s-29a-ineligibility-f0234a1a	ifsca,pfrda,sebi	IBC — CIRP timelines, resolution plan and s.29A ineligibility	Insolvency and Bankruptcy Code, 2016
fsa-ibc-liquidation-waterfall-under-s-53-8a25ca49	ifsca,pfrda,sebi	IBC — liquidation waterfall under s.53	Insolvency and Bankruptcy Code, 2016
fsa-ibc-pre-packaged-insolvency-for-msmes-and-ibbi-11958b40	ifsca,pfrda,sebi	IBC — pre-packaged insolvency for MSMEs and IBBI	Insolvency and Bankruptcy Code, 2016
fsa-sarfaesi-s-13-demand-notice-representation-and-enforcement-measures-a2da9bf8	ifsca,pfrda,sebi	SARFAESI — s.13 demand notice, representation and enforcement measures	Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
fsa-sarfaesi-consortium-consent-s-13-9-and-cmm-dm-assistance-s-14-c946b8b5	ifsca,pfrda,sebi	SARFAESI — consortium consent (s.13(9)) and CMM/DM assistance (s.14)	Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
fsa-sarfaesi-drt-application-s-17-and-drat-pre-deposit-s-18-cabe157d	ifsca,pfrda,sebi	SARFAESI — DRT application (s.17) and DRAT pre-deposit (s.18)	Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
fsa-sarfaesi-exclusions-under-s-31-and-applicability-9d414489	ifsca,pfrda,sebi	SARFAESI — exclusions under s.31 and applicability	Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
fsa-sarfaesi-asset-reconstruction-companies-and-cersai-39fcd4cb	ifsca,pfrda,sebi	SARFAESI — asset reconstruction companies and CERSAI	Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
fsa-rdb-act-drt-jurisdiction-and-pecuniary-threshold-21a137a0	ifsca,pfrda,sebi	RDB Act — DRT jurisdiction and pecuniary threshold	Recovery of Debts and Bankruptcy Act, 1993
fsa-rdb-act-original-application-procedure-and-limitation-d67663ae	ifsca,pfrda,sebi	RDB Act — original application procedure and limitation	Recovery of Debts and Bankruptcy Act, 1993
fsa-rdb-act-drat-appeal-and-pre-deposit-e3ce98e7	ifsca,pfrda,sebi	RDB Act — DRAT appeal and pre-deposit	Recovery of Debts and Bankruptcy Act, 1993
fsa-rdb-act-recovery-certificate-and-recovery-officer-296b5aca	ifsca,pfrda,sebi	RDB Act — recovery certificate and recovery officer	Recovery of Debts and Bankruptcy Act, 1993
fsa-pmla-offence-of-money-laundering-and-punishment-s-3-s-4-6b07b190	ifsca,pfrda,sebi	PMLA — offence of money laundering and punishment (s.3, s.4)	Prevention of Money-laundering Act, 2002
fsa-pmla-scheduled-offences-and-proceeds-of-crime-f5f7d7ab	ifsca,pfrda,sebi	PMLA — scheduled offences and proceeds of crime	Prevention of Money-laundering Act, 2002
fsa-pmla-reporting-entities-record-keeping-and-fiu-ind-39142814	ifsca,pfrda,sebi	PMLA — reporting entities, record-keeping and FIU-IND	Prevention of Money-laundering Act, 2002
fsa-pmla-provisional-attachment-and-adjudicating-authority-2705095f	ifsca,pfrda,sebi	PMLA — provisional attachment and Adjudicating Authority	Prevention of Money-laundering Act, 2002
fsa-pmla-arrest-bail-s-45-appellate-tribunal-and-s-66-10f83185	ifsca,pfrda,sebi	PMLA — arrest, bail (s.45), Appellate Tribunal and s.66	Prevention of Money-laundering Act, 2002
