"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"8b0faa49-c504-4602-a756-14f8dcbe0ce9","1","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","symbol chain"
"6aa3b1a5-c844-44d8-806a-1f1ae400efb1","2","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","medium","","543,518,495,474,455; needs Number series leaf; filled from migration 306"
"f4a9bd2e-5b7d-4a6e-b741-8572edeb146c","3","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","easy","","whole-number relation"
"7152fdf5-c507-4185-b360-49cc8ba86ae0","4","General Intelligence and Reasoning","e8565eaf-c332-47da-97ab-b50aff00ac13","Two-statement syllogism","medium","","statements and conclusions"
"b6583dde-94ee-464c-aa0f-7e32edf0eb11","5","General Intelligence and Reasoning","ee63d21f-3ff5-4193-975f-7e6c04a59c89","Three or more statement syllogism","medium","","3 statements, 3 conclusions"
"6103971b-31df-4e6a-8fa7-f0dfac7bdaf9","6","General Intelligence and Reasoning","a4dddc0f-e194-4eb6-bfc6-078240c8d4f0","Number and digit coding","medium","","letter to digit mapping"
"1f9bbe45-8156-4671-a218-c02a9d745302","7","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","number pairs"
"b54ab55c-c6c5-4657-a381-07a46152aff3","8","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","group of four"
"56c0867d-2cfd-4ffc-8701-cffb009754b6","9","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","letter-cluster analogy"
"e0ecaf27-d5c0-4212-b92b-0295d9feef42","10","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-pair relation"
"559e2ff0-8c1a-4e40-b6ea-c56d76bb4dca","13","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-set relation"
"a5d8a613-2d74-444e-9841-c8e0a7ca198b","16","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","medium","","uniform letter shift"
"8b7c6d49-c4f0-401e-a1fb-7ac518f1b7ca","18","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","hard","","vowels and consonants shifted differently"
"68168f3c-006f-4441-ae32-3a87aa507eed","19","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","3-letter cluster series"
"6118b9be-0f83-439c-abcb-10846afc14df","21","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","letter-cluster analogy"
"f77b1c69-a5ba-4954-aa91-d98efec69ce6","22","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","medium","","interchange two numbers; pending sign-interchange leaf"
"dc3f892d-1e8e-4de7-bdf6-bc74a26606b5","24","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","medium","","interchange two numbers"
"7c88abc7-3329-49bc-aadd-5618f6b1806a","25","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks in letter series"
"b28823fe-0848-48bc-8c07-98c759f0af20","51","Quantitative Aptitude","a5ece133-4cad-4641-8caa-5e593c34e888","Simultaneous equations from word conditions","medium","","three linear equations"
"b773cafc-2e13-45c6-bacc-46b2b95458dc","52","Quantitative Aptitude","f5c68108-e718-4a7e-b546-d07e543534b5","Relative speed and meeting problems","medium","","chase with head start"
"527ba2e3-187c-4ef4-83e1-348bde8b4381","53","Quantitative Aptitude","ce23f17b-f621-46b0-bb72-fc926a0be3d4","Tabular data interpretation","easy","","read and compare table"
"d67daa85-6b53-43d8-b8e6-49e8f76b908a","54","Quantitative Aptitude","74799854-a84e-4607-844e-afb8c50b7bc0","Simple and compound ratio","easy","","combine two ratios"
"e9249a26-3bf6-4903-b4e4-0d1399801f4b","55","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","medium","","expression from tan value"
"b7907f6d-f621-440b-bbd8-a9f6762563bd","56","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","hard","","two relations to an expression"
