paper_code,content_hash,year,paper,official_number,sub_part,section,marks,word_limit,low_confidence,flags,best_db_score,text,approved,edited_text,edited_marks,reviewer_note
UPSC-CSE-MAINS-GS-2013-GS1,442da5bdc375ca7198364f01c9f9f03a3263b4e3b9c845a8784d924acb408edd,2013,GS1,5,,,,200,Y,low_confidence_ocr;marks_unread;numbering_unverified,0.4545,Several foreigners made India their homeland and participated in various movements. Analyze their role in the Indian struggle for freedom.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,b4e1bde83a7505cf4545cbc2b37cfc1284fd51a23be84df7cb170f234948a129,2013,GS1,6,,,,200,Y,marks_unread;numbering_unverified,0.4183,"“In many ways, Lord Dalhousie was the founder of modern India.” Elaborate.",,,,
UPSC-CSE-MAINS-GS-2013-GS1,9eb6e7795b5c3aa58192e0162424ec8ff6df0392c0f39925ccb51aeca86d53f4,2013,GS1,7,,,,200,Y,low_confidence_ocr;marks_unread;numbering_unverified,0.4615,"Write a critical note on the evolution and significance of the slogan, Jai Jawan Jai Kisan’.",,,,
UPSC-CSE-MAINS-GS-2013-GS1,984957b6ded9a64c5ce1d01a990ecbf1242cb9b6b9a6682b74830d10c30c196a,2013,GS1,8,,,,200,Y,marks_unread;numbering_unverified,0.5342,Discuss the contributions of Maulana Abul Kalam Azad to pre- and _ postindependent India.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,6e11775128839a064ba27c20d72e8856a489f6d47cdb104cfb93a47e8266458d,2013,GS1,9,,,,200,Y,marks_unread;numbering_unverified,0.4681,Analyze the circumstances that led to the Tashkent Agreement in 1966. Discuss the highlights of the Agreement.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,f4fc247e2cdcfea242a42ec7e4183761e2722da83036ca401fd142c3f88cfe5d,2013,GS1,10,,,,200,Y,marks_unread;numbering_unverified,0.4688,Critically examine the compulsions which prompted India to play a decisive role in the emergence of Bangladesh.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,a57e429f2880a88ab65eb158af94258eaaf2f81b16fde7fc693f53470444fbd9,2013,GS1,11,,,,200,Y,marks_unread;numbering_unverified,0.4015,“Tatecomer’ Industrial Revolution in Japan involved certain factors that were markedly different from what West had experienced.” Analyze.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,a67949361f15952fda40782bd930a039ac7284faac71d4f0a740edf4bbb9f9ee,2013,GS1,12,,,,200,Y,marks_unread;numbering_unverified,0.4204,“Africa was chopped into States artificially created by accidents of European competition.” Analyze.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,97fc93fd5ec3bcde2faad36aa4f210be265f9ac077f8b6ef148f1080e919d7c5,2013,GS1,14,,,,200,Y,marks_unread;numbering_unverified,0.392,What policy instruments were deployed to contain the Great Economic Depression?,,,,
UPSC-CSE-MAINS-GS-2013-GS1,ee365fe13d5481c6972eb14d6f116bae6be0ebc46199fdd0599b4b65c256bb89,2013,GS1,15,,,,200,Y,marks_unread;numbering_unverified,0.5714,Discuss the various social problems which originated out of the speedy process of urbanization in India.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,27f4cec5d28e8519ff17c38a10a59dfa1884c61b72d1e350f42dcc5aebf9c8fd,2013,GS1,16,,,,200,Y,marks_unread;numbering_unverified,0.3938,“Male membership needs to be encouraged in order to make women’s organization free from gender bias.” Comment.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,fc9ce6c4f6c90517a1994d8f17f7b9505048629ac311108be478e38704aba439,2013,GS1,18,,,,200,Y,marks_unread;numbering_unverified,0.4292,Growing feeling of regionalism is an important factor in generation of demand for a separate State. Discuss.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,6900e4ce5efae0a0f0dddaedb3a0ca2e520be668310da38d834b0fb334c55787,2013,GS1,20,,,,100,Y,marks_unread;numbering_unverified,0.3814,"The recent cyclone on east coast of India was called ‘Phailin’, How are the tropical cyclones named across the world? Elaborate.",,,,
UPSC-CSE-MAINS-GS-2013-GS1,af0461ad0a4452c3b42003e60c82058e4655e8f7dfe42d807fe070a219cdc0f4,2013,GS1,21,,,,100,Y,marks_unread;numbering_unverified,0.4868,Bring out the causes for the formation of heat islands in the urban habitat of the world.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,cc68cd188561d295863fd0ec222f0a7df41885728b55206bcf9848f93da9d4f6,2013,GS1,22,,,,100,Y,marks_unread;numbering_unverified,0.4803,What do you understand by the phenomenon of ‘temperature inversion’ in meteorology? How does it affect weather and the habitants of the place?,,,,
UPSC-CSE-MAINS-GS-2013-GS1,95a996163656de340a8021214958704987a09f4d3de1c0c8befbaf05baad19ab,2013,GS1,23,,,,200,Y,low_confidence_ocr;marks_unread;numbering_unverified,0.4398,Major hot deserts in northern hemisphere are located between 20-30 deg N latitudes and on the western side of the continents. Why?,,,,
UPSC-CSE-MAINS-GS-2013-GS1,32e6589595e76a64c8bee4f06e3e37b7ff5a9b2834e6a8fbb06c50f0dca25ed0,2013,GS1,24,,,,100,Y,marks_unread;numbering_unverified,0.4907,Bring out the causes for more frequent occurrence of landslides in the Himalayas than in the Western Ghats.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,7097ad65d8971ef3bf83eed34303201c7152a18fb588b367230d2f76e1449cba,2013,GS1,25,,,,100,Y,marks_unread;numbering_unverified,0.5,There is no formation of deltas by rivers of the Western Ghats. Why?,,,,
UPSC-CSE-MAINS-GS-2013-GS1,6faaac89d5eab7d7b2f5f9970a05aba5a9a7c410cc1587f432bbd3f656784a25,2013,GS1,26,,,,100,Y,marks_unread;numbering_unverified,0.4206,Do you agree that there is a growing trend of opening new sugar mills in southern States of India? Discuss with justification.,,,,
UPSC-CSE-MAINS-GS-2013-GS1,3d2423c9f8a839e504ee1d8cae69ae10777af50e3f038e3b328090cbab2d5ea0,2013,GS1,28,,,,200,Y,marks_unread;numbering_unverified,0.3492,"With growing scarcity of fossil fuels, the atomic energy is gaining more and more significance in India. Discuss the availability of raw material required for the generation of atomic energy in India and in the world.",,,,
