"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty","stimulus_preview"
"question","f7f428aa-ebf8-4af7-b9bf-12cfbb57be85","2020","1","Q.1) Based on the statements mentioned below find the type of farming system? Statement I – Use of less herbicides Statement II – Use of les","non_ascii_suspect","flagged","","","","",""
"question","a007a91e-b1dd-4a0d-8026-745ba975b4d2","2020","1","Q.1) Who is sitting on the immediate left of Ginni?","","spot_check","","","","",""
"question","d94043e9-7378-4df9-b04a-0040948ee376","2020","2","Q.2) What is the kind of mushroom that ages well and forms gills and wrinkled umbrella?","","spot_check","","","","",""
"question","3c6cee47-96b6-494e-bc86-64060a4d3ea2","2020","2","Q.2) How many persons sit between Kavya and Sana, with left of Sana?","","","","","","",""
"question","e691e15f-1050-456a-8c02-81a653e1448b","2020","3","Q.3) Blue revolution is related to?","","","","","","",""
"question","4122dd8d-f1cf-40a6-b3f7-46e17f84d938","2020","3","Q.3) Kavya belongs to which city among the following?","","","","","","",""
"question","387f4613-3055-4110-892f-02786bd03782","2020","4","Q.4) What is the first milk produced by animals which is highly nutritious?","","","","","","",""
"question","dcd877f5-a586-4ba0-afd4-0e3100bfcb78","2020","4","Q.4) Who is an immediate neighbour of Gudia and Kavya?","","","","","","",""
"question","94a4413a-cbe5-4b31-abc0-cc4f512c5310","2020","5","Q.5) Which of the following tillage implements perform harrowing action with rotating with stell discs","","","","","","",""
"question","761951e1-949c-4cd2-8e39-51c41ad3bbd1","2020","5","Q.5) Who is sitting on the third left of Ginni?","","spot_check","","","","",""
"question","2eb6a5eb-18d2-48b1-8857-7b61183c487d","2020","6","Q.6) What is the kind of forestry system which contains Trees, Crops, Pasteur for livestock?","","spot_check","","","","",""
"question","2bf6c5ef-0b59-4173-a3d3-8b07de3cc805","2020","6","Q.6) Eight boxes are placed one above the other in a stack. Which of the following box is placed immediately above Box H? I. Three boxes are","","","","","","",""
"question","f325ef63-e37c-4586-8049-3b1b1fbcafa6","2020","7","Q.7) What is the kind of forestry system- for the community, to the community and by the community?","","","","","","",""
"question","9bf83b14-28ab-4833-accb-a6fceda336aa","2020","7","Q.7) There are 6 people P, Q, R, S, T and U each lives on a different floor of a 6 storey building having 6 floors numbered 1 to 6 (the grou","non_ascii_suspect","flagged","","","","",""
"question","cded986c-43c8-4be9-906f-b14c9f1c19d0","2020","8","Q.8) As per the classification of type of farmers in India based land holding, what would be the land holding of marginal farmers?","","","","","","",""
"question","e49673e0-8ab8-4517-849c-38395f5c1fa2","2020","8","Q.8) What will come in place of question mark (?) in the following series? 2B25, 3C24, ?, 5E22, 6F21","","","","","","",""
"question","40e3ea33-421f-4749-bbe6-1c0943bae764","2020","9","Q.9) Which is the best milk yielding indigenous breed of cattle?","","","","","","",""
"question","93bd83ff-b9e4-44d7-a309-1665863832f4","2020","9","Q.9) How is W related to X?","","","","","","",""
"question","336bf21b-6201-49e2-b33b-1e76fd0e0601","2020","10","Q.10) Which of the following breeds of sheep is famous for its finest carpet wool?","","","","","","",""
"question","e4da73f5-efc2-403d-b6c8-694168e5411b","2020","10","Q.10) How is V related to P?","","","","","","",""
"question","12a43f9a-cbdc-470f-9ad1-81bf1215fcd3","2020","11","Q.11) Which type of soil classification is acceptable for soils in India?","","spot_check","","","","",""
"question","c8682245-7013-4f4f-9b75-540a1e186463","2020","11","Q.11) What is the position of S, according to U in the arrangement?","","spot_check","","","","",""
"question","cb98b623-c208-4efc-8235-54075f5239fa","2020","12","Q.12) Which type of soils occupy the maximum area in India?","","","","","","",""
"question","30c13cfa-7423-4059-abb4-73064c4c60da","2020","12","Q.12) Q is an immediate neighbour of whom among the following?","","","","","","",""
"question","efb8b3a9-f6f0-4c18-9480-bd06519a2bdd","2020","13","Q.13) What is the soil order that is low in plant nutrients but high in Boron?","","","","","","",""
"question","93d72f0d-5615-4a41-ad07-eda062825f18","2020","13","Q.13) How many persons are sitting between the one who likes Orange and the one who likes Green?","","","","","","",""
"question","953d413b-2af4-44f8-9a9c-e916e76838ae","2020","14","Q.14) What is the amount of soil moisture present in each volume of soil at a given time?","","","","","","",""
"question","d03313d9-01ba-4551-9c57-845815d18c69","2020","14","Q.14) Which pair is an immediate neighbour of each other?","","","","","","",""
"question","11565e98-3865-4c57-9807-f73580b564d5","2020","15","Q.15) In India, net irrigated area has increased over time. Gross irrigation area is more than net irrigation area. Paragraph talks about tw","","","","","","",""
"question","6c6220a5-333e-4688-ac60-2b13abe7906b","2020","15","Q.15) What is the code for ‘investigating’?","non_ascii_suspect","flagged","","","","",""
"question","05cdbb35-80b7-428f-b7ba-b00608b73aec","2020","16","Q.16) The proportion area irrigated is high in which state?","","spot_check","","","","",""
"question","7b897175-3d75-49fd-987d-0e7f28cfce8e","2020","16","Q.16)‘while in related’ can be coded as","non_ascii_suspect","flagged","","","","",""
"question","efce24c4-16ac-4fc0-b215-fd42841a29ba","2020","17","Q.17) What is post-harvest loss of vegetables and fruits in India?","","","","","","",""
"question","7e80e8bb-cdef-479f-8366-1bfb2d59f0f7","2020","17","Q.17) What does ‘cdw’ stand for?","non_ascii_suspect","flagged","","","","",""
"question","f3a9df8d-7f09-4a41-b6fc-abca242e2e43","2020","18","Q.18) Which of the following pairs of fruits are semi-perishable?","","","","","","",""
"question","155bca49-8cb0-4646-af07-277fdc150ad6","2020","18","Q.18) Statements: A ≥ B; C > G; A ≥ H; B ≥ C; I = B Conclusions: I. H > C II. A > C III. I = A IV. A > G","non_ascii_suspect","flagged","","","","",""
"question","fc6e9cfb-da2e-4904-8919-e013a2663e5a","2020","19","Q.19) Which type or section of Maturity index of Jackfruit which differentiates from mango?","","","","","","",""
"question","d1252001-46c9-48df-9a2c-278d163e5323","2020","19","Q.19) Statement: F ≤ C ≤ V = Z < X = U Conclusion: I. F ≤ Z II. V = X III. U > C IV. X ≤ F","non_ascii_suspect","flagged","","","","",""
"question","b8d5edbc-2b9e-4cef-928d-357d8ef1a27f","2020","20","Q.20) What is the cropping pattern of Sugarcane with a short span crop orop that can be harvested even before Sugarcane reaches maturity?","","spot_check","","","","",""
"question","80a2c6e1-6573-4b9f-bec3-ddf0b0dfc793","2020","20","Q.20) How many such pairs of letters are there in the word ‘FRUITFUL’ each of which has as many letters between them in the word as in the E","non_ascii_suspect","flagged","","","","",""
"question","582a5581-b68c-4b48-8665-a17dfe23ba20","2020","21","Q.21) Which of the following cropping system is highest in India?","","","","","","",""
"question","32492a2b-b442-468e-8623-21746c10e573","2020","21","Q.21) Current IMF conditionalities pertain to:","","spot_check","","","","",""
"question","83d8e21d-7a7b-4869-8153-93c165babf38","2020","22","Q.22)Which cereal cropping system after rice and wheat combinations has highest area under cultivation?","","","","","","",""
"question","8bd12346-61d4-4413-a0cf-7057c3bfd766","2020","22","Q.22) Initially, the role of the World Bank was to:","","","","","","",""
"question","1f836f35-8c75-4955-8f8f-4f667bb77332","2020","23","Q.23)Broilers are marketed between ___________weeks of age?","suspicious_repeat_char","flagged","","","","",""
