question_number,topic,assign_topic_id,difficulty,stem
1,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements best reflect the most logical and rational inf
2,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"Based on the above passage, the following assumptions have been made : 1.The foo"
3,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements best reflects/reflect the most logical and rat
4,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"Based on the above passage, the following assumptions have been made : 1. Fiscal"
5,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,What is the least possible number of cuts required to cut a cube into 64 identic
6,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"In the expression 5 * 4* 3* 2* 1, * is chosen from +, -, × each at most two time"
7,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"A certain number of men can complete a piece of work in 6k days, where k is a na"
8,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"X, Y and Z can complete a piece of work individually in 6 hours, 8 hours and 8 h"
9,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,How many consecutive zeros are there at the end of the integer obtained in the p
10,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"On January 1st, 2023, a person saved Rs 1. On January 2nd, 2023, he saved Rs. 2 "
11,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one of the following statements best reflects the most logical and rationa
12,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"Based on the above passage, the following assumptions have been made : India nee"
13,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one of the following statements best reflects the central idea of the abov
14,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"Based on the above passage, the following assumptions have been made : 1. Intern"
15,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,222333 + 333222 is divisible by which of the following numbers ?
16,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,What percent of water must be mixed with honey so as to gain 20% by selling the 
17,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,What is the rightmost digit preceding the zeros in the value of 3030?
18,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"421 and 427, when divided by the same number, leave the same remainder 1. How ma"
19,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,A can X contains 399 litres of petrol and a can Y contains 532 litres of diesel.
20,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"Consider the following statements in respect of the sum S = x + y + z, where x, "
21,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"Based on the above passage, the following assumptions have been made : For effec"
22,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one of the following statements best reflects the central idea conveyed by
23,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one of the following statements best reflects the thinking of the author a
24,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,medium,Consider the sequence A_BCD_BBCDABC_DABC_D that follows a certain pattern. Which
25,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"Two persons P and Q enter into a business. P puts ₹ 14,000 more than Q, but P ha"
26,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,P’s salary is 20% lower than Q’s salary which is 20% lower than R’s salary. By h
27,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,A number is mistakenly divided by 4 instead of multiplying by 4. What is the per
28,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"In an examination, 80% of students passed in English, 70% of students passed in "
29,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"A father said to his son, “n years back I was as old as you are now. My present "
30,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,Consider the following : 1. 1000 litres = 1m3 2. 1 metric ton = 1000 kg 3. 1 hec
31,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following is/are emphatically conveyed by the author of the passage
32,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"Based on the above passage, the following assumptions have been made: 1. The hor"
