row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview
question,ae3a1f5d-10a4-4659-9eda-35f61fd69e68,2013,300,"""Sociology emerged in Europe and ﬂourished to begin with on social reformist orientation in the U.S.A."" - Comment.",non_ascii_suspect;no_primary_tag,flagged,,,74663d91-023f-453d-9d18-7df1150a9291,,
question,7553d510-ac6b-42a0-bc90-65b725bd7b12,2013,301,Compare and contrast Sociology with Anthropology.,no_primary_tag,flagged,,,50193be4-dfd0-488b-b1a0-de6b767809fd,,
question,1ea9b8e2-a3da-499f-8269-06e7af72ef57,2013,302,Critically science and technology as agents of social studies.,no_primary_tag,flagged,,,3e35ec95-4390-4682-9425-4eeeb8c36506,,
question,ff90d114-702d-4c61-aeb5-67d1da00322a,2013,303,Examine science and technology as agents of social change.,no_primary_tag,flagged,,,3e35ec95-4390-4682-9425-4eeeb8c36506,,
question,746d82f2-4a4f-453f-bd71-4c7f7c32eb81,2013,304,Analyse the contemporary trends in family with examples.,no_primary_tag,flagged,,,631f70ca-1b39-4b9b-8671-b900a4409e4f,,
question,7eebde22-fa3a-4606-93e1-b0a668eed49f,2013,305,Analyse the limitation of quantitative methods in social research.,no_primary_tag,flagged,,,fac95b84-dc87-4d4e-a935-2b55043f687a,,
question,ba4b47ec-28af-47b4-a8d2-23eddade73e6,2013,306,Critically examine the functionalist tradition in Sociology.,no_primary_tag,flagged,,,de09d10e-0cdb-4fae-ac26-902789ae1355,,
question,48d585f5-99eb-42db-aba8-645317e4f094,2013,307,Analyse the salient features of historical materialism.,no_primary_tag,flagged,,,943c80ff-7983-4929-b2e7-900030118158,,
question,8267ed7f-292f-4061-ba55-f37407170d72,2013,308,Compare Karl Marx with Emile Durkheim with reference to the framework of 'division of labour',no_primary_tag,flagged,,,55e45651-6d55-4610-8314-de8401558cfc,,
question,6df0a95a-145c-4236-9c9f-1e40a07b281c,2013,309,Critically analyse the contribution of G.H. Mead to 'symbolic interactionism',no_primary_tag,flagged,,,a86cee6c-c15e-423d-b1f3-91e92d93ba3e,,
question,de1ea7ba-9883-4931-a2b7-fe557edc8bed,2013,310,Examine the salient features of Weberian bureaucracy.,no_primary_tag,flagged,,,ebb639c4-d49e-40ba-9d3b-e1bb18b02847,,
question,be51fa6d-3ec5-42c5-94b1-9c20e22c4bc1,2013,311,How are open and closed system of stratiﬁcation undergoing transformation in the emergence of new hierarchical social order in societies?,non_ascii_suspect;no_primary_tag,flagged,,,57416751-ea7d-43ce-b6e0-67b65aba9af0,,
question,f9fc67f1-d523-4b61-9414-8b9e1ba65c2c,2013,312,Is patriarchy a universal phenomenon? Critically examine how does patriarchy affect sexual division of labour in societies.,no_primary_tag,flagged,,,ea545c6e-74cc-4a56-8cd0-b0ee13be2556,,
question,d6123616-248a-4fd9-8aa1-565e8e668cb6,2013,313,Examine the role of pressure groups in parliamentary democracy.,no_primary_tag,flagged,,,c7f9e200-e0d1-44d7-9fff-2319dfd900c5,,
question,50779fcc-f4a0-4194-92bc-394af0881e2c,2013,314,Distinguish between people being socially excluded and people excluding themselves socially in societies.,no_primary_tag,flagged,,,b67cbaba-8224-4644-8846-a97c9fad88b8,,
question,04a9c14f-770c-4939-93db-633c3443b550,2013,315,Deﬁne social movement. Elucidate the role of reformist movements in social change.,non_ascii_suspect;no_primary_tag,flagged,,,f646d72e-3fcb-4241-a403-40b6dba95533,,
question,3404e9ae-4ac2-4cf6-9d34-10144b88a925,2013,316,"""Science has empirical means to logical ends a religion has non-empirical means to logical ends"".- Comment.",no_primary_tag,flagged,,,f1726758-a2cb-4cb6-a81e-2c24026032e4,,
question,6d64b4bc-8fe9-4ae2-afe9-20f521e99c54,2013,317,Examine the social dimensions of displacement induced by development.,no_primary_tag,flagged,,,ba1242c0-6193-438b-a78e-82abcd7cdec9,,
question,7660210b-3d3b-4242-ad5d-6078c281ba86,2013,318,Analyse the gender bias in the present society with examples.,no_primary_tag,flagged,,,4f070977-f20a-4aa4-99ef-3087bc897a75,,
question,175497bb-e7ce-4796-84c2-114bd6c59458,2013,319,How do Karl Marx and Max Weber differ in terms of their analysis of social stratiﬁcation?,non_ascii_suspect;no_primary_tag,flagged,,,e381c02c-be55-4206-b6ba-2c0efab1e755,,
question,47296d50-5b31-4d90-8b25-915d12006270,2013,320,Examine the social impact of globalisation on labour and society.,no_primary_tag,flagged,,,c13f67f1-887c-42e3-ade4-c6caee2d6fbb,,
question,1b2de25e-bdec-4680-a25c-7ee6f77213d3,2013,321,Examine the relevance of Parsonian Social System in the present society.,no_primary_tag,flagged,,,2c778145-d79d-4df5-8bc8-e9f0199c4c8c,,
question,4b010cda-28f0-44d4-9bf0-fd3dc692a380,2013,322,Evaluate how do civil society and democracy mutually reinforce each other.,no_primary_tag,flagged,,,13b94119-8de4-4924-b30b-7d246b86ca9e,,
question,74c2ffe8-6b67-41b5-9fc1-a5c91eb50250,2013,323,Examine the emerging trends in marriage and family as a response to the change in economic and social order.,no_primary_tag,flagged,,,5673c209-4a13-48ab-a239-618ee9141e96,,
question,66f954e6-cde7-4748-8911-c87cf20d6aed,2013,324,Critically examine the role of civil society in democracy.,no_primary_tag,flagged,,,13b94119-8de4-4924-b30b-7d246b86ca9e,,
question,d12066fb-8eda-44ac-95da-fd76e54ac142,2013,325,Illustrate the conﬂict and tensions experienced by societies undergoing social change.,non_ascii_suspect;no_primary_tag,flagged,,,1e2ab683-72e1-4706-915f-2339048bfd49,,
question,e0d77ce0-e4aa-4aef-ad47-79c30a753ce8,2013,326,Critically examine the cultural theories of social change with suitable examples.,no_primary_tag,flagged,,,1e2ab683-72e1-4706-915f-2339048bfd49,,
question,fd696a53-a6c6-4cba-9d88-3b2c91f472b3,2013,327,It religion antithetical to science? Comment.,no_primary_tag,flagged,,,2c266249-806c-467d-8251-8cd5056add61,,
question,3b84fb27-bf08-4348-baae-7ac745a333a1,2014,300,How is objectivity different from value neutrality? Discuss with reference to Weber's views on methodology.,no_primary_tag,flagged,,,c4d47a4c-e865-4bde-aba5-909ffceaf601,,
question,55beac9f-c699-4a3b-9b3c-f235e942a5d0,2014,301,How did the emergence of industrial society change the family life in Western Europe?,no_primary_tag,flagged,,,e30a7156-3848-4f89-aa3a-bc69d881c190,,
question,def971a7-d12f-4922-b74e-b86b92da8eb6,2014,302,How is sociological approach to human action different from that of psychological approach?,no_primary_tag,flagged,,,50193be4-dfd0-488b-b1a0-de6b767809fd,,
question,7f52b365-a852-45e5-8b57-351184052461,2014,303,In what way biographies could be used to study social life?,no_primary_tag,flagged,,,e3ecfeb5-af9e-4288-a4e7-81d43802d0e5,,
