question_number,correct_option_label
1,d
2,d
3,b
4,b
5,b
6,c
7,a
8,a
9,a
10,b
11,d
12,d
13,c
14,d
15,d
16,b
17,b
18,a
19,a
20,c
21,d
22,a
23,d
24,b
25,d
26,a
27,c
28,d
29,c
30,a
31,d
32,b
33,c
34,a
35,c
36,d
37,c
38,a
39,d
40,a
41,a
42,a
43,a
44,b
45,d
46,d
47,a
48,d
49,c
50,a
51,b
52,b
53,a
54,c
55,d
56,a
57,b
58,b
59,a
60,b
61,d
62,a
63,a
64,d
65,d
66,d
67,a
68,c
69,b
70,d
71,b
72,a
73,d
74,b
75,b
76,c
77,d
78,a
79,a
80,a
81,c
82,b
83,c
84,c
85,b
86,b
87,c
88,b
89,c
90,c
91,a
92,d
93,a
94,b
95,d
96,c
97,a
98,c
99,c
100,d
