question_id,pyq_paper_id,year,paper,question_number,order_verdict,stored_key_label,stored_key_text,upsc_key_label,upsc_key_text,current_correct_option_id,new_correct_option_id,applies,verdict,note
54e8305d-a038-4099-bb86-d1fb5e925b3e,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,1,ORDER_OK,c,"1,3 and 4 only",c,"1,3 and 4 only",50c44e06-3d5f-4c04-945a-e78acabd1493,,no,MATCH,
1b396279-3e99-4ea2-becb-efbe2179f5d9,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,2,ORDER_OK,d,"2, 3 and 4 only",d,"2, 3 and 4 only",bdf29861-71c0-4594-821b-b6699c1e0c42,,no,MATCH,
d4647efe-2a93-42c5-9859-74a87c83ee81,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,3,ORDER_OK,b,2 only,b,2 only,9e7b7e16-baf4-44c9-bffe-2e4a929db2f3,,no,MATCH,
d2892ad6-97a9-43e2-abe9-13b75adb8c11,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,4,ORDER_OK,b,2 and 3 only,b,2 and 3 only,77c0833c-98b2-44c7-bee9-f0496c7eeca2,,no,MATCH,
c3924051-cf9a-46dc-8963-0b5dfa227a7d,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,5,ORDER_OK,c,1 and 3 only,c,1 and 3 only,3487a15c-49c5-4c54-9162-f5aa5579347f,,no,MATCH,
7aba3f5e-a58d-43d4-a9c8-04ab69524196,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,6,ORDER_OK,d,North of Nubra Valley,d,North of Nubra Valley,d88f6124-27c4-4bd4-9a59-6039ca9666a3,,no,MATCH,
fcd92c55-173f-4320-bc08-5f4320d44bcc,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,7,ORDER_OK,a,1 and 3 only,a,1 and 3 only,1fb836d3-cb55-403c-a955-16693cd07a54,,no,MATCH,
8da41853-f145-4f61-9596-0357d4b7005e,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,8,ORDER_OK,a,1 only,b,2 and 3 only,b1764660-e743-42f4-94b6-1394c706e0c3,37bc065c-85a1-49c0-9481-08ed2a7ecdca,yes,CORRECTION,"set to corpus option (b) ""2 and 3 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
f66c200b-bf27-4d68-98d4-89e41ed23fa4,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,9,ORDER_OK,c,2 only,c,2 only,5b489322-f659-4c61-bfb7-0234dbc6282b,,no,MATCH,
c2bc25a6-ec83-4ded-bc78-bbbe7a4866c0,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,10,ORDER_OK,c,Nagarjunsagar-Srisailam,c,Nagarjunsagar-Srisailam,f6b4d809-3255-4e5e-9633-72005db2dfee,,no,MATCH,
a0f2bd55-c8f7-4153-98f6-fa91752557dc,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,11,ORDER_OK,a,A licence is required to cultivate that plant.,a,A licence is required to cultivate that plant.,20e755a1-ff6d-4b62-8303-07f9aa9d038f,,no,MATCH,
a4499e0b-57d5-423a-b68b-f1fcdd751edb,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,12,ORDER_OK,a,ports handling foreign trade,a,ports handling foreign trade,d9bad4c9-af94-4e22-b1a9-c8167b4df5ba,,no,MATCH,
b1cb882e-e0d6-43e2-899d-544e3f2126f3,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,13,ORDER_OK,d,"1, 2 and 3",d,"1, 2 and 3",07adb156-0927-4fb6-bbe2-56b44756ff5b,,no,MATCH,
9c7e455b-742a-4f5b-a656-552c39af2e04,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,14,ORDER_OK,a,"1, 2, 5 and 6 only",a,"1, 2, 5 and 6 only",76fcebc1-e643-4687-a069-8fdd444678f6,,no,MATCH,
7c5d0cea-a366-48a6-b0aa-d3889da9edb8,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,15,ORDER_OK,a,long-term damage done by a tonne of CO2 emissions in a given year.,a,long-term damage done by a tonne of CO2 emissions in a given year.,75622399-9482-4f57-9583-9e517e2d8a04,,no,MATCH,
