"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"dfc4d57e-6ba7-4ead-b739-395b46c83bcc","1","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks in letter series"
"a55dbb98-68d5-4dc8-876b-736abdb947df","2","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","4-letter cluster series"
"492356a6-b21f-4ea6-a47e-49d12bd7aa56","3","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","symbol chain"
"05ad6ef4-4d27-4aee-a1f0-65038dc55d47","4","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","triad relation"
"f0f7adbc-d3e2-4897-a1ca-6c2d948d3749","6","General Intelligence and Reasoning","e8565eaf-c332-47da-97ab-b50aff00ac13","Two-statement syllogism","medium","","statements and conclusions"
"ad106c86-addd-41f6-bab8-9ea3172ab780","7","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","triad relation"
"22382d71-5a1f-4b7f-92db-3e82781d253c","9","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","easy","","alphabetical reorder"
"73620a9f-8991-41a6-8d66-90b08660395d","10","General Intelligence and Reasoning","e8565eaf-c332-47da-97ab-b50aff00ac13","Two-statement syllogism","medium","","statements and conclusions"
"c62c58ae-6e6a-4c93-9be4-95f66605086f","11","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","medium","","9,17,33,65,129; needs Number series leaf; filled from migration 306"
"265a4911-60ca-4fe3-be6a-8b42281904bd","14","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","medium","","block reversal coding"
"197a7581-4127-4273-899d-2c8b28c35756","15","General Intelligence and Reasoning","a4dddc0f-e194-4eb6-bfc6-078240c8d4f0","Number and digit coding","hard","","letter position arithmetic"
"94b8dcb8-e04d-4f59-aae2-3ed953712418","16","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","number pairs"
"dae0bd9a-5b5b-4e34-9fb7-817ec1140f61","17","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; moved per migration 306"
"90f54b82-29f0-4b8b-a59b-824ec21480c6","18","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","letter clusters"
"73f6e39d-a597-4184-b848-8904cbaaff71","19","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","easy","","synonym pair"
"6bddbf96-3049-4b18-96c8-98cb881e78e2","20","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","term analogy"
"95e18fdb-3735-49b5-8b26-fb5dfc1221c1","24","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","medium","","cyclic operator replacement"
"a51b9a95-4e31-4916-803a-fda6bf18dcf2","25","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number relation"
"5df0362e-c541-498c-81a1-76873b55b45f","51","Quantitative Aptitude","ce23f17b-f621-46b0-bb72-fc926a0be3d4","Tabular data interpretation","easy","","students by subject"
"c21611f4-4a54-447a-b086-1625ae99ca33","52","Quantitative Aptitude","b46a977a-8c32-71a1-b429-c48e7019f637","Circle theorems - chords, tangents and cyclic quadrilaterals","medium","","chord tangent to inner circle, annulus"
"dd5865e9-c89f-486e-9bb6-1014ea6b3777","54","Quantitative Aptitude","e1fecd85-fe0d-4594-a851-40691666a7b4","Algebraic identities and factorisation","medium","","expression with a+b=1"
"f1ddd995-2cc9-4e73-9c93-8c1cfe0d7f2d","55","Quantitative Aptitude","c5d44e15-072a-4557-ad7d-f61221fe61c7","Volume and surface area of solids","easy","","cylinder volume"
"2a4d4af2-8319-4f5b-8dcc-163fbb6d89d0","56","Quantitative Aptitude","9ea559c5-2c7b-49b4-8ab0-98938fd471df","Simple and compound interest","medium","","early settlement discount"
"ba214bd3-b413-4416-a438-1e2c703ab115","57","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","medium","","from tan/sec ratio"
"23558750-a60d-4817-8a2b-46868fac3f5b","58","Quantitative Aptitude","b46a977a-8c32-71a1-b429-c48e7019f637","Circle theorems - chords, tangents and cyclic quadrilaterals","easy","","radius from chord and perpendicular"
"ead2590c-df4c-496b-87f6-f57b981ffe6c","59","Quantitative Aptitude","b46a977a-8c32-71a1-b429-c48e7019f637","Circle theorems - chords, tangents and cyclic quadrilaterals","easy","","tangent length"
"7d450107-a468-4c70-b103-95d56b1844cc","60","Quantitative Aptitude","e1fecd85-fe0d-4594-a851-40691666a7b4","Algebraic identities and factorisation","medium","","factorise then cancel"
"93149f02-2c9f-4c42-a7c9-cd5f4fcc72ae","61","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","medium","","expression from tan value"
