slug	exams	name
cos-adjournment-when-quorum-is-absent-efcc1098	pfrda,sebi	Adjournment when quorum is absent
cos-age-limits-for-directors-afb4a3c2	pfrda,sebi	Age limits for directors
cos-alternate-director-b721cc85	pfrda,sebi	Alternate director
cos-appeal-to-the-supreme-court-989ea1bf	pfrda,sebi	Appeal to the Supreme Court
cos-appeal-window-to-the-nclat-3546149a	pfrda,sebi	Appeal window to the NCLAT
cos-appointment-consultation-process-ba864eaa	pfrda,sebi	Appointment consultation process
cos-appointment-of-a-registered-valuer-ecf180fe	pfrda,sebi	Appointment of a registered valuer
cos-appointment-din-and-intimation-to-the-registrar-020c8577	pfrda,sebi	Appointment, DIN and intimation to the Registrar
cos-appointment-rotation-and-tenure-of-auditors-d3cef3ad	pfrda,sebi	Appointment, rotation and tenure of auditors
cos-audit-committee-composition-and-role-a4e5f01c	pfrda,sebi	Audit Committee — composition and role
cos-beneficial-owner-when-a-third-person-qualifies-90e3acff	pfrda,sebi	Beneficial owner — when a third person qualifies
cos-board-composition-minimum-and-maximum-directors-81ee33dd	pfrda,sebi	Board composition — minimum and maximum directors
cos-board-meetings-frequency-and-first-meeting-timing-612ad98e	pfrda,sebi	Board meetings — frequency and first meeting timing
cos-bonus-shares-conditions-81a5d883	pfrda,sebi	Bonus shares — conditions
cos-buy-back-of-securities-s-68-conditions-and-limits-78870170	pfrda,sebi	Buy-back of securities — s.68 conditions and limits
cos-cag-appointment-of-auditors-and-the-appointment-window-a18b0420	pfrda,sebi	CAG appointment of auditors and the appointment window
cos-casual-vacancy-in-the-office-of-auditor-a68d141c	pfrda,sebi	Casual vacancy in the office of auditor
cos-central-registration-centre-and-certificate-of-incorporation-952d214d	pfrda,sebi	Central Registration Centre and certificate of incorporation
cos-constitution-and-powers-of-the-nclat-7d3f5096	pfrda,sebi	Constitution and powers of the NCLAT
cos-cost-audit-e84ebed0	pfrda,sebi	Cost audit
cos-delivery-timeline-for-transfer-of-securities-9e7bf1bf	pfrda,sebi	Delivery timeline for transfer of securities
cos-deposit-in-a-scheduled-bank-within-five-days-a03d922d	pfrda,sebi	Deposit in a scheduled bank within five days
cos-disqualifications-for-appointment-as-director-f45b8a22	pfrda,sebi	Disqualifications for appointment as director
cos-divisible-profits-and-managerial-remuneration-3e7deff3	pfrda,sebi	Divisible profits and managerial remuneration
cos-duties-of-directors-066c0810	pfrda,sebi	Duties of directors
cos-esop-and-sweat-equity-s-54-lock-in-ce77fa51	pfrda,sebi	ESOP and sweat equity — s.54 lock-in
cos-eligibility-of-a-firm-as-auditor-98009b64	pfrda,sebi	Eligibility of a firm as auditor
cos-format-of-financial-statements-governed-by-schedule-iii-5a5a1914	pfrda,sebi	Format of financial statements governed by Schedule III
cos-further-issue-of-capital-and-rights-issue-6997c3f1	pfrda,sebi	Further issue of capital and rights issue
cos-iepf-permitted-and-prohibited-uses-238257fd	pfrda,sebi	IEPF — permitted and prohibited uses
cos-independent-director-eligibility-and-exclusions-44e8bff4	pfrda,sebi	Independent director eligibility and exclusions
cos-independent-directors-criteria-and-tenure-4a63ab88	pfrda,sebi	Independent directors — criteria and tenure
cos-interim-dividend-permitted-sources-29ad1710	pfrda,sebi	Interim dividend — permitted sources
cos-issue-of-shares-at-a-discount-exceptions-6e4d64ca	pfrda,sebi	Issue of shares at a discount — exceptions
cos-kinds-of-share-capital-f0d25eb8	pfrda,sebi	Kinds of share capital
cos-loans-to-directors-f33d3460	pfrda,sebi	Loans to directors
cos-maximum-gap-between-consecutive-board-meetings-a0608bc2	pfrda,sebi	Maximum gap between consecutive Board meetings
cos-maximum-number-of-directorships-c4a0d44e	pfrda,sebi	Maximum number of directorships
cos-misstatement-in-prospectus-civil-and-criminal-liability-a76a4447	pfrda,sebi	Misstatement in prospectus — civil and criminal liability
cos-nclat-chairperson-age-limit-ef26c89a	pfrda,sebi	NCLAT chairperson — age limit
cos-nomination-and-remuneration-committee-a611f525	pfrda,sebi	Nomination and Remuneration Committee
cos-notice-period-for-a-board-meeting-dccb5a18	pfrda,sebi	Notice period for a Board meeting
cos-participation-by-video-conferencing-111c3385	pfrda,sebi	Participation by video conferencing
cos-payment-of-dividend-within-thirty-days-22df5de4	pfrda,sebi	Payment of dividend within thirty days
cos-powers-exercisable-only-at-a-board-meeting-190320e6	pfrda,sebi	Powers exercisable only at a Board meeting
cos-powers-duties-and-the-auditor-s-report-ed39c15d	pfrda,sebi	Powers, duties and the auditor's report
cos-preference-shares-issue-redemption-and-maximum-tenure-a36ad927	pfrda,sebi	Preference shares — issue, redemption and maximum tenure
cos-private-placement-procedure-and-limits-6dfbad90	pfrda,sebi	Private placement — procedure and limits
cos-prospectus-matters-to-be-stated-32a01360	pfrda,sebi	Prospectus — matters to be stated
cos-public-offer-private-placement-and-rights-or-bonus-issue-56111832	pfrda,sebi	Public offer, private placement and rights or bonus issue
