row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview,paper_id,section,current_primary_topic_id,apply_result,apply_detail
question,a67db400-d253-4ea3-bf62-fef97081c7b8,2023,1,"Write an essay on any one of the following topics in about 600 Words. (40 Marks) • In every organization, especially in modern day and age, ",non_ascii_suspect;no_primary_tag,flagged,,,,,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,English Descriptive,,skipped,no decision
question,e4713d66-b536-41ce-8b63-067646455632,2023,2,"Write a precis from the given paragraph in about 180 words. (30 Marks) In the contemporary era, the intersection of gender equality and arti",no_primary_tag,flagged,,,,,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,English Descriptive,,skipped,no decision
question,684db451-78cf-4bca-b172-ae10d8ca7fb2,2023,3,"Read the following comprehension and answer the questions that follow (10x3 = 30 Marks) In the contemporary economic landscape, the phenomen",non_ascii_suspect;no_primary_tag,flagged,,,,,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,English Descriptive,,skipped,no decision
question,77cfa6b3-0b89-4d4f-ae4d-9dc3d18da2f8,2023,4,"In the light of RBI’s report on currency and finance FY 2022-23, explain • Macroeconomic effect of climate change • 3 landmark global collab",non_ascii_suspect,flagged,verified,primary tag replaced by operator SQL after this run,,hard,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Economic & Social Issues - Descriptive,8d5f6ccc-0a62-47df-8c75-c1d5240fc43f,difficulty;verified,
question,43aa7fbf-2ec9-4b37-8fb1-87fb58e4ab5c,2023,5,"World bank has released its World Development Report 2023: Migrants, Refugees and Societies. Discuss key recommendations for the countries g",,spot_check,verified,,,medium,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Economic & Social Issues - Descriptive,a73b4af1-fb46-41dd-9d25-1cbb815f91cb,difficulty;verified,
question,b11be8e9-b272-4890-a10a-4a3f614036a9,2023,6,"UNDP’s new strategy for Gender Equality was mentioned in UNDP’s report. Taking reference of this report, how can we introduce gender sensiti",non_ascii_suspect,flagged,verified,,,medium,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Economic & Social Issues - Descriptive,f5835ef2-38c9-4e7d-85ac-83cd7b134d7b,difficulty;verified,
question,0dcb2a54-4d34-49e1-80f8-3f1d44c35138,2023,7,Explain any 3 schemes of the government of India working towards employment generation and poverty alleviation.,,,verified,,,easy,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Economic & Social Issues - Descriptive,9fa06a82-fffa-48e5-8d9c-f712dfed4e93,difficulty;verified,
question,87b33ed7-7ee1-4acc-8ef2-6ee7b8b434e0,2023,8,What are the Direct and indirect monetary policy measures and briefly explain at least 8 of them.,,,verified,,,medium,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Economic & Social Issues - Descriptive,d5110ca8-291e-4287-a8ff-2cd5093ce271,difficulty;verified,
question,283fc6bb-1980-4686-8d04-33315cf4719e,2023,9,What are the various challenges faced by start-ups in tier 2 and tier 3 cities?,,,verified,,,medium,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Economic & Social Issues - Descriptive,13d98721-2736-444f-82db-ecb3bb0fdddc,difficulty;verified,
question,1f8e965e-2da7-4392-8551-ed6b4bed8058,2023,10,"Explain in detail, RBI’s Retail Direct Scheme including the scope, applicability, charges, fees, etc.",non_ascii_suspect,flagged,verified,,,medium,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Finance & Management - Descriptive,89bb1536-fd50-4ef9-aa73-a28cf8923927,difficulty;verified,
question,6a3eb00b-2bed-4abb-b99d-4a20ad04dd88,2023,11,"Explain the Big 5 Personality Model of Personality. Also, explain how other traits of personality affect organisational behaviour.",,spot_check,verified,,,medium,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Finance & Management - Descriptive,afd4a13d-c570-493d-8b6a-3923c701219f,difficulty;verified,
question,ee31ddfb-d1e8-4907-bfc6-f54588db18f1,2023,12,"What was Henri Fayol’s contribution to management? Also, explained his 14 principles of management.",non_ascii_suspect,flagged,verified,,,easy,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Finance & Management - Descriptive,050b2b61-b9eb-428a-8abd-bba50bc74ed8,difficulty;verified,
question,90efa6c7-242e-48bd-9415-d436f1c7d887,2023,13,What is a code of conduct? How is it implemented in the organisation?,,,verified,,,easy,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Finance & Management - Descriptive,cd4fb6ad-ad93-464a-a936-40a8e9427b07,difficulty;verified,
question,06196d41-33bf-499a-9d2f-bb781f89af58,2023,14,"Describe ONDC. How it will impact companies like Flipkart, Amazon, Walmart etc.",,,verified,,,medium,,b046e6fa-bb3a-46dc-846a-2e791d5f342f,Finance & Management - Descriptive,00d3f0d6-79a3-4c9b-a019-d0ac728fbb19,difficulty;verified,
