row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview
question,0c7d684a-b1e1-48be-83d7-8cfb6156346f,2013,450,Sufi tradition of Islam.,no_primary_tag,flagged,verified,,,,
question,17b46572-83c6-45da-aafb-f9f891d521a7,2013,451,Threat to tribal languages in India.,no_primary_tag,flagged,verified,,,,
question,b9f88da1-4cd5-472e-95dc-33d861ed4592,2013,452,Examine the debates related to Ramapithecus.,no_primary_tag,flagged,verified,,,,
question,a100351d-7f0a-463b-936b-fdd39a0962c2,2013,453,Discuss how Louis Dumont explained caste system.,no_primary_tag,flagged,verified,,,,
question,8e4cff02-a7b4-4e09-b573-7848e90bd946,2013,454,Discuss salient features of mesolithic culture in India with special reference to western India.,no_primary_tag,flagged,verified,,,,
question,713fd7f8-08f4-4d03-afaa-49b8fc1d3b29,2013,455,Examine Nature-man spirit complex as an ecological concept.,no_primary_tag,flagged,verified,,,,
question,57e06132-0663-48ef-8075-b7d0c847066b,2013,456,Indian Paleolithic culture can neither be conceived chronologically homogeneous nor as a unfiorm cultural phase. Discuss.,no_primary_tag,flagged,verified,,,,
question,7c338d88-0418-4ada-9731-07ca97988b18,2013,457,Discuss the significance of study of religious centres to the understanding of Indian civilization.,no_primary_tag,flagged,verified,,,,
question,ba38fce8-4f72-4718-b27d-0ccb0d53c673,2013,458,Examine the anthropological contributions dealing with tribes and Indian civilization.,no_primary_tag,flagged,verified,,,,
question,97fe2148-4521-4bbd-93fc-38a4dc842602,2013,459,What is Jajmani system? Examine the views on Jajmani system as an egalitarian as well as exploitative system.Give reasons for its decline.,no_primary_tag,flagged,verified,,,,
question,a4de2251-af4b-4c8b-b091-63acff638103,2013,460,Indian farmers are not slow to react to economic opportunities.-Discuss this statement.,no_primary_tag,flagged,verified,,,,
question,f835a8e6-93c6-40a4-b386-7f8c13a0fe90,2013,461,Examine the criticisms on the concept of dominant caste.,no_primary_tag,flagged,verified,,,,
question,c2dde881-0fc8-4ffc-930a-d8776da59c61,2013,462,Discuss the contributions of H.D.Sankalia to prehistoric anthropology in India.,no_primary_tag,flagged,verified,,,,
question,94063883-89ad-483d-86d9-1b77937e04f2,2013,463,Government Action towards Left Wing Extremism.,no_primary_tag,flagged,verified,,,,
question,ac7dc6bf-ab1d-41c1-abc5-ae01353b0ddd,2013,464,Role of Gramasabha under PESA.,no_primary_tag,flagged,verified,,,,
question,c0c91ad3-15b1-43bc-9345-218aaa1e99ce,2013,465,Impacts of sanctuaries and national parks on tribal populations.,no_primary_tag,flagged,verified,,,,
question,5c437fad-dc7e-46ba-a598-eb4ced882f0f,2013,466,Linguistic classification of Indian tribes.,no_primary_tag,flagged,verified,,,,
question,158e119d-fa51-4d6e-9d62-483996393420,2013,467,Ethnic movements in India.,no_primary_tag,flagged,verified,,,,
question,0b42b155-eaff-4431-a295-5d66067137bb,2013,468,Fifth Schedule and Sixth Schedule of the constitution are built on the foundations laid by the colonial Government. discuss.,no_primary_tag,flagged,verified,,,,
question,0098d4bd-583c-4af2-bd43-d33976dd832c,2013,469,Discuss the significance of cultural and administrative factors in tribal development.,no_primary_tag,flagged,verified,,,,
question,f6a75b3b-2510-46a6-9b9e-bc0d7a36d28b,2013,470,Examine the impacts of green revolution on rural poor.,no_primary_tag,flagged,verified,,,,
question,1ea68fd8-8c07-4493-b497-48a8a4616811,2013,471,"Discuss the criticism levelled against anthropology in the context of 'Isolation,and assimilation debate'on tribal populations.",no_primary_tag,flagged,verified,,,,
question,298b77bf-0c70-40a7-a449-a0286a300bb5,2013,472,Assess the contributions of early 20th century ethnographic tradition to Indian anthropology.,no_primary_tag,flagged,verified,,,,
question,9d5d84f8-555a-4f46-b274-ed52970f2546,2013,473,Discuss how British policies dispossessed tribals of their communal properties and agricultural lands.,no_primary_tag,flagged,verified,,,,
question,43c69a61-8f0e-424a-b430-5b5633a03042,2013,474,Discuss the alternatives for shifting cultivators in the context of ecological costs and humanistic concerns.,no_primary_tag,flagged,verified,,,,
question,7c9b3400-4eee-4eca-acbb-8caaca5e1387,2013,475,Examine the impact of non-tribal contact on socio-cultural institutions of tribal people with suitable examples.,no_primary_tag,flagged,verified,,,,
question,59067d29-8184-4e73-85c5-79f7cf826bfd,2013,476,Discuss the Social disabilities suffered by scheduled castes.,no_primary_tag,flagged,verified,,,,
question,c9dbef71-3de4-4566-86fe-2f8c66994f28,2014,450,Neolithic cultures of N-E India.,no_primary_tag,flagged,verified,,,,
question,f4a10ccc-a42a-44bd-be23-8371b749cb48,2014,451,Tribe-Caste continuum.,no_primary_tag,flagged,verified,,,,
question,50b43211-954b-4b50-9291-447ddf1061a6,2014,452,Great tradition and Little tradition.,no_primary_tag,flagged,verified,,,,
question,6a0aaab5-25e0-488b-8af3-a5521b722e14,2014,453,Major linguistic divisions of India.,no_primary_tag,flagged,verified,,,,
question,0026b4cd-f074-4f4c-9f96-92aff770cfdf,2014,454,Contribution of H. H. Risley to the 'Aryan' debate.,no_primary_tag,flagged,verified,,,,
question,0be0d6bf-e85c-4269-a436-1143fa8ed79a,2014,455,Describe what is known of Harappan Religion. Have some of its elements continued into later Hinduism? Discuss.,no_primary_tag,flagged,verified,,,,
question,71ccf17e-bb83-4d8c-9d87-d8eb40cd81f1,2014,456,Describe the concept of 'Sacred Complex' with an ethnographic example.,no_primary_tag,flagged,verified,,,,
question,0509371a-3a4f-4641-a6fb-1befa9ccc40d,2014,457,Do you think caste persists in contemporary India? Critically discuss.,no_primary_tag,flagged,verified,,,,
question,916cc25a-4796-4da5-87f2-21cc2eedc595,2014,458,Define the concept 'Dominant Caste' and examine its relevance in the contemporary Indian village with suitable examples.,no_primary_tag,flagged,verified,,,,
question,76cc0128-2d79-4dac-a01e-4111f1766333,2014,459,Discuss the contribution of Islam to the composite culture of India.,no_primary_tag,flagged,verified,,,,
question,882b089a-4cc7-4781-b4bd-2e6a085a6cf9,2014,460,Discuss the importance of the ethno-archaeological approach to the study of indigenous craft in India.,no_primary_tag,flagged,verified,,,,
question,60948e2f-00d1-4158-8a92-300211f71726,2014,461,Discuss the contributions of S. C. Roy to understanding the tribes of India.,no_primary_tag,flagged,verified,,,,
question,afb387ac-4bab-447f-bb51-2487fce739c3,2014,462,Describe the evolutionary significance of the fossil finds of the Narmada Basin.,no_primary_tag,flagged,verified,,,,
question,45b39010-6b65-472f-be16-843caca57788,2014,463,Outline the distribution of Dravidian languages in India and describe their cultural significance.,no_primary_tag,flagged,verified,,,,
question,2caa8dec-4627-4675-ad72-c3911e47c6ce,2014,464,Biogenetic variations of Indian tribes.,no_primary_tag,flagged,verified,,,,
question,9ab525d1-9c1d-4c23-a40c-21a44c008a47,2014,465,Social and economic marginalization of tribal people.,no_primary_tag,flagged,verified,,,,
question,bd5d58b8-2c17-4900-b87f-4c789dcf80e5,2014,466,Forest policy and tribes.,no_primary_tag,flagged,verified,,,,
question,5554d427-dfc7-4ac6-b869-89a134bc1b95,2014,467,The concept of PTG.,no_primary_tag,flagged,verified,,,,
question,a2fabe49-6329-4107-9ba6-ea44a1ef8a95,2014,468,Impact of Christianity on tribes.,no_primary_tag,flagged,verified,,,,
question,d3c56753-0163-4eab-a50b-be30ff30d665,2014,469,Critically examine the constitutional provisions for safeguarding the interests of Scheduled Tribes in India.,no_primary_tag,flagged,verified,,,,
question,5bb23d5d-a8d0-46c7-9cc0-46601d9a73ff,2014,470,Discuss the impact of land alienation on the tribes of Central India.,no_primary_tag,flagged,verified,,,,
question,7072ab09-5bb9-477f-98c7-f98a3e519e7e,2014,471,Critically evaluate the National Tribal Policy.,no_primary_tag,flagged,verified,,,,
question,e27976d4-ba61-45a2-b200-f78016929305,2014,472,Discuss the impact of Globalization on the livelihood of the tribal populations.,no_primary_tag,flagged,verified,,,,
question,5b3eebac-ed02-4b96-a725-4b571f342771,2014,473,What are the significant factors responsible for tribal unrest?,no_primary_tag,flagged,verified,,,,
question,8dfe69a7-839c-40c3-9dca-c33f335632dd,2014,474,Discuss the rise of ethno-nationalism among Indian tribes with specific example.,no_primary_tag,flagged,verified,,,,
question,3b1c9e11-e612-43f0-8828-14494c1880bd,2014,475,Critically assess the role of anthropologists in rural development.,no_primary_tag,flagged,verified,,,,
question,630e315f-fa17-431b-86ce-07be794ceb28,2014,476,Critically examine the role of NGOs in promoting health and education in tribal areas.,no_primary_tag,flagged,verified,,,,
question,e0c402c6-6d58-44ff-884b-e8b40d924f59,2014,477,Describe the history administration in the colonial period.,no_primary_tag,flagged,verified,,,,
question,5170cdfb-af3d-4c1d-80c0-68b84e9252fa,2015,450,Relevance of tribal Panchsheel today.,no_primary_tag,flagged,verified,,,,
question,dcf0c90c-e6d9-4b2f-936d-57333ef25ed3,2015,451,Sacred complex as a dimension of Indian civilization.,no_primary_tag,flagged,verified,,,,
question,f59e48cc-9076-450a-9137-3324310045c9,2015,452,South Indian Paleoliths.,no_primary_tag,flagged,verified,,,,
question,c6280870-ec3a-438b-a3b8-66e6e0d0220e,2015,453,Panchayati Raj Institutions and Social Change.,no_primary_tag,flagged,verified,,,,
question,abc9b3de-753a-4afa-acea-76482552fa6a,2015,454,Rights over resources and tribal unrest.,no_primary_tag,flagged,verified,,,,
question,88d226d1-ae28-4f00-b3d0-c9adb8b1b9cf,2015,455,Examine the social implications of media and communication technology.,no_primary_tag,flagged,verified,,,,
question,ac274ea4-a7d4-4a40-8edc-2c8f00bc572b,2015,456,Briefly describe the classical models of ethnic and linguistic classification of Indian population. Discuss its relevance today.,no_primary_tag,flagged,verified,,,,
question,5010941f-f826-477c-97e7-8873f8bc222f,2015,457,Discuss the problems faced by religious minorities in India.,no_primary_tag,flagged,verified,,,,
question,0fbd81db-5252-475a-b6cf-ef228511199a,2015,458,Discuss how constitutional provisions in India have built-in mechanisms for dealing with the problem of land alienation in tribal areas.,no_primary_tag,flagged,verified,,,,
question,f0f81d54-e7a9-40fc-a72c-74854d802817,2015,459,Discuss the impact of Hinduism on the status of tribal women in Central India.,no_primary_tag,flagged,verified,,,,
question,a243e096-e806-4325-9b72-cf9c759611be,2015,460,Describe the paleoanthropological fossil finds from Siwalik hills. Examine the contribution of Siwalik fossils to paleoanthropological knowl,no_primary_tag,flagged,verified,,,,
