"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty","stimulus_preview"
"question","5a608a66-503b-4bb7-abe8-454d0b4d1047","2022","71","Q.71) If the ratio of number of applications received by College E and C together to the number of applications received by College X is 35:","mcq_no_correct_option;no_primary_tag","flagged","","","","hard",""
"question","2b8e24f8-a535-45a8-8f98-7edd081e6fe8","2022","72","Q.72) If the number of boys who applied in college D was 40% less than the number of girls who applied in the same college, then find out th","mcq_no_correct_option;no_primary_tag","flagged","","","","medium",""
"question","47e6098e-f0a0-4a7f-bd6f-e94a4f7fa9b5","2022","73","Q.73) If the number of students who applied in college C was 10 more than the actual number, then the number of students who applied in coll","mcq_no_correct_option;no_primary_tag","flagged","","","","medium",""
"question","c29e7fe7-9dcd-4ec3-9716-90e9a3681eeb","2022","74","Q.74) The central angle of College B in degrees is","mcq_no_correct_option;no_primary_tag","flagged","","","","medium",""
"question","e6443373-7ca3-4ab8-a19c-de64976a7fae","2022","75","Q.75) What is the difference between the number of applications received by colleges A and B together and the number of applications receive","mcq_no_correct_option;no_primary_tag","flagged","","","","medium",""
"question","d55d19c5-f49d-4377-adba-f5a789d41a53","2022","76","Q.76) Suppose the cost of application form in college E is Rs 100 for a boy and Rs 75 for a girl. Assume 40 boys applied in college E and th","mcq_no_correct_option;no_primary_tag","flagged","","","","medium",""
"question","f2bb0b09-d96d-4655-a067-3797cf785df0","2022","82","Q.82)Find the difference between number of private and public people in society D?","mcq_no_correct_option;no_primary_tag","flagged","","","","medium",""
"question","e59e89dd-0dd0-4319-88bb-9064b4b3c365","2022","83","Q.83)Find the ratio of the total number of people in society E to the number of people who are in private sector from society B.","mcq_no_correct_option;no_primary_tag","flagged","","","","medium",""
"question","6c3700e1-d057-4e5f-b599-f67b2cbdd334","2022","84","Q.84)Find the total number of people in society A, B and D.","mcq_no_correct_option;no_primary_tag","flagged","","","","medium",""
"question","a82a342a-7b3e-492a-948e-6b98e69c5ba3","2022","85","Q.85)If number of people who are working in private sector in society F is 50% more than total number of people in society E, then find the ","mcq_no_correct_option;no_primary_tag","flagged","","","","medium",""
"question","0716785d-9937-4012-9bb4-64da0b2d51c6","2022","86","Q.86)If in Society A, the ratio of number of people who are in private sector was miscalculated as 3:2 instead of 5:4, then find the actual ","mcq_no_correct_option;no_primary_tag","flagged","","","","medium",""
"question","0d839d28-7553-486c-aa01-250105b64607","2023","15","Q.15) Which of the following apartments have the highest number of females.","mcq_no_correct_option;no_primary_tag","flagged","","","","hard",""
"question","4abb4365-f32d-480f-bfd7-c064bbfb19e8","2023","16","Q.16) Total number of males in apartment R is approximately what percentage of total number of females in apartment P.","mcq_no_correct_option;no_primary_tag;duplicate_option_text","flagged","","","","hard",""
"question","f051d65b-3ab1-4697-9a74-9bfd8bcda4fa","2023","17","Q.17) If total number of males in apartment T is 40 more that the number of males in apartment R, and the ratio of male to female in apartme","mcq_no_correct_option;no_primary_tag","flagged","","","","hard",""
"question","7b5a9a2a-0430-424e-b161-d2c0126be32b","2023","18","Q.18) Find the average of females living in apartment Q, S and T.","mcq_no_correct_option;no_primary_tag","flagged","","","","hard",""
"question","28667b72-f580-4e43-9daf-7e8e24b40e46","2023","19","Q.19) Find the ratio of male to female in apartment Q and R together.","mcq_no_correct_option;no_primary_tag","flagged","","","","hard",""
"question","1708f103-8bd6-472e-9b5b-243c85fd5f64","2023","20","Q.20) Find out the central angle of Male in apartment Q.","mcq_no_correct_option;no_primary_tag","flagged","","","","hard",""
