row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
question,8bb0f9da-4162-4183-bde9-3d9644f5587c,2021,1,Calculate the current ratio from the following given information.,,spot_check,,,,
question,deb6d499-633d-46a7-94df-4e9b1fc60edc,2021,1,Write an Essay of about 250 words on any one of the following topics: - (30 Marks) 1. Role of Financial Literacy in Building an Inclusive Ec,,spot_check,,,,
question,ed1d0a8d-39a5-401f-8fb0-4a01075043c6,2021,2,"From the given information calculate the Asset Coverage Ratio Cash & Equivalents = $50m Accounts Receivable = $30m Property, Plant & Equipme",,,,,,medium
question,fdb17fe3-9bad-474a-918c-eca53a70d953,2021,2,Make a Précis of the following passage in 120 words and give it a suitable title. (30 Marks) The concept of a circular economy is fast emerg,non_ascii_suspect,flagged,,,,
question,b032411c-0a71-410e-a4a1-091ba3888ef0,2021,3,Company X has reported the below figures: Equity Share Capital: ₹500000 Preference Share Capital: ₹600000 Long Term Debentures: ₹200000 EBIT,non_ascii_suspect;suspicious_repeat_char,flagged,,,,medium
question,c38c6d3c-9e7c-4161-99af-45440612b9b5,2021,3,Reading Comprehension (40 Marks) Read the passage carefully and answer the questions in your own words. India’s urban population is rapidly ,non_ascii_suspect,flagged,,,,
question,1b50786a-d6ad-4e13-8e9d-825d08b28e93,2021,4,EBIT to Sales Ratio is also known as _________,suspicious_repeat_char,flagged,,,,easy
question,f16ca3d2-1f75-4265-946f-e692c8b16d97,2021,5,"Given, Credit Sales = ₹72,00,000 Average Accounts Receivable = ₹12,00,000 Calculate the Average age of Receivables",non_ascii_suspect,flagged,,,,medium
question,137d2d1c-fd0f-4b9e-a973-2aaa69a4a726,2021,6,The depreciable amount of a depreciable asset should be allocated on a _________ basis to each accounting period during the useful life of t,suspicious_repeat_char,flagged,,,,easy
tag,81171945-3456-48cd-a07a-56be5d3c20c0,2021,092d9550-09b4-4f5a-a5b2-c1add1aac460,"Profitability ratios ΓÇö GP, NP, EBIT margin, ROE, ROCE",,spot_check,,,,
tag,138fd7c7-91a9-4eb5-8aec-9f3d16bed301,2021,092d9550-09b4-4f5a-a5b2-c1add1aac460,"Profitability ratios ΓÇö GP, NP, EBIT margin, ROE, ROCE",,,,,,
tag,2606f7be-3080-4248-b0b9-3a468bf6b589,2021,3f2a57b9-ea87-4d0e-9296-6651b115c149,Written answers to a passage,,,,,,
tag,c95aa9cd-208c-4799-9a89-0fdc69e95083,2021,41a1e4c0-7341-49ce-8574-50943dcd1292,Liquidity ratios ΓÇö current and quick,,,,,,
tag,93c2aa04-a362-407f-b756-c325c4ff7d82,2021,47d00077-5f85-ba3b-fc49-cf7405914aa2,Pr├⌐cis Writing,,spot_check,,,,
tag,a53ce786-e77b-4ca2-9a47-5b482b65c797,2021,500ed241-df0d-4f73-8472-409748326e55,"Coverage ratios ΓÇö interest, DSCR, asset coverage",,,,,,
tag,6596d4fe-017c-4153-874d-db0e874f6143,2021,63d9ed95-155f-b31b-acd8-3bb63b0bbb76,Essay Writing,,,,,,
tag,f76d3e8b-37c0-42bd-81bd-90599740e10e,2021,640cfa6f-a758-40c4-9657-b719bd6ce6b5,"Turnover ratios ΓÇö receivables, working capital, inventory",,,,,,
tag,c57409ab-a446-4d28-8633-edaea28b1bb1,2021,6d24067a-2f6d-4b56-8814-9176219d4de4,"Depreciation ΓÇö methods, change in estimate, commencement",,,,,,
question,faf07ba1-fb56-4037-9238-40ef4a0ab7e5,2022,1,"Identify the role of leader or manager, wherein the manager constantly collects information about those factors which may affect his activit",,spot_check,,,,easy
question,21a7dfbc-6bdc-4e1a-83fb-242ef85634d1,2022,1,"Currently a public company has issued 2,00,000 shares in the open market and on 31st march the company decided to further issue additional 2",,spot_check,,,,medium
question,7cb5998e-c2d4-4c2e-bf4d-63375ee4f670,2022,1,"As per section 123 of the companies act, companies are required to deposit the amount of dividend, including the interim dividend, in the ba",,spot_check,,,,easy
question,41c4d3fa-14fa-4715-8e48-c02e517c0077,2022,1,Which of the following mechanism is used to bring price stability in the share price during the Initial Public Offer (IPO) ?,,spot_check,,,,easy
question,66a88c6e-a4bb-4260-b2ac-bb08a20797c8,2022,1,"Loss expected in the next or coming year = Rs. 30,000 Options:",no_primary_tag,flagged,,,,
question,e8f71c16-eb41-4024-a4bf-e312114cec39,2022,1,"With the digitization of the pension sector, the processing time for NPS to transfer and remit funds to the trustee bank is done on the foll",,spot_check,,,,hard
question,9c36d1b3-05de-4f67-9cec-09c5bdb22e50,2022,1,Write an Essay of about 250 words on any one of the following topics: - (30 Marks) 1. The rich cultural heritage of India. 2. Highlight the ,,spot_check,,,,
question,29595ce8-cdf8-4e53-83e4-459f29895d59,2022,1,"Suppose a company named as XYZ LTD took the loan of amount $2,00,000 on 1st December. Currently the exchange rate between Dollar and Rupee i",,spot_check,,,,medium
question,dd0baf16-aec1-4f2d-bb69-9ae342a602f1,2022,1,"As per section 44 of the Companies Act 2013, the shares or debentures belonging to any of the member of the company should be a movable prop",,spot_check,,,,easy
question,257576f6-5d10-484f-875d-d458006f503b,2022,1,"In the most general language, as per supply law curve, what is the relationship between supply and prices of a particular commodity ?",,spot_check,,,,easy
question,08d387c7-0680-4799-a540-c568ccd0a2b8,2022,1,Pradhan Mantri Vaya Vandana Yojana (PMVVY) is an insurance policy-cum-pension scheme that provides security to senior citizens. In the same ,,spot_check,,,,easy
question,39ab9472-cece-41bc-b76f-0c82fd8a09e7,2022,1,"Leadership can be defined as the process to guide the employees towards the achievement of organisational goal. In the same regard, which of",,spot_check,,,,easy
question,3a35865f-1aa2-4da0-b53a-44c7a146ffd6,2022,1,"Generally, the financial and Fiscal year for the Indian government ends on ? Options:",,spot_check,,,,easy
question,286025f9-8390-4291-a9c3-d9d58c986e77,2022,2,"From the following given option identify the theory of management, which explains that Organizations are social entities that are purpose-or",,,,,,easy
question,85c6ff7a-b90d-495a-a6ad-3f571dfeb7ed,2022,2,The central government accepted the 15th Finance Commission’s recommendation to maintain the States’ share in the divisible pool of taxes to,non_ascii_suspect,flagged,,,,hard
question,67ac432a-db67-4336-9489-9e4452e395c5,2022,2,"As per section 39 of the companies Act, 2013 what is the minimum application money which a company should receive on the issue of security o",,,,,,easy
question,10f78d5a-0505-4df9-9cdf-03d449837afa,2022,2,Which of the following body regulates the unlisted companies working in the corporate sector of India ?,,,,,,easy
question,158a34ef-9d32-4a33-8712-08350a6c83e0,2022,2,"Budgetary control is a system for monitoring an organization's process in monetary terms. In the same regard, which of the following stateme",,spot_check,,,,medium
question,52e01a8b-7c9c-49ea-9722-7f1a6132b5d0,2022,2,Which of the following persons are not eligible to apply for the National Pension Scheme (NPS),,,,,,easy
question,8cfef1b2-0dc4-4bf3-b9d1-65cfd24cf7e5,2022,2,Make a Précis of the following passage within 120 words and give it a suitable title. (30 Marks) Everything we do leaves a digital footprint,non_ascii_suspect,flagged,,,,
question,7edb1251-49bc-42b3-993e-b610541d8813,2022,2,"The ex-rights price is the price of the shares trading in the market post the issue of new rights share. In the same regard, calculate the e",,,,,,medium
question,16b5b437-04ec-46b6-92b4-71aaf3481c62,2022,2,"As per Companies Act 2013, The red herring prospectus has to be filed with the Registrar of Companies (RoC) at least how many days before th",,,,,,easy
question,0a3740a7-012a-46d3-a6d7-8b7ba8da293f,2022,2,"In the field of economics, what is the correct formula to calculate Net National Product ?",,,,,,easy
