row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview
question,d401ebcb-9be4-4f29-8aec-276d295821f8,2017,500,(i) A Prehistoric cave paintings site.,no_primary_tag,flagged,,map item - locational hint only; tagged by hint category,c45c3b7c-1d33-4fdc-bcb8-9b2b71349cac,,
question,89be7eec-d2de-48f7-91a1-53da40225b1b,2017,501,(ii) A Neolithic-Chalcolithic site.,no_primary_tag,flagged,,map item - locational hint only; tagged by hint category,71ac5d28-cf0e-4f4c-a81e-2da5d4caae19,,
question,b5ade961-c7d4-4e54-8deb-27406fb4f2fa,2017,502,(iii) An Early Harappan site.,no_primary_tag,flagged,,map item - locational hint only; tagged by hint category,38006ff6-6e8e-4e29-b9c5-673d341f1e89,,
question,e5933162-c7a6-4ac4-b47f-387830e73348,2017,503,(iv) A Harappan site.,no_primary_tag,flagged,,map item - locational hint only; tagged by hint category,38006ff6-6e8e-4e29-b9c5-673d341f1e89,,
question,cd26ac59-e04a-4748-9623-5aa0046da254,2017,504,(v) An ancient capital city.,no_primary_tag,flagged,,map item - locational hint only; tagged by hint category,77466204-ecfd-424b-903b-400b8ca53768,,
question,c6fd9825-04e5-4602-840f-292d37fa1920,2017,505,(vi) A Painted grey ware site.,no_primary_tag,flagged,,map item - locational hint only; tagged by hint category,1f05e382-f4e2-4182-b12b-efca8a1d7bb6,,
question,6f83ef38-8140-475f-aab7-e274a396241e,2017,506,(vii) A Neolithic site.,no_primary_tag,flagged,,map item - locational hint only; tagged by hint category,71ac5d28-cf0e-4f4c-a81e-2da5d4caae19,,
question,f120ddc6-aa33-491a-99b3-c123cb124710,2017,507,(viii) A site of Ashokan inscriptions.,no_primary_tag,flagged,,map item - locational hint only; tagged by hint category,ce91bae6-a59f-4862-a6bc-291a04213192,,
question,768984a4-711c-4903-bd1b-45e36068bef4,2017,508,(ix) An ancient port and trade center.,no_primary_tag,flagged,,map item - locational hint only; tagged by hint category,c471cd98-fa61-4e81-b9d9-956f232e8303,,
question,4f8d56e2-1830-4458-b3d1-273d455e461e,2017,509,(x) A Harappan site.,no_primary_tag,flagged,,map item - locational hint only; tagged by hint category,38006ff6-6e8e-4e29-b9c5-673d341f1e89,,
