slug | id | name
english-language | b56cb48c-f85b-4158-8e71-f954f48a8c10 | Antonyms
english-language | b790ab2c-17e8-9025-f313-2c44d24dac8d | Articles
english-language | ebdd3a2a-f038-4775-9684-647b6cbbdcbb | Author tone, attitude and purpose
english-language | fa2ead71-59b9-4417-b71f-1f623d2c02c9 | Barriers to communication
english-language | f911f68b-418c-d7bb-37e3-00499792e022 | Cohesion
english-language | 1ea65bf4-15e7-e99a-3687-b3e324f4b5b9 | Collocations
english-language | 0df7dc1f-8059-4012-a9a4-59b8bc8b7181 | Commonly confused word pairs
english-language | 3a0004f6-d89a-4f5f-b858-0dca53d6f277 | Communication register by relationship
english-language | 5194a509-d374-28d7-24f8-7a49f7a308b8 | Complex Sentences
english-language | 5f033e03-98a8-9e1e-f503-3d837e169983 | Compound Sentences
english-language | 70b4fc2f-cf07-d8ef-fb7e-3025342ba94d | Comprehension and Summary
english-language | b2d49393-0e86-3521-fc2d-c5ec26e286e9 | Conclusion
english-language | de6aaf4c-db6e-4c5c-b2bd-fc3d1880cc21 | Connector and transition cloze
english-language | fd797be4-4857-4885-a456-52d9ce38df94 | Connector-based completion
english-language | 0e4fdd22-0bfe-ee0a-c0bc-d74b9518afeb | Content Relevance
english-language | e5efcb86-127f-460d-83fb-9faa38ee400c | Correlative conjunctions and parallelism
english-language | 53bf9a36-47c0-4473-b677-29a66d1a7bdb | Double-blank sentence completion
english-language | 63d9ed95-155f-b31b-acd8-3bb63b0bbb76 | Essay Writing
english-language | 342ec4bb-5625-4398-9b44-2963d65062a4 | Explicit detail retrieval
english-language | eeed4b11-c9a3-4c0d-9f08-e31d6d8bcdac | Formal and business register
english-language | 640b124b-d77a-5052-7d60-c5263b23bbd8 | Formal Vocabulary
english-language | 8a436650-6e75-79db-904f-e60bd0f7abaf | Format Rules
english-language | 420312ba-2e38-4e16-a836-7e6764a05535 | Inference and implied meaning
english-language | eb5019d6-aa0e-23f3-dabd-d507596cf97a | Letter and Report Writing
english-language | b2b889f0-5310-23a4-a50c-daa504f0afe7 | Logical Order
english-language | baf763bb-6d36-4a25-b1ba-6419e3b26852 | Main idea and central theme
english-language | f4ab61e2-cadf-4686-a1c5-50554463f230 | Meaning of an idiom in context
english-language | aca53761-13fc-65c9-bd3c-9f324e9a589f | Modifiers
english-language | c91ecdcc-7fc9-4d23-b3b7-9122ce81cf9a | Multi-blank passage cloze
