ref,topic_id,topic
PUBAD-P1-2010-T012,173a1eee-c798-4bd7-8bd2-515dd7f7383a,Evolution of the discipline and its present status
PUBAD-P1-2007-T012,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-2006-T011,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-2002-T009,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-2001-T011,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-2000-T010,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-1999-T014,33986515-597b-4675-89be-3d3243dc033f,Concept of development
PUBAD-P1-1998-T014,c2704683-0f31-432b-844b-5784d066b315,Current status of Comparative Public Administration
PUBAD-P1-1998-T015,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-1997-T015,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-1996-T013,2138cec6-90d3-4248-a5b8-2788ad4fa39b,Administration and politics in different countries
PUBAD-P1-1996-T014,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-1995-T015,173a1eee-c798-4bd7-8bd2-515dd7f7383a,Evolution of the discipline and its present status
PUBAD-P1-1994-T015,173a1eee-c798-4bd7-8bd2-515dd7f7383a,Evolution of the discipline and its present status
PUBAD-P1-1993-T014,2138cec6-90d3-4248-a5b8-2788ad4fa39b,Administration and politics in different countries
PUBAD-P1-1993-T015,173a1eee-c798-4bd7-8bd2-515dd7f7383a,Evolution of the discipline and its present status
PUBAD-P1-1991-T015,173a1eee-c798-4bd7-8bd2-515dd7f7383a,Evolution of the discipline and its present status
PUBAD-P1-1991-T016,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-1990-T014,888dacb1-bfe7-4259-a002-8248a45211f8,e-Governance and information technology
PUBAD-P1-1989-T015,b49dcbe4-4d6f-4f63-aedc-8ada70e99fa0,"Challenges of liberalization, privatisation and globalisation"
PUBAD-P1-1989-T016,50c5d9b5-5892-4ff8-bbc8-83b135093154,Communication in organisations
PUBAD-P1-1988-T015,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-2009-T003,30d0020c-2778-4e58-98ff-44489d62e658,Wilson's vision of Public Administration
PUBAD-P1-2008-T003,30d0020c-2778-4e58-98ff-44489d62e658,Wilson's vision of Public Administration
PUBAD-P1-2005-T002,30d0020c-2778-4e58-98ff-44489d62e658,Wilson's vision of Public Administration
PUBAD-P1-2009-T006,7b6109f3-f355-44f0-9dd6-9f4eeff73230,"Meaning, scope and significance of Public Administration"
PUBAD-P1-2003-T007,173a1eee-c798-4bd7-8bd2-515dd7f7383a,Evolution of the discipline and its present status
PUBAD-P1-2003-T009,b49dcbe4-4d6f-4f63-aedc-8ada70e99fa0,"Challenges of liberalization, privatisation and globalisation"
PUBAD-P1-2002-T006,173a1eee-c798-4bd7-8bd2-515dd7f7383a,Evolution of the discipline and its present status
PUBAD-P1-2000-T007,173a1eee-c798-4bd7-8bd2-515dd7f7383a,Evolution of the discipline and its present status
PUBAD-P1-1999-T009,173a1eee-c798-4bd7-8bd2-515dd7f7383a,Evolution of the discipline and its present status
PUBAD-P1-1994-T004,954ab5c6-8364-4b40-bd2f-5b0b1ebb033e,Classical Theory of administration
PUBAD-P1-2010-T007,02fb975c-625a-459a-bf7d-3b8c54432963,New Public Management
PUBAD-P1-2009-T009,6cc52d6f-126e-466e-bc71-f050b4c158e1,New Public Administration
PUBAD-P1-2001-T009,6cc52d6f-126e-466e-bc71-f050b4c158e1,New Public Administration
PUBAD-P1-1998-T009,6cc52d6f-126e-466e-bc71-f050b4c158e1,New Public Administration
PUBAD-P1-1995-T005,6cc52d6f-126e-466e-bc71-f050b4c158e1,New Public Administration
PUBAD-P1-1994-T008,6cc52d6f-126e-466e-bc71-f050b4c158e1,New Public Administration
PUBAD-P1-1989-T007,6cc52d6f-126e-466e-bc71-f050b4c158e1,New Public Administration
PUBAD-P1-1987-T007,c2704683-0f31-432b-844b-5784d066b315,Current status of Comparative Public Administration
PUBAD-P1-1989-T001,85bdc1fd-d933-40d2-be3e-5551c7f8803b,Public Choice approach
PUBAD-P1-1999-T004,b49dcbe4-4d6f-4f63-aedc-8ada70e99fa0,"Challenges of liberalization, privatisation and globalisation"
PUBAD-P1-2010-T013,480bf3c9-b8a2-400d-95a8-f8d69ff0810b,Good Governance: concept and application
PUBAD-P1-2004-T007,480bf3c9-b8a2-400d-95a8-f8d69ff0810b,Good Governance: concept and application
PUBAD-P1-1999-T013,480bf3c9-b8a2-400d-95a8-f8d69ff0810b,Good Governance: concept and application
PUBAD-P1-2009-T015,173a1eee-c798-4bd7-8bd2-515dd7f7383a,Evolution of the discipline and its present status
PUBAD-P1-2008-T013,b49dcbe4-4d6f-4f63-aedc-8ada70e99fa0,"Challenges of liberalization, privatisation and globalisation"
PUBAD-P1-2003-T015,02fb975c-625a-459a-bf7d-3b8c54432963,New Public Management
PUBAD-P1-2009-T010,5af68a59-43ac-4678-a808-ab3e841d0009,Scientific Management and the Scientific Management movement
PUBAD-P1-2007-T009,5af68a59-43ac-4678-a808-ab3e841d0009,Scientific Management and the Scientific Management movement
PUBAD-P1-1994-T005,5af68a59-43ac-4678-a808-ab3e841d0009,Scientific Management and the Scientific Management movement
PUBAD-P1-1992-T007,5af68a59-43ac-4678-a808-ab3e841d0009,Scientific Management and the Scientific Management movement
PUBAD-P1-1987-T003,5af68a59-43ac-4678-a808-ab3e841d0009,Scientific Management and the Scientific Management movement
PUBAD-P1-2010-T003,315ff2f8-a023-4645-81d6-b6bbe699dffa,Career advancement and position classification
PUBAD-P1-2006-T003,968dc256-aaaa-48e3-9fb9-c880aa2340ac,Organisation and methods; work study and work management
PUBAD-P1-2006-T005,954ab5c6-8364-4b40-bd2f-5b0b1ebb033e,Classical Theory of administration
PUBAD-P1-2005-T006,954ab5c6-8364-4b40-bd2f-5b0b1ebb033e,Classical Theory of administration
PUBAD-P1-1996-T004,315ff2f8-a023-4645-81d6-b6bbe699dffa,Career advancement and position classification
