paper_code,content_hash,year,paper,official_number,sub_part,score,measure,db_question_id,text,db_text
UPSC-CSE-MAINS-GS-2013-GS1,ca762350db2a6c80ada19480112d8a4b1756dfec64079ae1fb2e6cef85fd0739,2013,GS1,3,,0.8438,sequence,379252ad-95f1-4a91-b6e5-cc0fcfef2994,Chola architecture represents a high watermark in the evolution of temple architecture. Discuss.,Chola architecture represents a high watermark in the history of South Indian architecture. Discuss.
UPSC-CSE-MAINS-GS-2013-GS1,019ee0f6d2526a2b933d240a635fe006f78ab87cce4e3f8c913b6fc3ef5194fe,2013,GS1,4,,0.6265,sequence,4584fe10-f1f0-4893-9234-f99a2e2122bd,"Defying the barriers of age, gender and religion, the Indian women became the torchbearer during the struggle for freedom in India. Discuss.","Defying the barriers of age, gender and religion, the Bhakti movement opened the doors of liberation to all. Discuss."
UPSC-CSE-MAINS-GS-2013-GS1,6600946f43427e16cb227ccd785db0f75e2bcb85d1c12cbcdc436155b085628c,2013,GS1,13,,0.7143,sequence,e1d8a5b0-4765-4337-ab6c-ef57d4a9518e,“American Revolution was an economic revolt against mercantilism.” Substantiate.,The American War of Independence was an economic revolt against British mercantilism. Discuss.
UPSC-CSE-MAINS-GS-2013-GS1,eb13e48d22c146dd64acf5a2a46be47d7d47f9a34c6b3a5919f65fe97815a1b5,2013,GS1,17,,0.6829,sequence,c08872c9-b90e-443b-ab8a-dda43f6d2035,Critically examine the effect of globalization on the aged population in India.,Discuss the socio-economic impacts of globalization on the elderly population in India.
UPSC-CSE-MAINS-GS-2013-GS1,ac1bd33af311af73ba2dfd9df3d71ae8fbce961d6bf47508ba8948bfb18d071b,2013,GS1,19,,0.6514,sequence,df88d229-d05e-4aaa-af0b-04d22c5126f7,What do you understand by the theory of ‘continental drift’? Discuss the prominent evidences in its support.,What is the 'continental drift' theory? Discuss the evidence supporting it.
UPSC-CSE-MAINS-GS-2013-GS1,535bece0926b0410ee25f2560c83afa1a6797c1d28ea762b2f691f8715b656fa,2013,GS1,27,,0.6704,sequence,f2d2ea7d-ae87-48fe-bae7-2149b3bc518e,Analyze the factors for the highly decentralized cotton textile industry in India.,Discuss the factors influencing the localized distribution of the cotton textile industry in India.
UPSC-CSE-MAINS-GS-2014-GS1,bb00438d2b78f2e2ea831210383dfa0c376f9fadbd1072c268aae94761ac9980,2014,GS1,2,,0.7778,dice,03941060-6195-473f-9a89-ce74facac0cb,Gandhara sculpture owed as much to the Romans as to the Greeks. Explain. ‘eh a a Co sh 150 8 foe eB | 8 8 a 10x25=250,Gandhara sculpture owed as much to the Romans as to the Greeks. Explain.
UPSC-CSE-MAINS-GS-2014-GS1,b4bfe52ef09d4a837fd59e53fb5249c5ad6f45444179863d2965f843b3afff4b,2014,GS1,3,,0.8158,sequence,7439d906-e0fd-4533-92f2-85ac37ce77cf,"‘Taxila university was one of the oldest universities of the world with which | were associated a number of renowned learned personalities of different’ disciplines. Its strategic location caused its fame to flourish, but unlike Nalanda, it i is not considered asa university i in the modern sense. Discuss.",Taxila university was one of the oldest universities of the world with which were associated a number of renowned learned personalities of different disciplines. Its strategic location caused its ruin. Discuss.
UPSC-CSE-MAINS-GS-2014-GS1,7e8883adb4024eca59b8c2653649a8ccd0bca25408c74189cba77de13c72e5bd,2014,GS1,8,,0.6025,sequence,c4ee59ed-ce9c-43b5-b584-48bd36c5abbc,"a What were, the n major © political; e economic sand social developments i in the world | which motivated the anti- colonial struggle in India? 7: re","What were the major political, economic and social forces that led to the French Revolution? Analyze."
UPSC-CSE-MAINS-GS-2014-GS2,267bea3ba9f96e97e42ef8db7c915873b6e3a49e48579dde952cc4d4852c8513,2014,GS2,2,,0.659,sequence,bb72edfa-edba-4f65-8782-aa90a61b7b1e,"Starting from inventing the ‘basic structure’ doctrine, the judiciary has played a highly proactive role in ensuring that India. develops into a thriving democracy. ‘In light of the statement, “evaluate the role Played by judicial activism in achieving the ideals of democracy.","Starting from inventing the 'basic structure' doctrine, the judiciary has played a highly proactive role in ensuring that the Constitution remains a living document. Discuss."
